date,TON/USDT
2025-05-21 00:00:00+00:00,3.091
2025-05-22 00:00:00+00:00,3.173
2025-05-23 00:00:00+00:00,2.977
2025-05-24 00:00:00+00:00,3.031
2025-05-25 00:00:00+00:00,2.994
2025-05-26 00:00:00+00:00,2.969
2025-05-27 00:00:00+00:00,3.008
2025-05-28 00:00:00+00:00,3.325
2025-05-29 00:00:00+00:00,3.389
2025-05-30 00:00:00+00:00,3.088
2025-05-31 00:00:00+00:00,3.148
2025-06-01 00:00:00+00:00,3.188
2025-06-02 00:00:00+00:00,3.216
2025-06-03 00:00:00+00:00,3.182
2025-06-04 00:00:00+00:00,3.169
2025-06-05 00:00:00+00:00,3.032
2025-06-06 00:00:00+00:00,3.152
2025-06-07 00:00:00+00:00,3.18
2025-06-08 00:00:00+00:00,3.17
2025-06-09 00:00:00+00:00,3.306
2025-06-10 00:00:00+00:00,3.348
2025-06-11 00:00:00+00:00,3.238
2025-06-12 00:00:00+00:00,3.088
2025-06-13 00:00:00+00:00,3.024
2025-06-14 00:00:00+00:00,2.952
2025-06-15 00:00:00+00:00,2.973
2025-06-16 00:00:00+00:00,2.965
2025-06-17 00:00:00+00:00,2.959
2025-06-18 00:00:00+00:00,2.947
2025-06-19 00:00:00+00:00,2.969
2025-06-20 00:00:00+00:00,2.937
2025-06-21 00:00:00+00:00,2.856
2025-06-22 00:00:00+00:00,2.732
2025-06-23 00:00:00+00:00,2.908
2025-06-24 00:00:00+00:00,2.906
2025-06-25 00:00:00+00:00,2.834
2025-06-26 00:00:00+00:00,2.814
2025-06-27 00:00:00+00:00,2.851
2025-06-28 00:00:00+00:00,2.852
2025-06-29 00:00:00+00:00,2.913
2025-06-30 00:00:00+00:00,2.912
2025-07-01 00:00:00+00:00,2.787
2025-07-02 00:00:00+00:00,2.865
2025-07-03 00:00:00+00:00,2.851
2025-07-04 00:00:00+00:00,2.741
2025-07-05 00:00:00+00:00,2.746
2025-07-06 00:00:00+00:00,2.838
2025-07-07 00:00:00+00:00,2.736
2025-07-08 00:00:00+00:00,2.802
2025-07-09 00:00:00+00:00,2.836
2025-07-10 00:00:00+00:00,2.943
2025-07-11 00:00:00+00:00,2.961
2025-07-12 00:00:00+00:00,3.0
2025-07-13 00:00:00+00:00,2.969
2025-07-14 00:00:00+00:00,3.025
2025-07-15 00:00:00+00:00,3.094
2025-07-16 00:00:00+00:00,3.158
2025-07-17 00:00:00+00:00,3.196
2025-07-18 00:00:00+00:00,3.188
2025-07-19 00:00:00+00:00,3.195
2025-07-20 00:00:00+00:00,3.275
2025-07-21 00:00:00+00:00,3.323
2025-07-22 00:00:00+00:00,3.34
2025-07-23 00:00:00+00:00,3.199
2025-07-24 00:00:00+00:00,3.12
2025-07-25 00:00:00+00:00,3.191
2025-07-26 00:00:00+00:00,3.298
2025-07-27 00:00:00+00:00,3.375
2025-07-28 00:00:00+00:00,3.207
2025-07-29 00:00:00+00:00,3.377
2025-07-30 00:00:00+00:00,3.406
2025-07-31 00:00:00+00:00,3.529
2025-08-01 00:00:00+00:00,3.564
2025-08-02 00:00:00+00:00,3.541
2025-08-03 00:00:00+00:00,3.559
2025-08-04 00:00:00+00:00,3.42
2025-08-05 00:00:00+00:00,3.195
2025-08-06 00:00:00+00:00,3.308
2025-08-07 00:00:00+00:00,3.346
2025-08-08 00:00:00+00:00,3.335
2025-08-09 00:00:00+00:00,3.386
2025-08-10 00:00:00+00:00,3.348
2025-08-11 00:00:00+00:00,3.365
2025-08-12 00:00:00+00:00,3.502
2025-08-13 00:00:00+00:00,3.531
2025-08-14 00:00:00+00:00,3.411
2025-08-15 00:00:00+00:00,3.44
2025-08-16 00:00:00+00:00,3.46
2025-08-17 00:00:00+00:00,3.517
2025-08-18 00:00:00+00:00,3.329
2025-08-19 00:00:00+00:00,3.225
2025-08-20 00:00:00+00:00,3.28
2025-08-21 00:00:00+00:00,3.315
2025-08-22 00:00:00+00:00,3.423
