date,XRP/USDT
2025-03-10 00:00:00+00:00,2.0216
2025-03-11 00:00:00+00:00,2.1711
2025-03-12 00:00:00+00:00,2.2396
2025-03-13 00:00:00+00:00,2.2527
2025-03-14 00:00:00+00:00,2.3564
2025-03-15 00:00:00+00:00,2.3911
2025-03-16 00:00:00+00:00,2.2938
2025-03-17 00:00:00+00:00,2.3382
2025-03-18 00:00:00+00:00,2.2851
2025-03-19 00:00:00+00:00,2.5469
2025-03-20 00:00:00+00:00,2.4361
2025-03-21 00:00:00+00:00,2.3809
2025-03-22 00:00:00+00:00,2.3711
2025-03-23 00:00:00+00:00,2.4393
2025-03-24 00:00:00+00:00,2.4501
2025-03-25 00:00:00+00:00,2.4492
2025-03-26 00:00:00+00:00,2.3494
2025-03-27 00:00:00+00:00,2.341
2025-03-28 00:00:00+00:00,2.2073
2025-03-29 00:00:00+00:00,2.1351
2025-03-30 00:00:00+00:00,2.1369
2025-03-31 00:00:00+00:00,2.0899
2025-04-01 00:00:00+00:00,2.1387
2025-04-02 00:00:00+00:00,2.0237
2025-04-03 00:00:00+00:00,2.0648
2025-04-04 00:00:00+00:00,2.1302
2025-04-05 00:00:00+00:00,2.1442
2025-04-06 00:00:00+00:00,1.9218
2025-04-07 00:00:00+00:00,1.8987
2025-04-08 00:00:00+00:00,1.7963
2025-04-09 00:00:00+00:00,2.0529
2025-04-10 00:00:00+00:00,1.9658
2025-04-11 00:00:00+00:00,2.0225
2025-04-12 00:00:00+00:00,2.1598
2025-04-13 00:00:00+00:00,2.1196
2025-04-14 00:00:00+00:00,2.1275
2025-04-15 00:00:00+00:00,2.0842
2025-04-16 00:00:00+00:00,2.0834
2025-04-17 00:00:00+00:00,2.0673
2025-04-18 00:00:00+00:00,2.0619
2025-04-19 00:00:00+00:00,2.0877
2025-04-20 00:00:00+00:00,2.0787
2025-04-21 00:00:00+00:00,2.0855
2025-04-22 00:00:00+00:00,2.2139
2025-04-23 00:00:00+00:00,2.2184
2025-04-24 00:00:00+00:00,2.2049
2025-04-25 00:00:00+00:00,2.1812
