,symbol,base,quote,quoteVolume,last,timestamp
0,ETH/USDT,ETH,USDT,1067103738.162657,3188.72,2026-01-20T00:48:26.634159+00:00
1,BTC/USDT,BTC,USDT,971733828.0348711,92673.16,2026-01-20T00:48:26.634102+00:00
2,SOL/USDT,SOL,USDT,245493791.25681,133.81,2026-01-20T00:48:26.634924+00:00
3,XRP/USDT,XRP,USDT,222832398.76297,1.9876,2026-01-20T00:48:26.634208+00:00
4,USD1/USDT,USD1,USDT,155061502.6139,0.9996,2026-01-20T00:48:26.637154+00:00
5,BNB/USDT,BNB,USDT,143483108.7423,929.83,2026-01-20T00:48:26.634169+00:00
6,DOGE/USDT,DOGE,USDT,97458895.68438,0.1289,2026-01-20T00:48:26.634612+00:00
7,BREV/USDT,BREV,USDT,93575266.12454,0.2683,2026-01-20T00:48:26.637434+00:00
8,ZEC/USDT,ZEC,USDT,86007712.9101,369.6,2026-01-20T00:48:26.634508+00:00
9,DASH/USDT,DASH,USDT,85279987.82527,75.52,2026-01-20T00:48:26.634524+00:00
10,DUSK/USDT,DUSK,USDT,84640470.6198,0.2154,2026-01-20T00:48:26.634618+00:00
11,SUI/USDT,SUI,USDT,74713981.51341,1.5596,2026-01-20T00:48:26.636423+00:00
12,TRX/USDT,TRX,USDT,70827544.04563,0.3108,2026-01-20T00:48:26.634239+00:00
13,ADA/USDT,ADA,USDT,58026804.76105,0.3692,2026-01-20T00:48:26.634200+00:00
14,ARPA/USDT,ARPA,USDT,46727963.051077,0.01892,2026-01-20T00:48:26.634766+00:00
15,ASTER/USDT,ASTER,USDT,46163389.1183,0.62,2026-01-20T00:48:26.637351+00:00
16,LTC/USDT,LTC,USDT,43395940.61654,70.95,2026-01-20T00:48:26.634189+00:00
17,ICP/USDT,ICP,USDT,42784855.14446,3.865,2026-01-20T00:48:26.635662+00:00
18,PEPE/USDT,PEPE,USDT,41095938.02779409,5.24e-06,2026-01-20T00:48:26.636433+00:00
19,PAXG/USDT,PAXG,USDT,39505376.176437,4677.75,2026-01-20T00:48:26.635172+00:00
20,ROSE/USDT,ROSE,USDT,34813079.524611,0.01848,2026-01-20T00:48:26.635395+00:00
21,币安人生/USDT,币安人生,USDT,34678765.42314,0.2088,2026-01-20T00:48:26.637440+00:00
22,NEAR/USDT,NEAR,USDT,29150789.749,1.591,2026-01-20T00:48:26.635326+00:00
23,LINK/USDT,LINK,USDT,28104573.0297,12.88,2026-01-20T00:48:26.634286+00:00
24,FOGO/USDT,FOGO,USDT,26845331.80427,0.03015,2026-01-20T00:48:26.637456+00:00
25,ENA/USDT,ENA,USDT,26413169.741482,0.1933,2026-01-20T00:48:26.636682+00:00
26,AVAX/USDT,AVAX,USDT,25026413.369,12.7,2026-01-20T00:48:26.635281+00:00
27,AXS/USDT,AXS,USDT,23113492.07169,1.776,2026-01-20T00:48:26.635369+00:00
28,ZEN/USDT,ZEN,USDT,22881152.74515,10.953,2026-01-20T00:48:26.635011+00:00
29,RESOLV/USDT,RESOLV,USDT,22341962.56117,0.115,2026-01-20T00:48:26.637177+00:00
30,BCH/USDT,BCH,USDT,21997818.1407,585.5,2026-01-20T00:48:26.634792+00:00
31,UNI/USDT,UNI,USDT,20774804.29734,5.007,2026-01-20T00:48:26.635261+00:00
32,BERA/USDT,BERA,USDT,19820535.746957,0.934,2026-01-20T00:48:26.636969+00:00
33,PUMP/USDT,PUMP,USDT,19657007.143528,0.002614,2026-01-20T00:48:26.637283+00:00
34,TAO/USDT,TAO,USDT,19155422.3308,252.0,2026-01-20T00:48:26.636702+00:00
35,FIL/USDT,FIL,USDT,18703399.2791,1.382,2026-01-20T00:48:26.635334+00:00
36,VIRTUAL/USDT,VIRTUAL,USDT,16419974.36672,0.8776,2026-01-20T00:48:26.637088+00:00
37,ARB/USDT,ARB,USDT,16273649.43215,0.1927,2026-01-20T00:48:26.636392+00:00
38,APT/USDT,APT,USDT,15242521.53544,1.607,2026-01-20T00:48:26.636279+00:00
