date,SCRT/USDT
2025-07-22 00:00:00+00:00,0.2081
2025-07-23 00:00:00+00:00,0.1964
2025-07-24 00:00:00+00:00,0.1869
2025-07-25 00:00:00+00:00,0.1924
2025-07-26 00:00:00+00:00,0.191
2025-07-27 00:00:00+00:00,0.2015
2025-07-28 00:00:00+00:00,0.1883
2025-07-29 00:00:00+00:00,0.1878
2025-07-30 00:00:00+00:00,0.1852
2025-07-31 00:00:00+00:00,0.1735
2025-08-01 00:00:00+00:00,0.1688
2025-08-02 00:00:00+00:00,0.1647
2025-08-03 00:00:00+00:00,0.1697
2025-08-04 00:00:00+00:00,0.1743
2025-08-05 00:00:00+00:00,0.1697
2025-08-06 00:00:00+00:00,0.1712
2025-08-07 00:00:00+00:00,0.18
2025-08-08 00:00:00+00:00,0.182
2025-08-09 00:00:00+00:00,0.1884
2025-08-10 00:00:00+00:00,0.19
2025-08-11 00:00:00+00:00,0.1796
2025-08-12 00:00:00+00:00,0.1942
2025-08-13 00:00:00+00:00,0.1976
2025-08-14 00:00:00+00:00,0.1784
2025-08-15 00:00:00+00:00,0.1779
2025-08-16 00:00:00+00:00,0.1906
2025-08-17 00:00:00+00:00,0.1917
2025-08-18 00:00:00+00:00,0.1807
2025-08-19 00:00:00+00:00,0.1727
2025-08-20 00:00:00+00:00,0.1822
2025-08-21 00:00:00+00:00,0.1778
2025-08-22 00:00:00+00:00,0.1941
2025-08-23 00:00:00+00:00,0.1899
2025-08-24 00:00:00+00:00,0.1861
2025-08-25 00:00:00+00:00,0.1713
2025-08-26 00:00:00+00:00,0.177
2025-08-27 00:00:00+00:00,0.1796
2025-08-28 00:00:00+00:00,0.1831
2025-08-29 00:00:00+00:00,0.1738
2025-08-30 00:00:00+00:00,0.1769
2025-08-31 00:00:00+00:00,0.1721
2025-09-01 00:00:00+00:00,0.1683
2025-09-02 00:00:00+00:00,0.171
2025-09-03 00:00:00+00:00,0.1725
2025-09-04 00:00:00+00:00,0.1671
2025-09-05 00:00:00+00:00,0.1717
2025-09-06 00:00:00+00:00,0.17
2025-09-07 00:00:00+00:00,0.173
2025-09-08 00:00:00+00:00,0.1795
2025-09-09 00:00:00+00:00,0.1778
2025-09-10 00:00:00+00:00,0.1803
2025-09-11 00:00:00+00:00,0.1815
2025-09-12 00:00:00+00:00,0.1843
2025-09-13 00:00:00+00:00,0.1869
2025-09-14 00:00:00+00:00,0.1782
2025-09-15 00:00:00+00:00,0.1723
2025-09-16 00:00:00+00:00,0.1745
2025-09-17 00:00:00+00:00,0.1808
2025-09-18 00:00:00+00:00,0.1821
2025-09-19 00:00:00+00:00,0.1715
2025-09-20 00:00:00+00:00,0.1735
2025-09-21 00:00:00+00:00,0.1699
2025-09-22 00:00:00+00:00,0.1567
2025-09-23 00:00:00+00:00,0.156
2025-09-24 00:00:00+00:00,0.158
2025-09-25 00:00:00+00:00,0.1476
2025-09-26 00:00:00+00:00,0.1529
2025-09-27 00:00:00+00:00,0.154
2025-09-28 00:00:00+00:00,0.1563
2025-09-29 00:00:00+00:00,0.1545
2025-09-30 00:00:00+00:00,0.1536
2025-10-01 00:00:00+00:00,0.1913
2025-10-02 00:00:00+00:00,0.1917
2025-10-03 00:00:00+00:00,0.1919
2025-10-04 00:00:00+00:00,0.1875
2025-10-05 00:00:00+00:00,0.2062
2025-10-06 00:00:00+00:00,0.2132
