date,BROCCOLI714/USDT
2025-07-31 00:00:00+00:00,0.05033
2025-08-01 00:00:00+00:00,0.0512
2025-08-02 00:00:00+00:00,0.04907
2025-08-03 00:00:00+00:00,0.04859
2025-08-04 00:00:00+00:00,0.04518
2025-08-05 00:00:00+00:00,0.03029
2025-08-06 00:00:00+00:00,0.02926
2025-08-07 00:00:00+00:00,0.02961
2025-08-08 00:00:00+00:00,0.02997
2025-08-09 00:00:00+00:00,0.02999
2025-08-10 00:00:00+00:00,0.02973
2025-08-11 00:00:00+00:00,0.02833
2025-08-12 00:00:00+00:00,0.02828
2025-08-13 00:00:00+00:00,0.02828
2025-08-14 00:00:00+00:00,0.02504
2025-08-15 00:00:00+00:00,0.02504
2025-08-16 00:00:00+00:00,0.02629
2025-08-17 00:00:00+00:00,0.02638
2025-08-18 00:00:00+00:00,0.02564
2025-08-19 00:00:00+00:00,0.02487
2025-08-20 00:00:00+00:00,0.02655
2025-08-21 00:00:00+00:00,0.0252
2025-08-22 00:00:00+00:00,0.02734
2025-08-23 00:00:00+00:00,0.02737
2025-08-24 00:00:00+00:00,0.02619
2025-08-25 00:00:00+00:00,0.02397
2025-08-26 00:00:00+00:00,0.02487
2025-08-27 00:00:00+00:00,0.0246
2025-08-28 00:00:00+00:00,0.02492
2025-08-29 00:00:00+00:00,0.02396
2025-08-30 00:00:00+00:00,0.02417
2025-08-31 00:00:00+00:00,0.02353
2025-09-01 00:00:00+00:00,0.02296
2025-09-02 00:00:00+00:00,0.02305
2025-09-03 00:00:00+00:00,0.02324
2025-09-04 00:00:00+00:00,0.02306
2025-09-05 00:00:00+00:00,0.02325
2025-09-06 00:00:00+00:00,0.02315
2025-09-07 00:00:00+00:00,0.02336
2025-09-08 00:00:00+00:00,0.0245
2025-09-09 00:00:00+00:00,0.02443
2025-09-10 00:00:00+00:00,0.02609
2025-09-11 00:00:00+00:00,0.02546
2025-09-12 00:00:00+00:00,0.02644
2025-09-13 00:00:00+00:00,0.02836
2025-09-14 00:00:00+00:00,0.02684
2025-09-15 00:00:00+00:00,0.0259
2025-09-16 00:00:00+00:00,0.02942
2025-09-17 00:00:00+00:00,0.03031
2025-09-18 00:00:00+00:00,0.03517
2025-09-19 00:00:00+00:00,0.0351
2025-09-20 00:00:00+00:00,0.0426
2025-09-21 00:00:00+00:00,0.03707
2025-09-22 00:00:00+00:00,0.03223
2025-09-23 00:00:00+00:00,0.02983
2025-09-24 00:00:00+00:00,0.03049
2025-09-25 00:00:00+00:00,0.02726
2025-09-26 00:00:00+00:00,0.02763
2025-09-27 00:00:00+00:00,0.02781
2025-09-28 00:00:00+00:00,0.02812
2025-09-29 00:00:00+00:00,0.02689
2025-09-30 00:00:00+00:00,0.02599
2025-10-01 00:00:00+00:00,0.02738
2025-10-02 00:00:00+00:00,0.0329
2025-10-03 00:00:00+00:00,0.03403
2025-10-04 00:00:00+00:00,0.03228
2025-10-05 00:00:00+00:00,0.03144
2025-10-06 00:00:00+00:00,0.03369
2025-10-07 00:00:00+00:00,0.04628
2025-10-08 00:00:00+00:00,0.04584
2025-10-09 00:00:00+00:00,0.03764
2025-10-10 00:00:00+00:00,0.02157
2025-10-11 00:00:00+00:00,0.02387
2025-10-12 00:00:00+00:00,0.02895
2025-10-13 00:00:00+00:00,0.02953
2025-10-14 00:00:00+00:00,0.02843
2025-10-15 00:00:00+00:00,0.02717
2025-10-16 00:00:00+00:00,0.02529
2025-10-17 00:00:00+00:00,0.02392
2025-10-18 00:00:00+00:00,0.02454
