date,PIVX/USDT
2025-07-22 00:00:00+00:00,0.1565
2025-07-23 00:00:00+00:00,0.1469
2025-07-24 00:00:00+00:00,0.1559
2025-07-25 00:00:00+00:00,0.148
2025-07-26 00:00:00+00:00,0.1505
2025-07-27 00:00:00+00:00,0.1566
2025-07-28 00:00:00+00:00,0.1499
2025-07-29 00:00:00+00:00,0.1454
2025-07-30 00:00:00+00:00,0.1465
2025-07-31 00:00:00+00:00,0.1396
2025-08-01 00:00:00+00:00,0.1311
2025-08-02 00:00:00+00:00,0.1268
2025-08-03 00:00:00+00:00,0.1309
2025-08-04 00:00:00+00:00,0.1388
2025-08-05 00:00:00+00:00,0.133
2025-08-06 00:00:00+00:00,0.1402
2025-08-07 00:00:00+00:00,0.147
2025-08-08 00:00:00+00:00,0.1486
2025-08-09 00:00:00+00:00,0.1524
2025-08-10 00:00:00+00:00,0.1498
2025-08-11 00:00:00+00:00,0.14
2025-08-12 00:00:00+00:00,0.1507
2025-08-13 00:00:00+00:00,0.1525
2025-08-14 00:00:00+00:00,0.1416
2025-08-15 00:00:00+00:00,0.1422
2025-08-16 00:00:00+00:00,0.1478
2025-08-17 00:00:00+00:00,0.1483
2025-08-18 00:00:00+00:00,0.1436
2025-08-19 00:00:00+00:00,0.1361
2025-08-20 00:00:00+00:00,0.1448
2025-08-21 00:00:00+00:00,0.1406
2025-08-22 00:00:00+00:00,0.1519
2025-08-23 00:00:00+00:00,0.1505
2025-08-24 00:00:00+00:00,0.1481
2025-08-25 00:00:00+00:00,0.1338
2025-08-26 00:00:00+00:00,0.1399
2025-08-27 00:00:00+00:00,0.1386
2025-08-28 00:00:00+00:00,0.1432
2025-08-29 00:00:00+00:00,0.1342
2025-08-30 00:00:00+00:00,0.1354
2025-08-31 00:00:00+00:00,0.1312
2025-09-01 00:00:00+00:00,0.1292
2025-09-02 00:00:00+00:00,0.133
2025-09-03 00:00:00+00:00,0.1345
2025-09-04 00:00:00+00:00,0.1293
2025-09-05 00:00:00+00:00,0.132
2025-09-06 00:00:00+00:00,0.1318
2025-09-07 00:00:00+00:00,0.1335
2025-09-08 00:00:00+00:00,0.1368
2025-09-09 00:00:00+00:00,0.1371
2025-09-10 00:00:00+00:00,0.1408
2025-09-11 00:00:00+00:00,0.1425
2025-09-12 00:00:00+00:00,0.1447
2025-09-13 00:00:00+00:00,0.1465
2025-09-14 00:00:00+00:00,0.1406
2025-09-15 00:00:00+00:00,0.1336
2025-09-16 00:00:00+00:00,0.1383
2025-09-17 00:00:00+00:00,0.1426
2025-09-18 00:00:00+00:00,0.1414
2025-09-19 00:00:00+00:00,0.1335
2025-09-20 00:00:00+00:00,0.1365
2025-09-21 00:00:00+00:00,0.1336
2025-09-22 00:00:00+00:00,0.1241
2025-09-23 00:00:00+00:00,0.123
2025-09-24 00:00:00+00:00,0.1241
2025-09-25 00:00:00+00:00,0.1166
2025-09-26 00:00:00+00:00,0.1199
2025-09-27 00:00:00+00:00,0.1202
2025-09-28 00:00:00+00:00,0.1239
2025-09-29 00:00:00+00:00,0.1216
2025-09-30 00:00:00+00:00,0.1204
2025-10-01 00:00:00+00:00,0.1329
2025-10-02 00:00:00+00:00,0.134
2025-10-03 00:00:00+00:00,0.1403
2025-10-04 00:00:00+00:00,0.1595
2025-10-05 00:00:00+00:00,0.1414
2025-10-06 00:00:00+00:00,0.1447
2025-10-07 00:00:00+00:00,0.1349
2025-10-08 00:00:00+00:00,0.144
2025-10-09 00:00:00+00:00,0.1894
2025-10-10 00:00:00+00:00,0.2458
2025-10-11 00:00:00+00:00,0.205
2025-10-12 00:00:00+00:00,0.2327
2025-10-13 00:00:00+00:00,0.2199
2025-10-14 00:00:00+00:00,0.196
2025-10-15 00:00:00+00:00,0.1799
2025-10-16 00:00:00+00:00,0.1769
2025-10-17 00:00:00+00:00,0.1755
2025-10-18 00:00:00+00:00,0.1777
2025-10-19 00:00:00+00:00,0.1847
2025-10-20 00:00:00+00:00,0.1826
2025-10-21 00:00:00+00:00,0.168
2025-10-22 00:00:00+00:00,0.1636
2025-10-23 00:00:00+00:00,0.1684
2025-10-24 00:00:00+00:00,0.1669
2025-10-25 00:00:00+00:00,0.1694
2025-10-26 00:00:00+00:00,0.2427
2025-10-27 00:00:00+00:00,0.2334
