date,TRX/USDT
2025-03-10 00:00:00+00:00,0.2292
2025-03-11 00:00:00+00:00,0.2244
2025-03-12 00:00:00+00:00,0.2229
2025-03-13 00:00:00+00:00,0.2253
2025-03-14 00:00:00+00:00,0.2224
2025-03-15 00:00:00+00:00,0.2215
2025-03-16 00:00:00+00:00,0.2119
2025-03-17 00:00:00+00:00,0.2206
2025-03-18 00:00:00+00:00,0.2371
2025-03-19 00:00:00+00:00,0.2309
2025-03-20 00:00:00+00:00,0.2339
2025-03-21 00:00:00+00:00,0.2335
2025-03-22 00:00:00+00:00,0.237
2025-03-23 00:00:00+00:00,0.23
2025-03-24 00:00:00+00:00,0.2282
2025-03-25 00:00:00+00:00,0.2272
2025-03-26 00:00:00+00:00,0.2314
2025-03-27 00:00:00+00:00,0.235
2025-03-28 00:00:00+00:00,0.2325
2025-03-29 00:00:00+00:00,0.2318
2025-03-30 00:00:00+00:00,0.2319
2025-03-31 00:00:00+00:00,0.2388
2025-04-01 00:00:00+00:00,0.2378
2025-04-02 00:00:00+00:00,0.2341
2025-04-03 00:00:00+00:00,0.2382
2025-04-04 00:00:00+00:00,0.239
2025-04-05 00:00:00+00:00,0.2375
2025-04-06 00:00:00+00:00,0.2301
2025-04-07 00:00:00+00:00,0.2287
2025-04-08 00:00:00+00:00,0.2306
2025-04-09 00:00:00+00:00,0.2385
2025-04-10 00:00:00+00:00,0.2363
2025-04-11 00:00:00+00:00,0.243
2025-04-12 00:00:00+00:00,0.246
2025-04-13 00:00:00+00:00,0.2547
2025-04-14 00:00:00+00:00,0.2521
2025-04-15 00:00:00+00:00,0.2505
2025-04-16 00:00:00+00:00,0.2476
2025-04-17 00:00:00+00:00,0.2478
2025-04-18 00:00:00+00:00,0.2398
2025-04-19 00:00:00+00:00,0.244
2025-04-20 00:00:00+00:00,0.2438
2025-04-21 00:00:00+00:00,0.2463
2025-04-22 00:00:00+00:00,0.2483
2025-04-23 00:00:00+00:00,0.2462
2025-04-24 00:00:00+00:00,0.2454
2025-04-25 00:00:00+00:00,0.2419
