date,PEPE/USDT
2025-02-27 00:00:00+00:00,8.21e-06
2025-02-28 00:00:00+00:00,7.92e-06
2025-03-01 00:00:00+00:00,7.59e-06
2025-03-02 00:00:00+00:00,8.83e-06
2025-03-03 00:00:00+00:00,7.23e-06
2025-03-04 00:00:00+00:00,6.99e-06
2025-03-05 00:00:00+00:00,7.08e-06
2025-03-06 00:00:00+00:00,6.83e-06
2025-03-07 00:00:00+00:00,6.98e-06
2025-03-08 00:00:00+00:00,6.67e-06
2025-03-09 00:00:00+00:00,5.87e-06
2025-03-10 00:00:00+00:00,5.7e-06
2025-03-11 00:00:00+00:00,6.33e-06
2025-03-12 00:00:00+00:00,6.96e-06
2025-03-13 00:00:00+00:00,6.69e-06
2025-03-14 00:00:00+00:00,7.06e-06
2025-03-15 00:00:00+00:00,7.14e-06
2025-03-16 00:00:00+00:00,6.58e-06
2025-03-17 00:00:00+00:00,7.39e-06
2025-03-18 00:00:00+00:00,7.28e-06
2025-03-19 00:00:00+00:00,7.46e-06
2025-03-20 00:00:00+00:00,7.65e-06
2025-03-21 00:00:00+00:00,7.2e-06
2025-03-22 00:00:00+00:00,7.07e-06
2025-03-23 00:00:00+00:00,7.35e-06
2025-03-24 00:00:00+00:00,7.99e-06
2025-03-25 00:00:00+00:00,8.01e-06
2025-03-26 00:00:00+00:00,8.52e-06
2025-03-27 00:00:00+00:00,8.44e-06
2025-03-28 00:00:00+00:00,7.79e-06
2025-03-29 00:00:00+00:00,7.22e-06
2025-03-30 00:00:00+00:00,6.94e-06
2025-03-31 00:00:00+00:00,7.2e-06
2025-04-01 00:00:00+00:00,7.72e-06
2025-04-02 00:00:00+00:00,7.05e-06
2025-04-03 00:00:00+00:00,6.71e-06
2025-04-04 00:00:00+00:00,7.24e-06
2025-04-05 00:00:00+00:00,7.06e-06
2025-04-06 00:00:00+00:00,6.34e-06
2025-04-07 00:00:00+00:00,6.45e-06
2025-04-08 00:00:00+00:00,6.05e-06
2025-04-09 00:00:00+00:00,6.97e-06
2025-04-10 00:00:00+00:00,6.71e-06
2025-04-11 00:00:00+00:00,6.94e-06
2025-04-12 00:00:00+00:00,7.44e-06
2025-04-13 00:00:00+00:00,7.27e-06
2025-04-14 00:00:00+00:00,7.34e-06
2025-04-15 00:00:00+00:00,7e-06
2025-04-16 00:00:00+00:00,7.13e-06
2025-04-17 00:00:00+00:00,7.24e-06
2025-04-18 00:00:00+00:00,7.34e-06
2025-04-19 00:00:00+00:00,7.5e-06
2025-04-20 00:00:00+00:00,7.54e-06
2025-04-21 00:00:00+00:00,7.74e-06
2025-04-22 00:00:00+00:00,8.81e-06
2025-04-23 00:00:00+00:00,8.83e-06
2025-04-24 00:00:00+00:00,8.76e-06
2025-04-25 00:00:00+00:00,9.05e-06
2025-04-26 00:00:00+00:00,9.18e-06
2025-04-27 00:00:00+00:00,8.76e-06
2025-04-28 00:00:00+00:00,8.96e-06
