date,WLD/USDT
2025-05-21 00:00:00+00:00,1.193
2025-05-22 00:00:00+00:00,1.514
2025-05-23 00:00:00+00:00,1.354
2025-05-24 00:00:00+00:00,1.405
2025-05-25 00:00:00+00:00,1.421
2025-05-26 00:00:00+00:00,1.366
2025-05-27 00:00:00+00:00,1.403
2025-05-28 00:00:00+00:00,1.357
2025-05-29 00:00:00+00:00,1.31
2025-05-30 00:00:00+00:00,1.125
2025-05-31 00:00:00+00:00,1.135
2025-06-01 00:00:00+00:00,1.166
2025-06-02 00:00:00+00:00,1.188
2025-06-03 00:00:00+00:00,1.188
2025-06-04 00:00:00+00:00,1.131
2025-06-05 00:00:00+00:00,1.033
2025-06-06 00:00:00+00:00,1.062
2025-06-07 00:00:00+00:00,1.122
2025-06-08 00:00:00+00:00,1.107
2025-06-09 00:00:00+00:00,1.164
2025-06-10 00:00:00+00:00,1.179
2025-06-11 00:00:00+00:00,1.12
2025-06-12 00:00:00+00:00,1.027
2025-06-13 00:00:00+00:00,1.004
2025-06-14 00:00:00+00:00,0.975
2025-06-15 00:00:00+00:00,0.98
2025-06-16 00:00:00+00:00,0.959
2025-06-17 00:00:00+00:00,0.91
2025-06-18 00:00:00+00:00,0.956
2025-06-19 00:00:00+00:00,0.931
2025-06-20 00:00:00+00:00,0.885
2025-06-21 00:00:00+00:00,0.867
2025-06-22 00:00:00+00:00,0.828
2025-06-23 00:00:00+00:00,0.924
2025-06-24 00:00:00+00:00,0.93
2025-06-25 00:00:00+00:00,0.885
2025-06-26 00:00:00+00:00,0.863
2025-06-27 00:00:00+00:00,0.875
2025-06-28 00:00:00+00:00,0.895
2025-06-29 00:00:00+00:00,0.941
2025-06-30 00:00:00+00:00,0.899
2025-07-01 00:00:00+00:00,0.854
2025-07-02 00:00:00+00:00,0.944
2025-07-03 00:00:00+00:00,0.943
2025-07-04 00:00:00+00:00,0.874
2025-07-05 00:00:00+00:00,0.869
2025-07-06 00:00:00+00:00,0.893
2025-07-07 00:00:00+00:00,0.872
2025-07-08 00:00:00+00:00,0.874
2025-07-09 00:00:00+00:00,0.913
2025-07-10 00:00:00+00:00,1.068
2025-07-11 00:00:00+00:00,1.04
2025-07-12 00:00:00+00:00,1.03
2025-07-13 00:00:00+00:00,1.045
2025-07-14 00:00:00+00:00,1.052
2025-07-15 00:00:00+00:00,1.085
2025-07-16 00:00:00+00:00,1.107
2025-07-17 00:00:00+00:00,1.107
2025-07-18 00:00:00+00:00,1.138
2025-07-19 00:00:00+00:00,1.149
2025-07-20 00:00:00+00:00,1.222
2025-07-21 00:00:00+00:00,1.237
2025-07-22 00:00:00+00:00,1.397
2025-07-23 00:00:00+00:00,1.175
2025-07-24 00:00:00+00:00,1.138
2025-07-25 00:00:00+00:00,1.164
2025-07-26 00:00:00+00:00,1.159
2025-07-27 00:00:00+00:00,1.216
