date,VIRTUAL/USDT
2025-08-16 00:00:00+00:00,1.2093
2025-08-17 00:00:00+00:00,1.305
2025-08-18 00:00:00+00:00,1.2137
2025-08-19 00:00:00+00:00,1.1676
2025-08-20 00:00:00+00:00,1.2606
2025-08-21 00:00:00+00:00,1.1845
2025-08-22 00:00:00+00:00,1.3267
2025-08-23 00:00:00+00:00,1.2838
2025-08-24 00:00:00+00:00,1.2335
2025-08-25 00:00:00+00:00,1.1178
2025-08-26 00:00:00+00:00,1.1803
2025-08-27 00:00:00+00:00,1.1584
2025-08-28 00:00:00+00:00,1.2114
2025-08-29 00:00:00+00:00,1.1342
2025-08-30 00:00:00+00:00,1.1509
2025-08-31 00:00:00+00:00,1.1094
2025-09-01 00:00:00+00:00,1.0267
2025-09-02 00:00:00+00:00,1.0626
2025-09-03 00:00:00+00:00,1.1336
2025-09-04 00:00:00+00:00,1.058
2025-09-05 00:00:00+00:00,1.0998
2025-09-06 00:00:00+00:00,1.1114
2025-09-07 00:00:00+00:00,1.1436
2025-09-08 00:00:00+00:00,1.2815
2025-09-09 00:00:00+00:00,1.2572
2025-09-10 00:00:00+00:00,1.2576
2025-09-11 00:00:00+00:00,1.2837
2025-09-12 00:00:00+00:00,1.3305
2025-09-13 00:00:00+00:00,1.36
2025-09-14 00:00:00+00:00,1.27
2025-09-15 00:00:00+00:00,1.2253
2025-09-16 00:00:00+00:00,1.2455
2025-09-17 00:00:00+00:00,1.3609
2025-09-18 00:00:00+00:00,1.3585
2025-09-19 00:00:00+00:00,1.2583
2025-09-20 00:00:00+00:00,1.2608
2025-09-21 00:00:00+00:00,1.2233
2025-09-22 00:00:00+00:00,1.116
2025-09-23 00:00:00+00:00,1.0846
2025-09-24 00:00:00+00:00,1.0898
2025-09-25 00:00:00+00:00,1.0005
2025-09-26 00:00:00+00:00,1.0439
2025-09-27 00:00:00+00:00,1.0237
2025-09-28 00:00:00+00:00,1.0527
2025-09-29 00:00:00+00:00,1.0283
2025-09-30 00:00:00+00:00,1.0129
2025-10-01 00:00:00+00:00,1.0885
2025-10-02 00:00:00+00:00,1.1598
2025-10-03 00:00:00+00:00,1.1402
2025-10-04 00:00:00+00:00,1.1084
2025-10-05 00:00:00+00:00,1.0848
2025-10-06 00:00:00+00:00,1.1685
2025-10-07 00:00:00+00:00,1.0867
2025-10-08 00:00:00+00:00,1.1265
2025-10-09 00:00:00+00:00,1.0515
2025-10-10 00:00:00+00:00,0.7249
2025-10-11 00:00:00+00:00,0.7059
2025-10-12 00:00:00+00:00,0.7886
2025-10-13 00:00:00+00:00,0.8702
2025-10-14 00:00:00+00:00,0.8199
2025-10-15 00:00:00+00:00,0.7742
2025-10-16 00:00:00+00:00,0.767
2025-10-17 00:00:00+00:00,0.7422
2025-10-18 00:00:00+00:00,0.7528
2025-10-19 00:00:00+00:00,0.7913
2025-10-20 00:00:00+00:00,0.7968
2025-10-21 00:00:00+00:00,0.7747
2025-10-22 00:00:00+00:00,0.7361
2025-10-23 00:00:00+00:00,0.7836
2025-10-24 00:00:00+00:00,1.0027
2025-10-25 00:00:00+00:00,1.3172
2025-10-26 00:00:00+00:00,1.5107
2025-10-27 00:00:00+00:00,1.4321
2025-10-28 00:00:00+00:00,1.4969
2025-10-29 00:00:00+00:00,1.5158
2025-10-30 00:00:00+00:00,1.2552
2025-10-31 00:00:00+00:00,1.3596
2025-11-01 00:00:00+00:00,1.8336
2025-11-02 00:00:00+00:00,1.673
2025-11-03 00:00:00+00:00,1.4608
2025-11-04 00:00:00+00:00,1.3611
2025-11-05 00:00:00+00:00,1.3851
2025-11-06 00:00:00+00:00,1.1929
2025-11-07 00:00:00+00:00,1.5049
2025-11-08 00:00:00+00:00,1.3754
2025-11-09 00:00:00+00:00,1.4569
2025-11-10 00:00:00+00:00,1.4656
2025-11-11 00:00:00+00:00,1.3349
2025-11-12 00:00:00+00:00,1.2568
2025-11-13 00:00:00+00:00,1.2453
2025-11-14 00:00:00+00:00,1.1749
2025-11-15 00:00:00+00:00,1.1497
2025-11-16 00:00:00+00:00,1.1072
2025-11-17 00:00:00+00:00,1.0602
2025-11-18 00:00:00+00:00,1.1371
2025-11-19 00:00:00+00:00,1.1463
2025-11-20 00:00:00+00:00,0.9967
2025-11-21 00:00:00+00:00,0.9133
2025-11-22 00:00:00+00:00,0.8778
2025-11-23 00:00:00+00:00,0.8821
2025-11-24 00:00:00+00:00,0.9362
2025-11-25 00:00:00+00:00,0.9173
2025-11-26 00:00:00+00:00,0.9776
