date,DOGE/USDT
2025-07-21 00:00:00+00:00,0.27142
2025-07-22 00:00:00+00:00,0.27093
2025-07-23 00:00:00+00:00,0.24083
2025-07-24 00:00:00+00:00,0.23218
2025-07-25 00:00:00+00:00,0.23673
2025-07-26 00:00:00+00:00,0.23543
2025-07-27 00:00:00+00:00,0.24071
2025-07-28 00:00:00+00:00,0.22615
2025-07-29 00:00:00+00:00,0.22392
2025-07-30 00:00:00+00:00,0.21999
2025-07-31 00:00:00+00:00,0.20974
2025-08-01 00:00:00+00:00,0.20097
2025-08-02 00:00:00+00:00,0.19098
2025-08-03 00:00:00+00:00,0.19876
2025-08-04 00:00:00+00:00,0.21039
2025-08-05 00:00:00+00:00,0.19981
2025-08-06 00:00:00+00:00,0.20524
2025-08-07 00:00:00+00:00,0.22228
2025-08-08 00:00:00+00:00,0.23039
2025-08-09 00:00:00+00:00,0.23995
2025-08-10 00:00:00+00:00,0.23385
2025-08-11 00:00:00+00:00,0.22207
2025-08-12 00:00:00+00:00,0.23582
2025-08-13 00:00:00+00:00,0.24482
2025-08-14 00:00:00+00:00,0.22382
2025-08-15 00:00:00+00:00,0.22886
2025-08-16 00:00:00+00:00,0.23115
2025-08-17 00:00:00+00:00,0.23456
2025-08-18 00:00:00+00:00,0.22262
2025-08-19 00:00:00+00:00,0.20943
2025-08-20 00:00:00+00:00,0.22169
2025-08-21 00:00:00+00:00,0.21473
2025-08-22 00:00:00+00:00,0.24054
2025-08-23 00:00:00+00:00,0.23631
2025-08-24 00:00:00+00:00,0.23182
2025-08-25 00:00:00+00:00,0.20965
2025-08-26 00:00:00+00:00,0.21839
2025-08-27 00:00:00+00:00,0.21892
2025-08-28 00:00:00+00:00,0.22437
2025-08-29 00:00:00+00:00,0.21391
2025-08-30 00:00:00+00:00,0.21595
2025-08-31 00:00:00+00:00,0.21371
2025-09-01 00:00:00+00:00,0.21073
2025-09-02 00:00:00+00:00,0.21489
2025-09-03 00:00:00+00:00,0.2203
2025-09-04 00:00:00+00:00,0.21241
2025-09-05 00:00:00+00:00,0.21788
2025-09-06 00:00:00+00:00,0.21595
