date,PENDLE/USDT
2025-05-21 00:00:00+00:00,4.369
2025-05-22 00:00:00+00:00,4.655
2025-05-23 00:00:00+00:00,4.253
2025-05-24 00:00:00+00:00,4.422
2025-05-25 00:00:00+00:00,4.418
2025-05-26 00:00:00+00:00,4.329
2025-05-27 00:00:00+00:00,4.555
2025-05-28 00:00:00+00:00,4.512
2025-05-29 00:00:00+00:00,4.327
2025-05-30 00:00:00+00:00,3.941
2025-05-31 00:00:00+00:00,3.992
2025-06-01 00:00:00+00:00,4.122
2025-06-02 00:00:00+00:00,4.293
2025-06-03 00:00:00+00:00,4.217
2025-06-04 00:00:00+00:00,4.11
2025-06-05 00:00:00+00:00,3.981
2025-06-06 00:00:00+00:00,4.004
2025-06-07 00:00:00+00:00,4.106
2025-06-08 00:00:00+00:00,4.064
2025-06-09 00:00:00+00:00,4.327
2025-06-10 00:00:00+00:00,4.475
2025-06-11 00:00:00+00:00,4.019
2025-06-12 00:00:00+00:00,3.857
2025-06-13 00:00:00+00:00,3.819
2025-06-14 00:00:00+00:00,3.707
2025-06-15 00:00:00+00:00,3.698
2025-06-16 00:00:00+00:00,4.075
2025-06-17 00:00:00+00:00,3.927
2025-06-18 00:00:00+00:00,3.774
2025-06-19 00:00:00+00:00,3.887
2025-06-20 00:00:00+00:00,3.654
2025-06-21 00:00:00+00:00,3.497
2025-06-22 00:00:00+00:00,3.271
2025-06-23 00:00:00+00:00,3.589
2025-06-24 00:00:00+00:00,3.545
2025-06-25 00:00:00+00:00,3.359
2025-06-26 00:00:00+00:00,3.339
2025-06-27 00:00:00+00:00,3.443
2025-06-28 00:00:00+00:00,3.568
2025-06-29 00:00:00+00:00,3.712
2025-06-30 00:00:00+00:00,3.457
2025-07-01 00:00:00+00:00,3.307
2025-07-02 00:00:00+00:00,3.525
2025-07-03 00:00:00+00:00,3.525
2025-07-04 00:00:00+00:00,3.333
2025-07-05 00:00:00+00:00,3.347
2025-07-06 00:00:00+00:00,3.421
2025-07-07 00:00:00+00:00,3.397
2025-07-08 00:00:00+00:00,3.451
2025-07-09 00:00:00+00:00,3.713
2025-07-10 00:00:00+00:00,4.051
2025-07-11 00:00:00+00:00,3.947
2025-07-12 00:00:00+00:00,3.85
2025-07-13 00:00:00+00:00,3.921
2025-07-14 00:00:00+00:00,4.045
2025-07-15 00:00:00+00:00,4.068
2025-07-16 00:00:00+00:00,4.208
2025-07-17 00:00:00+00:00,4.17
2025-07-18 00:00:00+00:00,4.471
2025-07-19 00:00:00+00:00,4.471
2025-07-20 00:00:00+00:00,4.618
2025-07-21 00:00:00+00:00,4.594
2025-07-22 00:00:00+00:00,4.87
2025-07-23 00:00:00+00:00,4.387
2025-07-24 00:00:00+00:00,4.272
2025-07-25 00:00:00+00:00,4.482
2025-07-26 00:00:00+00:00,4.442
2025-07-27 00:00:00+00:00,4.427
2025-07-28 00:00:00+00:00,4.525
2025-07-29 00:00:00+00:00,4.37
2025-07-30 00:00:00+00:00,4.324
2025-07-31 00:00:00+00:00,4.035
2025-08-01 00:00:00+00:00,3.915
2025-08-02 00:00:00+00:00,3.734
2025-08-03 00:00:00+00:00,3.976
2025-08-04 00:00:00+00:00,4.057
2025-08-05 00:00:00+00:00,3.872
2025-08-06 00:00:00+00:00,4.011
2025-08-07 00:00:00+00:00,5.02
2025-08-08 00:00:00+00:00,5.431
2025-08-09 00:00:00+00:00,5.671
2025-08-10 00:00:00+00:00,5.466
2025-08-11 00:00:00+00:00,5.43
2025-08-12 00:00:00+00:00,5.732
2025-08-13 00:00:00+00:00,5.649
2025-08-14 00:00:00+00:00,5.434
2025-08-15 00:00:00+00:00,5.286
2025-08-16 00:00:00+00:00,5.444
2025-08-17 00:00:00+00:00,5.545
2025-08-18 00:00:00+00:00,5.343
2025-08-19 00:00:00+00:00,5.091
2025-08-20 00:00:00+00:00,5.494
2025-08-21 00:00:00+00:00,5.427
2025-08-22 00:00:00+00:00,5.883
2025-08-23 00:00:00+00:00,6.099
