date,TIA/USDT
2025-07-27 00:00:00+00:00,2.068
2025-07-28 00:00:00+00:00,1.899
2025-07-29 00:00:00+00:00,1.865
2025-07-30 00:00:00+00:00,1.786
2025-07-31 00:00:00+00:00,1.682
2025-08-01 00:00:00+00:00,1.621
2025-08-02 00:00:00+00:00,1.597
2025-08-03 00:00:00+00:00,1.641
2025-08-04 00:00:00+00:00,1.715
2025-08-05 00:00:00+00:00,1.637
2025-08-06 00:00:00+00:00,1.659
2025-08-07 00:00:00+00:00,1.729
2025-08-08 00:00:00+00:00,1.768
2025-08-09 00:00:00+00:00,1.82
2025-08-10 00:00:00+00:00,1.833
2025-08-11 00:00:00+00:00,1.714
2025-08-12 00:00:00+00:00,1.873
2025-08-13 00:00:00+00:00,2.003
2025-08-14 00:00:00+00:00,1.746
2025-08-15 00:00:00+00:00,1.776
2025-08-16 00:00:00+00:00,1.823
2025-08-17 00:00:00+00:00,1.831
2025-08-18 00:00:00+00:00,1.742
2025-08-19 00:00:00+00:00,1.648
2025-08-20 00:00:00+00:00,1.727
2025-08-21 00:00:00+00:00,1.667
2025-08-22 00:00:00+00:00,1.882
2025-08-23 00:00:00+00:00,1.866
2025-08-24 00:00:00+00:00,1.793
2025-08-25 00:00:00+00:00,1.612
2025-08-26 00:00:00+00:00,1.681
2025-08-27 00:00:00+00:00,1.683
2025-08-28 00:00:00+00:00,1.747
2025-08-29 00:00:00+00:00,1.616
2025-08-30 00:00:00+00:00,1.638
2025-08-31 00:00:00+00:00,1.596
2025-09-01 00:00:00+00:00,1.553
2025-09-02 00:00:00+00:00,1.607
2025-09-03 00:00:00+00:00,1.632
2025-09-04 00:00:00+00:00,1.555
2025-09-05 00:00:00+00:00,1.617
2025-09-06 00:00:00+00:00,1.602
2025-09-07 00:00:00+00:00,1.646
2025-09-08 00:00:00+00:00,1.726
2025-09-09 00:00:00+00:00,1.808
2025-09-10 00:00:00+00:00,1.761
2025-09-11 00:00:00+00:00,1.803
2025-09-12 00:00:00+00:00,1.851
2025-09-13 00:00:00+00:00,1.864
2025-09-14 00:00:00+00:00,1.762
2025-09-15 00:00:00+00:00,1.695
