date,XVG/USDT
2025-05-15 00:00:00+00:00,0.007303
2025-05-16 00:00:00+00:00,0.006712
2025-05-17 00:00:00+00:00,0.0067
2025-05-18 00:00:00+00:00,0.007154
2025-05-19 00:00:00+00:00,0.006874
2025-05-20 00:00:00+00:00,0.006939
2025-05-21 00:00:00+00:00,0.00712
2025-05-22 00:00:00+00:00,0.0077
2025-05-23 00:00:00+00:00,0.00693
2025-05-24 00:00:00+00:00,0.007038
2025-05-25 00:00:00+00:00,0.006982
2025-05-26 00:00:00+00:00,0.007052
2025-05-27 00:00:00+00:00,0.007336
2025-05-28 00:00:00+00:00,0.007518
2025-05-29 00:00:00+00:00,0.007036
2025-05-30 00:00:00+00:00,0.006033
2025-05-31 00:00:00+00:00,0.00643
2025-06-01 00:00:00+00:00,0.006692
2025-06-02 00:00:00+00:00,0.006612
2025-06-03 00:00:00+00:00,0.006343
2025-06-04 00:00:00+00:00,0.006032
2025-06-05 00:00:00+00:00,0.005751
2025-06-06 00:00:00+00:00,0.00582
2025-06-07 00:00:00+00:00,0.00599
2025-06-08 00:00:00+00:00,0.006047
2025-06-09 00:00:00+00:00,0.006343
2025-06-10 00:00:00+00:00,0.006459
2025-06-11 00:00:00+00:00,0.006
2025-06-12 00:00:00+00:00,0.00546
2025-06-13 00:00:00+00:00,0.005346
2025-06-14 00:00:00+00:00,0.005199
2025-06-15 00:00:00+00:00,0.005154
2025-06-16 00:00:00+00:00,0.005102
2025-06-17 00:00:00+00:00,0.004875
2025-06-18 00:00:00+00:00,0.004886
2025-06-19 00:00:00+00:00,0.004823
2025-06-20 00:00:00+00:00,0.004623
2025-06-21 00:00:00+00:00,0.004504
2025-06-22 00:00:00+00:00,0.004465
2025-06-23 00:00:00+00:00,0.004963
2025-06-24 00:00:00+00:00,0.00508
2025-06-25 00:00:00+00:00,0.00491
2025-06-26 00:00:00+00:00,0.004769
2025-06-27 00:00:00+00:00,0.00513
2025-06-28 00:00:00+00:00,0.005156
2025-06-29 00:00:00+00:00,0.005471
2025-06-30 00:00:00+00:00,0.005368
2025-07-01 00:00:00+00:00,0.005018
2025-07-02 00:00:00+00:00,0.00547
2025-07-03 00:00:00+00:00,0.005408
2025-07-04 00:00:00+00:00,0.005123
2025-07-05 00:00:00+00:00,0.005115
2025-07-06 00:00:00+00:00,0.005153
2025-07-07 00:00:00+00:00,0.005129
2025-07-08 00:00:00+00:00,0.005305
2025-07-09 00:00:00+00:00,0.005595
2025-07-10 00:00:00+00:00,0.006332
2025-07-11 00:00:00+00:00,0.006218
2025-07-12 00:00:00+00:00,0.006151
2025-07-13 00:00:00+00:00,0.006497
2025-07-14 00:00:00+00:00,0.006421
2025-07-15 00:00:00+00:00,0.006697
2025-07-16 00:00:00+00:00,0.006622
2025-07-17 00:00:00+00:00,0.007101
