date,BCH/USDT
2025-07-27 00:00:00+00:00,590.0
2025-07-28 00:00:00+00:00,572.6
2025-07-29 00:00:00+00:00,564.2
2025-07-30 00:00:00+00:00,590.1
2025-07-31 00:00:00+00:00,561.5
2025-08-01 00:00:00+00:00,536.2
2025-08-02 00:00:00+00:00,520.2
2025-08-03 00:00:00+00:00,544.2
2025-08-04 00:00:00+00:00,574.5
2025-08-05 00:00:00+00:00,551.8
2025-08-06 00:00:00+00:00,571.1
2025-08-07 00:00:00+00:00,582.2
2025-08-08 00:00:00+00:00,586.0
2025-08-09 00:00:00+00:00,566.1
2025-08-10 00:00:00+00:00,570.5
2025-08-11 00:00:00+00:00,578.5
2025-08-12 00:00:00+00:00,618.8
2025-08-13 00:00:00+00:00,616.2
2025-08-14 00:00:00+00:00,593.2
2025-08-15 00:00:00+00:00,592.5
2025-08-16 00:00:00+00:00,587.3
2025-08-17 00:00:00+00:00,582.0
2025-08-18 00:00:00+00:00,568.8
2025-08-19 00:00:00+00:00,548.5
2025-08-20 00:00:00+00:00,560.9
2025-08-21 00:00:00+00:00,554.7
2025-08-22 00:00:00+00:00,599.8
2025-08-23 00:00:00+00:00,591.3
2025-08-24 00:00:00+00:00,583.2
2025-08-25 00:00:00+00:00,543.6
2025-08-26 00:00:00+00:00,550.9
2025-08-27 00:00:00+00:00,550.2
2025-08-28 00:00:00+00:00,557.9
2025-08-29 00:00:00+00:00,530.7
2025-08-30 00:00:00+00:00,552.8
2025-08-31 00:00:00+00:00,544.2
2025-09-01 00:00:00+00:00,545.1
2025-09-02 00:00:00+00:00,584.7
2025-09-03 00:00:00+00:00,603.7
2025-09-04 00:00:00+00:00,586.6
2025-09-05 00:00:00+00:00,606.8
2025-09-06 00:00:00+00:00,595.3
2025-09-07 00:00:00+00:00,603.2
2025-09-08 00:00:00+00:00,588.4
2025-09-09 00:00:00+00:00,580.5
2025-09-10 00:00:00+00:00,581.1
2025-09-11 00:00:00+00:00,596.4
2025-09-12 00:00:00+00:00,598.3
2025-09-13 00:00:00+00:00,598.5
2025-09-14 00:00:00+00:00,601.6
2025-09-15 00:00:00+00:00,593.7
2025-09-16 00:00:00+00:00,598.8
2025-09-17 00:00:00+00:00,616.7
2025-09-18 00:00:00+00:00,624.4
2025-09-19 00:00:00+00:00,600.6
2025-09-20 00:00:00+00:00,594.5
2025-09-21 00:00:00+00:00,593.6
2025-09-22 00:00:00+00:00,567.1
2025-09-23 00:00:00+00:00,556.7
2025-09-24 00:00:00+00:00,556.4
2025-09-25 00:00:00+00:00,536.5
2025-09-26 00:00:00+00:00,548.1
2025-09-27 00:00:00+00:00,543.7
2025-09-28 00:00:00+00:00,556.4
2025-09-29 00:00:00+00:00,561.0
2025-09-30 00:00:00+00:00,560.6
2025-10-01 00:00:00+00:00,592.8
2025-10-02 00:00:00+00:00,594.5
2025-10-03 00:00:00+00:00,608.5
2025-10-04 00:00:00+00:00,589.9
2025-10-05 00:00:00+00:00,594.2
2025-10-06 00:00:00+00:00,598.8
2025-10-07 00:00:00+00:00,576.2
2025-10-08 00:00:00+00:00,583.1
2025-10-09 00:00:00+00:00,580.0
2025-10-10 00:00:00+00:00,513.5
2025-10-11 00:00:00+00:00,500.1
2025-10-12 00:00:00+00:00,540.7
2025-10-13 00:00:00+00:00,546.5
2025-10-14 00:00:00+00:00,538.0
2025-10-15 00:00:00+00:00,522.2
2025-10-16 00:00:00+00:00,504.8
2025-10-17 00:00:00+00:00,469.8
2025-10-18 00:00:00+00:00,468.5
2025-10-19 00:00:00+00:00,472.7
2025-10-20 00:00:00+00:00,478.7
2025-10-21 00:00:00+00:00,480.8
2025-10-22 00:00:00+00:00,473.2
2025-10-23 00:00:00+00:00,480.3
2025-10-24 00:00:00+00:00,503.2
2025-10-25 00:00:00+00:00,508.2
2025-10-26 00:00:00+00:00,559.4
2025-10-27 00:00:00+00:00,555.6
2025-10-28 00:00:00+00:00,557.6
2025-10-29 00:00:00+00:00,555.6
2025-10-30 00:00:00+00:00,541.2
2025-10-31 00:00:00+00:00,535.1
2025-11-01 00:00:00+00:00,554.0
2025-11-02 00:00:00+00:00,536.9
2025-11-03 00:00:00+00:00,505.9
2025-11-04 00:00:00+00:00,480.0
2025-11-05 00:00:00+00:00,489.1
2025-11-06 00:00:00+00:00,472.9
2025-11-07 00:00:00+00:00,512.3
2025-11-08 00:00:00+00:00,495.8
2025-11-09 00:00:00+00:00,503.5
2025-11-10 00:00:00+00:00,517.6
2025-11-11 00:00:00+00:00,505.7
2025-11-12 00:00:00+00:00,507.4
2025-11-13 00:00:00+00:00,509.3
2025-11-14 00:00:00+00:00,479.6
2025-11-15 00:00:00+00:00,502.5
2025-11-16 00:00:00+00:00,483.4
2025-11-17 00:00:00+00:00,490.8
2025-11-18 00:00:00+00:00,523.2
2025-11-19 00:00:00+00:00,486.4
2025-11-20 00:00:00+00:00,480.8
2025-11-21 00:00:00+00:00,533.5
2025-11-22 00:00:00+00:00,556.7
2025-11-23 00:00:00+00:00,539.3
2025-11-24 00:00:00+00:00,549.3
2025-11-25 00:00:00+00:00,527.3
2025-11-26 00:00:00+00:00,543.7
2025-11-27 00:00:00+00:00,532.7
2025-11-28 00:00:00+00:00,548.6
2025-11-29 00:00:00+00:00,521.5
2025-11-30 00:00:00+00:00,540.8
2025-12-01 00:00:00+00:00,523.2
2025-12-02 00:00:00+00:00,545.3
2025-12-03 00:00:00+00:00,590.6
