date,NEAR/USDT
2025-07-27 00:00:00+00:00,2.963
2025-07-28 00:00:00+00:00,2.752
2025-07-29 00:00:00+00:00,2.723
2025-07-30 00:00:00+00:00,2.657
2025-07-31 00:00:00+00:00,2.535
2025-08-01 00:00:00+00:00,2.414
2025-08-02 00:00:00+00:00,2.348
2025-08-03 00:00:00+00:00,2.444
2025-08-04 00:00:00+00:00,2.552
2025-08-05 00:00:00+00:00,2.468
2025-08-06 00:00:00+00:00,2.489
2025-08-07 00:00:00+00:00,2.651
2025-08-08 00:00:00+00:00,2.712
2025-08-09 00:00:00+00:00,2.831
2025-08-10 00:00:00+00:00,2.754
2025-08-11 00:00:00+00:00,2.601
2025-08-12 00:00:00+00:00,2.787
2025-08-13 00:00:00+00:00,2.997
2025-08-14 00:00:00+00:00,2.759
2025-08-15 00:00:00+00:00,2.708
2025-08-16 00:00:00+00:00,2.742
2025-08-17 00:00:00+00:00,2.702
2025-08-18 00:00:00+00:00,2.575
2025-08-19 00:00:00+00:00,2.422
2025-08-20 00:00:00+00:00,2.547
2025-08-21 00:00:00+00:00,2.445
2025-08-22 00:00:00+00:00,2.688
2025-08-23 00:00:00+00:00,2.7
2025-08-24 00:00:00+00:00,2.657
2025-08-25 00:00:00+00:00,2.398
2025-08-26 00:00:00+00:00,2.526
2025-08-27 00:00:00+00:00,2.519
2025-08-28 00:00:00+00:00,2.545
2025-08-29 00:00:00+00:00,2.43
2025-08-30 00:00:00+00:00,2.435
2025-08-31 00:00:00+00:00,2.367
2025-09-01 00:00:00+00:00,2.34
2025-09-02 00:00:00+00:00,2.439
2025-09-03 00:00:00+00:00,2.469
2025-09-04 00:00:00+00:00,2.376
2025-09-05 00:00:00+00:00,2.399
2025-09-06 00:00:00+00:00,2.402
2025-09-07 00:00:00+00:00,2.465
2025-09-08 00:00:00+00:00,2.576
2025-09-09 00:00:00+00:00,2.634
2025-09-10 00:00:00+00:00,2.727
2025-09-11 00:00:00+00:00,2.745
2025-09-12 00:00:00+00:00,2.792
2025-09-13 00:00:00+00:00,2.81
2025-09-14 00:00:00+00:00,2.706
2025-09-15 00:00:00+00:00,2.626
2025-09-16 00:00:00+00:00,2.708
2025-09-17 00:00:00+00:00,2.824
2025-09-18 00:00:00+00:00,3.175
2025-09-19 00:00:00+00:00,3.12
2025-09-20 00:00:00+00:00,3.156
2025-09-21 00:00:00+00:00,3.129
2025-09-22 00:00:00+00:00,2.962
2025-09-23 00:00:00+00:00,2.919
2025-09-24 00:00:00+00:00,3.023
2025-09-25 00:00:00+00:00,2.728
2025-09-26 00:00:00+00:00,2.778
2025-09-27 00:00:00+00:00,2.728
2025-09-28 00:00:00+00:00,2.8
2025-09-29 00:00:00+00:00,2.775
2025-09-30 00:00:00+00:00,2.629
2025-10-01 00:00:00+00:00,2.833
2025-10-02 00:00:00+00:00,2.968
2025-10-03 00:00:00+00:00,3.032
2025-10-04 00:00:00+00:00,2.961
2025-10-05 00:00:00+00:00,2.957
2025-10-06 00:00:00+00:00,3.049
2025-10-07 00:00:00+00:00,2.949
2025-10-08 00:00:00+00:00,2.964
2025-10-09 00:00:00+00:00,2.88
2025-10-10 00:00:00+00:00,2.382
2025-10-11 00:00:00+00:00,2.3
2025-10-12 00:00:00+00:00,2.456
2025-10-13 00:00:00+00:00,2.619
2025-10-14 00:00:00+00:00,2.46
2025-10-15 00:00:00+00:00,2.325
2025-10-16 00:00:00+00:00,2.198
2025-10-17 00:00:00+00:00,2.149
2025-10-18 00:00:00+00:00,2.167
2025-10-19 00:00:00+00:00,2.258
2025-10-20 00:00:00+00:00,2.26
2025-10-21 00:00:00+00:00,2.217
2025-10-22 00:00:00+00:00,2.164
2025-10-23 00:00:00+00:00,2.202
2025-10-24 00:00:00+00:00,2.273
2025-10-25 00:00:00+00:00,2.279
2025-10-26 00:00:00+00:00,2.369
2025-10-27 00:00:00+00:00,2.332
2025-10-28 00:00:00+00:00,2.234
2025-10-29 00:00:00+00:00,2.276
2025-10-30 00:00:00+00:00,2.1
2025-10-31 00:00:00+00:00,2.099
2025-11-01 00:00:00+00:00,2.174
2025-11-02 00:00:00+00:00,2.19
2025-11-03 00:00:00+00:00,1.912
2025-11-04 00:00:00+00:00,1.831
2025-11-05 00:00:00+00:00,1.951
2025-11-06 00:00:00+00:00,2.097
2025-11-07 00:00:00+00:00,2.768
2025-11-08 00:00:00+00:00,2.937
2025-11-09 00:00:00+00:00,3.075
2025-11-10 00:00:00+00:00,2.787
