date,SHELL/USDT
2025-03-17 00:00:00+00:00,0.311
2025-03-18 00:00:00+00:00,0.3299
2025-03-19 00:00:00+00:00,0.3033
2025-03-20 00:00:00+00:00,0.2964
2025-03-21 00:00:00+00:00,0.2853
2025-03-22 00:00:00+00:00,0.2879
2025-03-23 00:00:00+00:00,0.275
2025-03-24 00:00:00+00:00,0.2798
2025-03-25 00:00:00+00:00,0.2732
2025-03-26 00:00:00+00:00,0.26
2025-03-27 00:00:00+00:00,0.2714
2025-03-28 00:00:00+00:00,0.2419
2025-03-29 00:00:00+00:00,0.2154
2025-03-30 00:00:00+00:00,0.2188
2025-03-31 00:00:00+00:00,0.202
2025-04-01 00:00:00+00:00,0.1827
2025-04-02 00:00:00+00:00,0.1719
2025-04-03 00:00:00+00:00,0.1649
2025-04-04 00:00:00+00:00,0.1666
2025-04-05 00:00:00+00:00,0.1641
2025-04-06 00:00:00+00:00,0.1394
2025-04-07 00:00:00+00:00,0.1444
2025-04-08 00:00:00+00:00,0.1337
2025-04-09 00:00:00+00:00,0.1449
2025-04-10 00:00:00+00:00,0.1289
2025-04-11 00:00:00+00:00,0.1349
2025-04-12 00:00:00+00:00,0.1394
2025-04-13 00:00:00+00:00,0.1154
2025-04-14 00:00:00+00:00,0.111
2025-04-15 00:00:00+00:00,0.1206
2025-04-16 00:00:00+00:00,0.1196
2025-04-17 00:00:00+00:00,0.1304
2025-04-18 00:00:00+00:00,0.1219
2025-04-19 00:00:00+00:00,0.1274
2025-04-20 00:00:00+00:00,0.1337
2025-04-21 00:00:00+00:00,0.1496
2025-04-22 00:00:00+00:00,0.1503
2025-04-23 00:00:00+00:00,0.1534
2025-04-24 00:00:00+00:00,0.1599
2025-04-25 00:00:00+00:00,0.1637
2025-04-26 00:00:00+00:00,0.1822
2025-04-27 00:00:00+00:00,0.1897
2025-04-28 00:00:00+00:00,0.218
2025-04-29 00:00:00+00:00,0.2169
2025-04-30 00:00:00+00:00,0.227
2025-05-01 00:00:00+00:00,0.2256
2025-05-02 00:00:00+00:00,0.2023
2025-05-03 00:00:00+00:00,0.1763
2025-05-04 00:00:00+00:00,0.1634
2025-05-05 00:00:00+00:00,0.1972
2025-05-06 00:00:00+00:00,0.1787
2025-05-07 00:00:00+00:00,0.1937
2025-05-08 00:00:00+00:00,0.2219
2025-05-09 00:00:00+00:00,0.2611
2025-05-10 00:00:00+00:00,0.2556
2025-05-11 00:00:00+00:00,0.2482
2025-05-12 00:00:00+00:00,0.2415
2025-05-13 00:00:00+00:00,0.2541
2025-05-14 00:00:00+00:00,0.23
2025-05-15 00:00:00+00:00,0.2155
2025-05-16 00:00:00+00:00,0.2181
2025-05-17 00:00:00+00:00,0.2061
2025-05-18 00:00:00+00:00,0.2309
2025-05-19 00:00:00+00:00,0.2227
2025-05-20 00:00:00+00:00,0.2226
2025-05-21 00:00:00+00:00,0.2272
2025-05-22 00:00:00+00:00,0.2477
2025-05-23 00:00:00+00:00,0.2124
2025-05-24 00:00:00+00:00,0.2181
2025-05-25 00:00:00+00:00,0.2035
2025-05-26 00:00:00+00:00,0.2108
2025-05-27 00:00:00+00:00,0.2264
2025-05-28 00:00:00+00:00,0.2238
2025-05-29 00:00:00+00:00,0.2074
2025-05-30 00:00:00+00:00,0.1727
2025-05-31 00:00:00+00:00,0.1771
2025-06-01 00:00:00+00:00,0.1834
2025-06-02 00:00:00+00:00,0.1791
2025-06-03 00:00:00+00:00,0.1813
2025-06-04 00:00:00+00:00,0.1698
2025-06-05 00:00:00+00:00,0.151
2025-06-06 00:00:00+00:00,0.1506
2025-06-07 00:00:00+00:00,0.1549
2025-06-08 00:00:00+00:00,0.1549
2025-06-09 00:00:00+00:00,0.166
2025-06-10 00:00:00+00:00,0.1744
2025-06-11 00:00:00+00:00,0.1657
2025-06-12 00:00:00+00:00,0.1463
2025-06-13 00:00:00+00:00,0.1425
2025-06-14 00:00:00+00:00,0.1402
2025-06-15 00:00:00+00:00,0.143
2025-06-16 00:00:00+00:00,0.1453
2025-06-17 00:00:00+00:00,0.1402
2025-06-18 00:00:00+00:00,0.1408
2025-06-19 00:00:00+00:00,0.1431
2025-06-20 00:00:00+00:00,0.1353
2025-06-21 00:00:00+00:00,0.1263
2025-06-22 00:00:00+00:00,0.1254
2025-06-23 00:00:00+00:00,0.1486
2025-06-24 00:00:00+00:00,0.1453
2025-06-25 00:00:00+00:00,0.1392
2025-06-26 00:00:00+00:00,0.1355
2025-06-27 00:00:00+00:00,0.1501
2025-06-28 00:00:00+00:00,0.1523
2025-06-29 00:00:00+00:00,0.1535
2025-06-30 00:00:00+00:00,0.1493
2025-07-01 00:00:00+00:00,0.1426
2025-07-02 00:00:00+00:00,0.1512
2025-07-03 00:00:00+00:00,0.1489
2025-07-04 00:00:00+00:00,0.1374
2025-07-05 00:00:00+00:00,0.1355
2025-07-06 00:00:00+00:00,0.1367
2025-07-07 00:00:00+00:00,0.1381
2025-07-08 00:00:00+00:00,0.139
2025-07-09 00:00:00+00:00,0.1461
2025-07-10 00:00:00+00:00,0.1615
2025-07-11 00:00:00+00:00,0.1613
2025-07-12 00:00:00+00:00,0.1596
2025-07-13 00:00:00+00:00,0.162
2025-07-14 00:00:00+00:00,0.1622
2025-07-15 00:00:00+00:00,0.1711
2025-07-16 00:00:00+00:00,0.1701
2025-07-17 00:00:00+00:00,0.1648
2025-07-18 00:00:00+00:00,0.167
2025-07-19 00:00:00+00:00,0.1676
2025-07-20 00:00:00+00:00,0.175
2025-07-21 00:00:00+00:00,0.1781
2025-07-22 00:00:00+00:00,0.1824
2025-07-23 00:00:00+00:00,0.1743
2025-07-24 00:00:00+00:00,0.2044
2025-07-25 00:00:00+00:00,0.1922
2025-07-26 00:00:00+00:00,0.1867
2025-07-27 00:00:00+00:00,0.1844
2025-07-28 00:00:00+00:00,0.1787
2025-07-29 00:00:00+00:00,0.1696
2025-07-30 00:00:00+00:00,0.1628
2025-07-31 00:00:00+00:00,0.1512
2025-08-01 00:00:00+00:00,0.1487
2025-08-02 00:00:00+00:00,0.1421
2025-08-03 00:00:00+00:00,0.1424
2025-08-04 00:00:00+00:00,0.1487
2025-08-05 00:00:00+00:00,0.145
2025-08-06 00:00:00+00:00,0.1427
2025-08-07 00:00:00+00:00,0.1652
2025-08-08 00:00:00+00:00,0.1668
2025-08-09 00:00:00+00:00,0.1832
2025-08-10 00:00:00+00:00,0.1811
2025-08-11 00:00:00+00:00,0.1655
2025-08-12 00:00:00+00:00,0.1705
2025-08-13 00:00:00+00:00,0.1589
2025-08-14 00:00:00+00:00,0.1385
2025-08-15 00:00:00+00:00,0.1348
2025-08-16 00:00:00+00:00,0.1379
2025-08-17 00:00:00+00:00,0.1382
2025-08-18 00:00:00+00:00,0.1328
2025-08-19 00:00:00+00:00,0.1266
2025-08-20 00:00:00+00:00,0.1334
2025-08-21 00:00:00+00:00,0.1289
2025-08-22 00:00:00+00:00,0.1361
2025-08-23 00:00:00+00:00,0.1515
2025-08-24 00:00:00+00:00,0.1432
2025-08-25 00:00:00+00:00,0.1283
2025-08-26 00:00:00+00:00,0.137
2025-08-27 00:00:00+00:00,0.1309
2025-08-28 00:00:00+00:00,0.1384
2025-08-29 00:00:00+00:00,0.1244
2025-08-30 00:00:00+00:00,0.1228
2025-08-31 00:00:00+00:00,0.1178
2025-09-01 00:00:00+00:00,0.1092
2025-09-02 00:00:00+00:00,0.1127
2025-09-03 00:00:00+00:00,0.1221
2025-09-04 00:00:00+00:00,0.1183
2025-09-05 00:00:00+00:00,0.1168
2025-09-06 00:00:00+00:00,0.115
2025-09-07 00:00:00+00:00,0.1225
2025-09-08 00:00:00+00:00,0.1315
2025-09-09 00:00:00+00:00,0.1308
2025-09-10 00:00:00+00:00,0.1399
2025-09-11 00:00:00+00:00,0.1361
2025-09-12 00:00:00+00:00,0.1449
2025-09-13 00:00:00+00:00,0.1428
2025-09-14 00:00:00+00:00,0.1335
2025-09-15 00:00:00+00:00,0.1273
2025-09-16 00:00:00+00:00,0.1312
2025-09-17 00:00:00+00:00,0.1347
2025-09-18 00:00:00+00:00,0.1403
2025-09-19 00:00:00+00:00,0.1326
2025-09-20 00:00:00+00:00,0.1424
2025-09-21 00:00:00+00:00,0.1425
2025-09-22 00:00:00+00:00,0.1219
2025-09-23 00:00:00+00:00,0.1198
2025-09-24 00:00:00+00:00,0.1313
2025-09-25 00:00:00+00:00,0.1155
2025-09-26 00:00:00+00:00,0.1187
2025-09-27 00:00:00+00:00,0.1161
2025-09-28 00:00:00+00:00,0.118
2025-09-29 00:00:00+00:00,0.114
2025-09-30 00:00:00+00:00,0.1122
2025-10-01 00:00:00+00:00,0.1179
2025-10-02 00:00:00+00:00,0.1218
2025-10-03 00:00:00+00:00,0.1221
2025-10-04 00:00:00+00:00,0.1184
2025-10-05 00:00:00+00:00,0.1162
2025-10-06 00:00:00+00:00,0.1225
2025-10-07 00:00:00+00:00,0.1173
2025-10-08 00:00:00+00:00,0.1253
2025-10-09 00:00:00+00:00,0.1201
2025-10-10 00:00:00+00:00,0.0839
2025-10-11 00:00:00+00:00,0.0758
2025-10-12 00:00:00+00:00,0.0867
2025-10-13 00:00:00+00:00,0.0929
2025-10-14 00:00:00+00:00,0.1058
2025-10-15 00:00:00+00:00,0.0957
2025-10-16 00:00:00+00:00,0.0891
2025-10-17 00:00:00+00:00,0.0874
2025-10-18 00:00:00+00:00,0.0917
2025-10-19 00:00:00+00:00,0.0916
2025-10-20 00:00:00+00:00,0.0915
2025-10-21 00:00:00+00:00,0.0881
2025-10-22 00:00:00+00:00,0.0862
2025-10-23 00:00:00+00:00,0.0915
2025-10-24 00:00:00+00:00,0.0963
2025-10-25 00:00:00+00:00,0.1022
2025-10-26 00:00:00+00:00,0.105
2025-10-27 00:00:00+00:00,0.0994
2025-10-28 00:00:00+00:00,0.1148
2025-10-29 00:00:00+00:00,0.114
2025-10-30 00:00:00+00:00,0.1157
2025-10-31 00:00:00+00:00,0.1096
2025-11-01 00:00:00+00:00,0.1149
2025-11-02 00:00:00+00:00,0.122
2025-11-03 00:00:00+00:00,0.104
2025-11-04 00:00:00+00:00,0.1073
2025-11-05 00:00:00+00:00,0.1172
2025-11-06 00:00:00+00:00,0.1143
2025-11-07 00:00:00+00:00,0.1213
2025-11-08 00:00:00+00:00,0.1158
2025-11-09 00:00:00+00:00,0.1121
2025-11-10 00:00:00+00:00,0.113
2025-11-11 00:00:00+00:00,0.1015
2025-11-12 00:00:00+00:00,0.0948
2025-11-13 00:00:00+00:00,0.0898
2025-11-14 00:00:00+00:00,0.0807
2025-11-15 00:00:00+00:00,0.0819
2025-11-16 00:00:00+00:00,0.0799
2025-11-17 00:00:00+00:00,0.0759
2025-11-18 00:00:00+00:00,0.077
2025-11-19 00:00:00+00:00,0.0758
2025-11-20 00:00:00+00:00,0.076
2025-11-21 00:00:00+00:00,0.0697
2025-11-22 00:00:00+00:00,0.0677
2025-11-23 00:00:00+00:00,0.0677
2025-11-24 00:00:00+00:00,0.0669
2025-11-25 00:00:00+00:00,0.068
2025-11-26 00:00:00+00:00,0.0689
2025-11-27 00:00:00+00:00,0.0677
2025-11-28 00:00:00+00:00,0.0658
2025-11-29 00:00:00+00:00,0.0617
2025-11-30 00:00:00+00:00,0.059
2025-12-01 00:00:00+00:00,0.0528
2025-12-02 00:00:00+00:00,0.0557
2025-12-03 00:00:00+00:00,0.0569
2025-12-04 00:00:00+00:00,0.0548
2025-12-05 00:00:00+00:00,0.0528
2025-12-06 00:00:00+00:00,0.0549
2025-12-07 00:00:00+00:00,0.0537
2025-12-08 00:00:00+00:00,0.0547
2025-12-09 00:00:00+00:00,0.0565
2025-12-10 00:00:00+00:00,0.0606
2025-12-11 00:00:00+00:00,0.0575
2025-12-12 00:00:00+00:00,0.0533
2025-12-13 00:00:00+00:00,0.0546
2025-12-14 00:00:00+00:00,0.0488
2025-12-15 00:00:00+00:00,0.0461
2025-12-16 00:00:00+00:00,0.0481
2025-12-17 00:00:00+00:00,0.0437
2025-12-18 00:00:00+00:00,0.0409
2025-12-19 00:00:00+00:00,0.0452
2025-12-20 00:00:00+00:00,0.0443
2025-12-21 00:00:00+00:00,0.0431
2025-12-22 00:00:00+00:00,0.044
2025-12-23 00:00:00+00:00,0.0442
2025-12-24 00:00:00+00:00,0.0463
2025-12-25 00:00:00+00:00,0.0443
2025-12-26 00:00:00+00:00,0.0451
2025-12-27 00:00:00+00:00,0.05
2025-12-28 00:00:00+00:00,0.0491
2025-12-29 00:00:00+00:00,0.0489
2025-12-30 00:00:00+00:00,0.0505
2025-12-31 00:00:00+00:00,0.0498
2026-01-01 00:00:00+00:00,0.0507
2026-01-02 00:00:00+00:00,0.0511
2026-01-03 00:00:00+00:00,0.0524
2026-01-04 00:00:00+00:00,0.053
2026-01-05 00:00:00+00:00,0.0551
2026-01-06 00:00:00+00:00,0.0546
2026-01-07 00:00:00+00:00,0.0473
2026-01-08 00:00:00+00:00,0.0482
2026-01-09 00:00:00+00:00,0.0473
2026-01-10 00:00:00+00:00,0.047
2026-01-11 00:00:00+00:00,0.0459
2026-01-12 00:00:00+00:00,0.0451
2026-01-13 00:00:00+00:00,0.0477
2026-01-14 00:00:00+00:00,0.0478
2026-01-15 00:00:00+00:00,0.0481
2026-01-16 00:00:00+00:00,0.0501
2026-01-17 00:00:00+00:00,0.051
2026-01-18 00:00:00+00:00,0.0492
2026-01-19 00:00:00+00:00,0.0567
2026-01-20 00:00:00+00:00,0.0557
