date,ME/USDT
2025-04-21 00:00:00+00:00,0.804
2025-04-22 00:00:00+00:00,0.847
2025-04-23 00:00:00+00:00,0.891
2025-04-24 00:00:00+00:00,0.893
2025-04-25 00:00:00+00:00,0.913
2025-04-26 00:00:00+00:00,0.929
2025-04-27 00:00:00+00:00,0.905
2025-04-28 00:00:00+00:00,0.982
2025-04-29 00:00:00+00:00,0.988
2025-04-30 00:00:00+00:00,1.002
2025-05-01 00:00:00+00:00,1.11
2025-05-02 00:00:00+00:00,1.059
2025-05-03 00:00:00+00:00,0.977
2025-05-04 00:00:00+00:00,0.934
2025-05-05 00:00:00+00:00,0.955
2025-05-06 00:00:00+00:00,0.91
2025-05-07 00:00:00+00:00,0.907
2025-05-08 00:00:00+00:00,1.005
2025-05-09 00:00:00+00:00,1.114
2025-05-10 00:00:00+00:00,1.179
2025-05-11 00:00:00+00:00,1.137
2025-05-12 00:00:00+00:00,1.147
2025-05-13 00:00:00+00:00,1.155
2025-05-14 00:00:00+00:00,1.103
2025-05-15 00:00:00+00:00,1.024
2025-05-16 00:00:00+00:00,1.01
2025-05-17 00:00:00+00:00,0.967
2025-05-18 00:00:00+00:00,1.004
2025-05-19 00:00:00+00:00,0.953
2025-05-20 00:00:00+00:00,0.956
2025-05-21 00:00:00+00:00,0.976
2025-05-22 00:00:00+00:00,1.051
2025-05-23 00:00:00+00:00,0.964
2025-05-24 00:00:00+00:00,0.972
2025-05-25 00:00:00+00:00,0.963
2025-05-26 00:00:00+00:00,0.957
2025-05-27 00:00:00+00:00,0.975
2025-05-28 00:00:00+00:00,0.95
2025-05-29 00:00:00+00:00,0.921
2025-05-30 00:00:00+00:00,0.821
2025-05-31 00:00:00+00:00,0.806
2025-06-01 00:00:00+00:00,0.839
2025-06-02 00:00:00+00:00,0.845
2025-06-03 00:00:00+00:00,0.999
2025-06-04 00:00:00+00:00,0.934
2025-06-05 00:00:00+00:00,0.828
2025-06-06 00:00:00+00:00,0.839
2025-06-07 00:00:00+00:00,0.87
2025-06-08 00:00:00+00:00,0.87
2025-06-09 00:00:00+00:00,0.907
2025-06-10 00:00:00+00:00,0.923
2025-06-11 00:00:00+00:00,0.875
2025-06-12 00:00:00+00:00,0.813
2025-06-13 00:00:00+00:00,0.8
2025-06-14 00:00:00+00:00,0.791
2025-06-15 00:00:00+00:00,0.8
