,symbol,base,quote,quoteVolume,last,timestamp
0,ETH/USDT,ETH,USDT,1066681559.694345,3189.0,2026-01-20T00:48:54.078808+00:00
1,BTC/USDT,BTC,USDT,971441506.4881753,92673.16,2026-01-20T00:48:54.078773+00:00
2,SOL/USDT,SOL,USDT,245419795.82804,133.82,2026-01-20T00:48:54.079454+00:00
3,XRP/USDT,XRP,USDT,222379726.85516,1.9872,2026-01-20T00:48:54.078848+00:00
4,USD1/USDT,USD1,USDT,155073088.9699,0.9996,2026-01-20T00:48:54.081393+00:00
5,BNB/USDT,BNB,USDT,143447620.13038,930.11,2026-01-20T00:48:54.078816+00:00
6,DOGE/USDT,DOGE,USDT,97430766.43601,0.12889,2026-01-20T00:48:54.079179+00:00
7,BREV/USDT,BREV,USDT,93581346.95691,0.2684,2026-01-20T00:48:54.081666+00:00
8,ZEC/USDT,ZEC,USDT,85952252.42168,369.5,2026-01-20T00:48:54.079093+00:00
9,DASH/USDT,DASH,USDT,85235893.79753,75.51,2026-01-20T00:48:54.079107+00:00
10,DUSK/USDT,DUSK,USDT,84610876.8141,0.2136,2026-01-20T00:48:54.079183+00:00
11,SUI/USDT,SUI,USDT,74638709.51508,1.5596,2026-01-20T00:48:54.080765+00:00
12,TRX/USDT,TRX,USDT,70809594.50419,0.3107,2026-01-20T00:48:54.078874+00:00
13,ADA/USDT,ADA,USDT,58002017.65928,0.3691,2026-01-20T00:48:54.078843+00:00
14,ARPA/USDT,ARPA,USDT,46732787.822498,0.01886,2026-01-20T00:48:54.079316+00:00
15,ASTER/USDT,ASTER,USDT,46136276.81737,0.621,2026-01-20T00:48:54.081592+00:00
16,LTC/USDT,LTC,USDT,43344145.98054,71.02,2026-01-20T00:48:54.078832+00:00
17,ICP/USDT,ICP,USDT,42759816.34547,3.865,2026-01-20T00:48:54.080098+00:00
18,PEPE/USDT,PEPE,USDT,41041027.80527545,5.24e-06,2026-01-20T00:48:54.080774+00:00
19,PAXG/USDT,PAXG,USDT,39561815.944955,4679.02,2026-01-20T00:48:54.079665+00:00
20,ROSE/USDT,ROSE,USDT,34825612.266746,0.01847,2026-01-20T00:48:54.079864+00:00
21,币安人生/USDT,币安人生,USDT,34662644.50286,0.2086,2026-01-20T00:48:54.081672+00:00
22,NEAR/USDT,NEAR,USDT,29136545.4952,1.591,2026-01-20T00:48:54.079799+00:00
23,LINK/USDT,LINK,USDT,28046165.6359,12.87,2026-01-20T00:48:54.078921+00:00
24,FOGO/USDT,FOGO,USDT,26852091.8726,0.03013,2026-01-20T00:48:54.081686+00:00
25,ENA/USDT,ENA,USDT,26372030.017926,0.1933,2026-01-20T00:48:54.080999+00:00
26,AVAX/USDT,AVAX,USDT,24974360.8952,12.7,2026-01-20T00:48:54.079762+00:00
27,AXS/USDT,AXS,USDT,23132471.81871,1.781,2026-01-20T00:48:54.079841+00:00
28,ZEN/USDT,ZEN,USDT,22867263.27003,10.951,2026-01-20T00:48:54.079527+00:00
29,RESOLV/USDT,RESOLV,USDT,22386534.04655,0.1163,2026-01-20T00:48:54.081411+00:00
