date,PENGU/USDT
2025-04-22 00:00:00+00:00,0.007044
2025-04-23 00:00:00+00:00,0.006624
2025-04-24 00:00:00+00:00,0.007294
2025-04-25 00:00:00+00:00,0.008633
2025-04-26 00:00:00+00:00,0.009834
2025-04-27 00:00:00+00:00,0.012739
2025-04-28 00:00:00+00:00,0.01208
2025-04-29 00:00:00+00:00,0.011107
2025-04-30 00:00:00+00:00,0.011131
2025-05-01 00:00:00+00:00,0.010584
2025-05-02 00:00:00+00:00,0.011848
2025-05-03 00:00:00+00:00,0.010379
2025-05-04 00:00:00+00:00,0.010445
2025-05-05 00:00:00+00:00,0.010915
2025-05-06 00:00:00+00:00,0.01137
2025-05-07 00:00:00+00:00,0.011239
2025-05-08 00:00:00+00:00,0.01413
2025-05-09 00:00:00+00:00,0.014386
2025-05-10 00:00:00+00:00,0.01511
2025-05-11 00:00:00+00:00,0.014103
2025-05-12 00:00:00+00:00,0.013672
2025-05-13 00:00:00+00:00,0.014295
2025-05-14 00:00:00+00:00,0.014836
2025-05-15 00:00:00+00:00,0.013616
2025-05-16 00:00:00+00:00,0.012935
2025-05-17 00:00:00+00:00,0.01204
2025-05-18 00:00:00+00:00,0.013121
2025-05-19 00:00:00+00:00,0.01295
2025-05-20 00:00:00+00:00,0.012596
2025-05-21 00:00:00+00:00,0.013882
2025-05-22 00:00:00+00:00,0.014607
2025-05-23 00:00:00+00:00,0.01286
2025-05-24 00:00:00+00:00,0.013203
2025-05-25 00:00:00+00:00,0.012962
2025-05-26 00:00:00+00:00,0.012513
2025-05-27 00:00:00+00:00,0.013072
2025-05-28 00:00:00+00:00,0.01243
2025-05-29 00:00:00+00:00,0.011569
2025-05-30 00:00:00+00:00,0.010134
2025-05-31 00:00:00+00:00,0.010164
2025-06-01 00:00:00+00:00,0.010828
2025-06-02 00:00:00+00:00,0.010884
2025-06-03 00:00:00+00:00,0.010415
2025-06-04 00:00:00+00:00,0.010088
2025-06-05 00:00:00+00:00,0.009291
2025-06-06 00:00:00+00:00,0.009397
2025-06-07 00:00:00+00:00,0.010088
2025-06-08 00:00:00+00:00,0.009923
2025-06-09 00:00:00+00:00,0.011015
2025-06-10 00:00:00+00:00,0.012321
2025-06-11 00:00:00+00:00,0.011257
2025-06-12 00:00:00+00:00,0.010147
2025-06-13 00:00:00+00:00,0.009898
2025-06-14 00:00:00+00:00,0.009592
2025-06-15 00:00:00+00:00,0.009781
2025-06-16 00:00:00+00:00,0.010065
2025-06-17 00:00:00+00:00,0.009232
2025-06-18 00:00:00+00:00,0.009553
2025-06-19 00:00:00+00:00,0.009327
2025-06-20 00:00:00+00:00,0.009034
2025-06-21 00:00:00+00:00,0.008637
2025-06-22 00:00:00+00:00,0.00845
2025-06-23 00:00:00+00:00,0.009829
2025-06-24 00:00:00+00:00,0.009969
2025-06-25 00:00:00+00:00,0.009673
2025-06-26 00:00:00+00:00,0.009186
2025-06-27 00:00:00+00:00,0.010753
2025-06-28 00:00:00+00:00,0.013911
2025-06-29 00:00:00+00:00,0.014054
2025-06-30 00:00:00+00:00,0.014724
2025-07-01 00:00:00+00:00,0.014633
2025-07-02 00:00:00+00:00,0.015505
2025-07-03 00:00:00+00:00,0.016823
2025-07-04 00:00:00+00:00,0.016413
2025-07-05 00:00:00+00:00,0.01608
2025-07-06 00:00:00+00:00,0.015919
2025-07-07 00:00:00+00:00,0.014541
2025-07-08 00:00:00+00:00,0.014901
2025-07-09 00:00:00+00:00,0.015384
2025-07-10 00:00:00+00:00,0.019108
2025-07-11 00:00:00+00:00,0.02355
2025-07-12 00:00:00+00:00,0.0233
2025-07-13 00:00:00+00:00,0.030012
2025-07-14 00:00:00+00:00,0.029895
2025-07-15 00:00:00+00:00,0.032361
2025-07-16 00:00:00+00:00,0.030812
