,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
14,monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,644.15,11882553925,15,11882553925,351463825.0,643.21,561.7,38.94,6.43331,746242511.0,6.70098,18446744.07370955,18446744.07370955,,797.73,-19.25204,2026-01-14T19:34:07.049Z,0.216177,297875.99827,2015-01-14T00:00:00.000Z,,2026-01-19T09:24:49.438Z
15,bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,589.48,11780066490,16,11780230448,413073422.0,599.79,576.5,-4.886294547340867,-0.8221,-96513980.85741806,-0.81264,19982799.89665078,19983078.02165078,21000000.0,3785.82,-84.42914,2017-12-20T00:00:00.000Z,76.93,666.21332,2018-12-16T00:00:00.000Z,,2026-01-19T09:24:55.671Z
16,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3492.77,11749634064,17,11749634064,34915221.0,3663.09,3471.03,-114.45877867246645,-3.17304,-393988219.20811844,-3.2444,3364539.443124745,3364539.443124745,,5330.78,-34.52203,2025-08-24T19:27:46.809Z,1501.6,132.451,2025-04-09T03:57:40.245Z,,2026-01-19T09:24:54.390Z
17,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/WBTCLOGO.png?1764496367,92918.0,11598761883,18,11598761883,160809007.0,95362.0,91911.0,-1909.1874351458246,-2.01334,-251104509.86240578,-2.11905,124963.48883569,124963.48883569,,125932.0,-26.28342,2025-10-06T18:55:19.650Z,3139.17,2857.23487,2019-04-02T00:00:00.000Z,,2026-01-19T09:24:54.817Z
18,wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3486.09,10334261864,19,10334261864,11889852.0,3654.7,3465.16,-117.45902852059498,-3.25954,-345855116.1022568,-3.23831,2964852.400704113,2964852.400704113,,5296.78,-34.22499,2025-08-24T19:25:19.771Z,1505.24,131.45605,2025-04-09T03:45:31.391Z,,2026-01-19T09:24:54.719Z
19,usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999661,9699835160,20,9699835160,4500988.0,0.999788,0.999344,0.00013212,0.01322,-3465064.556131363,-0.03571,9702625782.543144,9702625782.543144,,1.057,-5.44868,2024-10-29T05:40:51.197Z,0.948265,5.42538,2024-10-03T13:19:28.826Z,,2026-01-19T09:24:53.207Z
20,chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,12.78,9056528889,21,12789901521,651119127.0,13.86,12.74,-0.9942743044835058,-7.21689,-695571671.4985027,-7.13253,708099970.4525867,1000000000.0,1000000000.0,52.7,-75.74262,2021-05-10T00:13:57.214Z,0.148183,8526.36069,2017-11-29T00:00:00.000Z,,2026-01-19T09:24:55.606Z
21,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999452,8978795490,22,8978795490,1007332005.0,1.005,0.996791,0.00022724,0.02274,-7610.52645111084,-8e-05,8984992789.453936,8984992789.453936,,1.05,-4.84603,2024-08-05T14:21:42.527Z,0.942186,6.03848,2024-12-05T22:30:39.827Z,,2026-01-19T09:24:56.050Z
22,leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.07,8360938154,23,8937384797,1628918.0,9.29,9.02,0.00463008,0.05105,509808.0,0.0061,921693173.9,985239504.0,,10.14,-10.45799,2025-03-10T09:26:43.294Z,0.799859,1034.59734,2019-12-24T15:14:35.376Z,,2026-01-19T09:24:49.073Z
23,weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3210.35,7901563577,24,7901563577,118794409.0,3365.47,3191.25,-108.60444967869398,-3.27224,-287261588.0117121,-3.50797,2462836.204764913,2462836.204764913,,4950.08,-35.16699,2025-08-24T19:28:11.411Z,82.1,3808.83177,2018-12-15T00:00:00.000Z,,2026-01-19T09:24:54.616Z
