date,ETHFI/USDT
2025-05-21 00:00:00+00:00,1.329
2025-05-22 00:00:00+00:00,1.357
2025-05-23 00:00:00+00:00,1.228
2025-05-24 00:00:00+00:00,1.234
2025-05-25 00:00:00+00:00,1.238
2025-05-26 00:00:00+00:00,1.24
2025-05-27 00:00:00+00:00,1.38
2025-05-28 00:00:00+00:00,1.384
2025-05-29 00:00:00+00:00,1.335
2025-05-30 00:00:00+00:00,1.077
2025-05-31 00:00:00+00:00,1.136
2025-06-01 00:00:00+00:00,1.17
2025-06-02 00:00:00+00:00,1.221
2025-06-03 00:00:00+00:00,1.22
2025-06-04 00:00:00+00:00,1.145
2025-06-05 00:00:00+00:00,1.057
2025-06-06 00:00:00+00:00,1.128
2025-06-07 00:00:00+00:00,1.165
2025-06-08 00:00:00+00:00,1.155
2025-06-09 00:00:00+00:00,1.277
2025-06-10 00:00:00+00:00,1.377
2025-06-11 00:00:00+00:00,1.276
2025-06-12 00:00:00+00:00,1.121
2025-06-13 00:00:00+00:00,1.114
2025-06-14 00:00:00+00:00,1.076
2025-06-15 00:00:00+00:00,1.072
2025-06-16 00:00:00+00:00,1.075
2025-06-17 00:00:00+00:00,1.009
2025-06-18 00:00:00+00:00,1.009
2025-06-19 00:00:00+00:00,1.004
2025-06-20 00:00:00+00:00,0.94
2025-06-21 00:00:00+00:00,0.861
2025-06-22 00:00:00+00:00,0.838
2025-06-23 00:00:00+00:00,0.969
2025-06-24 00:00:00+00:00,0.984
2025-06-25 00:00:00+00:00,0.92
2025-06-26 00:00:00+00:00,0.926
2025-06-27 00:00:00+00:00,0.898
2025-06-28 00:00:00+00:00,0.92
2025-06-29 00:00:00+00:00,1.042
2025-06-30 00:00:00+00:00,0.965
2025-07-01 00:00:00+00:00,0.894
2025-07-02 00:00:00+00:00,1.008
2025-07-03 00:00:00+00:00,0.997
2025-07-04 00:00:00+00:00,0.928
2025-07-05 00:00:00+00:00,0.932
2025-07-06 00:00:00+00:00,0.955
2025-07-07 00:00:00+00:00,0.971
2025-07-08 00:00:00+00:00,0.937
