date,XLM/USDT
2025-07-22 00:00:00+00:00,0.4723
2025-07-23 00:00:00+00:00,0.4278
2025-07-24 00:00:00+00:00,0.4246
2025-07-25 00:00:00+00:00,0.4313
2025-07-26 00:00:00+00:00,0.4352
2025-07-27 00:00:00+00:00,0.4442
2025-07-28 00:00:00+00:00,0.4192
2025-07-29 00:00:00+00:00,0.4211
2025-07-30 00:00:00+00:00,0.4077
2025-07-31 00:00:00+00:00,0.4009
2025-08-01 00:00:00+00:00,0.3822
2025-08-02 00:00:00+00:00,0.3671
2025-08-03 00:00:00+00:00,0.3994
2025-08-04 00:00:00+00:00,0.4137
2025-08-05 00:00:00+00:00,0.3959
2025-08-06 00:00:00+00:00,0.4001
2025-08-07 00:00:00+00:00,0.4395
2025-08-08 00:00:00+00:00,0.45
2025-08-09 00:00:00+00:00,0.4469
2025-08-10 00:00:00+00:00,0.4446
2025-08-11 00:00:00+00:00,0.4305
2025-08-12 00:00:00+00:00,0.4493
2025-08-13 00:00:00+00:00,0.4519
2025-08-14 00:00:00+00:00,0.4235
2025-08-15 00:00:00+00:00,0.4303
2025-08-16 00:00:00+00:00,0.4265
2025-08-17 00:00:00+00:00,0.4245
2025-08-18 00:00:00+00:00,0.4145
2025-08-19 00:00:00+00:00,0.3908
2025-08-20 00:00:00+00:00,0.4046
2025-08-21 00:00:00+00:00,0.3913
2025-08-22 00:00:00+00:00,0.4249
2025-08-23 00:00:00+00:00,0.4167
2025-08-24 00:00:00+00:00,0.4079
2025-08-25 00:00:00+00:00,0.3842
2025-08-26 00:00:00+00:00,0.3946
2025-08-27 00:00:00+00:00,0.379
2025-08-28 00:00:00+00:00,0.3822
2025-08-29 00:00:00+00:00,0.3614
2025-08-30 00:00:00+00:00,0.36
2025-08-31 00:00:00+00:00,0.3528
2025-09-01 00:00:00+00:00,0.3574
2025-09-02 00:00:00+00:00,0.3681
2025-09-03 00:00:00+00:00,0.3622
2025-09-04 00:00:00+00:00,0.352
2025-09-05 00:00:00+00:00,0.3596
2025-09-06 00:00:00+00:00,0.3558
