date,ONDO/USDT
2025-04-11 00:00:00+00:00,0.8938
2025-04-12 00:00:00+00:00,0.9052
2025-04-13 00:00:00+00:00,0.8476
2025-04-14 00:00:00+00:00,0.8757
2025-04-15 00:00:00+00:00,0.8321
2025-04-16 00:00:00+00:00,0.8194
2025-04-17 00:00:00+00:00,0.8291
2025-04-18 00:00:00+00:00,0.8308
2025-04-19 00:00:00+00:00,0.8549
2025-04-20 00:00:00+00:00,0.8382
2025-04-21 00:00:00+00:00,0.8513
2025-04-22 00:00:00+00:00,0.9151
2025-04-23 00:00:00+00:00,0.9154
2025-04-24 00:00:00+00:00,0.9792
2025-04-25 00:00:00+00:00,0.9897
2025-04-26 00:00:00+00:00,0.9946
2025-04-27 00:00:00+00:00,0.9445
2025-04-28 00:00:00+00:00,0.9733
2025-04-29 00:00:00+00:00,0.9295
2025-04-30 00:00:00+00:00,0.9073
2025-05-01 00:00:00+00:00,0.914
2025-05-02 00:00:00+00:00,0.9222
2025-05-03 00:00:00+00:00,0.8747
2025-05-04 00:00:00+00:00,0.8587
2025-05-05 00:00:00+00:00,0.8676
2025-05-06 00:00:00+00:00,0.8676
2025-05-07 00:00:00+00:00,0.8725
2025-05-08 00:00:00+00:00,0.9757
2025-05-09 00:00:00+00:00,1.0056
2025-05-10 00:00:00+00:00,1.1018
2025-05-11 00:00:00+00:00,1.039
2025-05-12 00:00:00+00:00,1.0293
2025-05-13 00:00:00+00:00,1.044
2025-05-14 00:00:00+00:00,1.0086
2025-05-15 00:00:00+00:00,0.9684
2025-05-16 00:00:00+00:00,0.9375
2025-05-17 00:00:00+00:00,0.9146
2025-05-18 00:00:00+00:00,0.959
2025-05-19 00:00:00+00:00,0.9271
2025-05-20 00:00:00+00:00,0.9439
2025-05-21 00:00:00+00:00,0.9753
2025-05-22 00:00:00+00:00,1.0195
2025-05-23 00:00:00+00:00,0.9334
2025-05-24 00:00:00+00:00,0.9398
2025-05-25 00:00:00+00:00,0.9505
2025-05-26 00:00:00+00:00,0.9402
2025-05-27 00:00:00+00:00,0.9484
2025-05-28 00:00:00+00:00,0.9336
2025-05-29 00:00:00+00:00,0.9
2025-05-30 00:00:00+00:00,0.8179
2025-05-31 00:00:00+00:00,0.8314
2025-06-01 00:00:00+00:00,0.8444
2025-06-02 00:00:00+00:00,0.8508
2025-06-03 00:00:00+00:00,0.8502
2025-06-04 00:00:00+00:00,0.8314
2025-06-05 00:00:00+00:00,0.7751
2025-06-06 00:00:00+00:00,0.805
2025-06-07 00:00:00+00:00,0.836
2025-06-08 00:00:00+00:00,0.8318
2025-06-09 00:00:00+00:00,0.8752
2025-06-10 00:00:00+00:00,0.8994
2025-06-11 00:00:00+00:00,0.8665
2025-06-12 00:00:00+00:00,0.8135
2025-06-13 00:00:00+00:00,0.7973
2025-06-14 00:00:00+00:00,0.7855
2025-06-15 00:00:00+00:00,0.7924
2025-06-16 00:00:00+00:00,0.7919
2025-06-17 00:00:00+00:00,0.7436
2025-06-18 00:00:00+00:00,0.7761
2025-06-19 00:00:00+00:00,0.7683
2025-06-20 00:00:00+00:00,0.7361
2025-06-21 00:00:00+00:00,0.6941
2025-06-22 00:00:00+00:00,0.6726
2025-06-23 00:00:00+00:00,0.7553
2025-06-24 00:00:00+00:00,0.7838
2025-06-25 00:00:00+00:00,0.7598
2025-06-26 00:00:00+00:00,0.7335
2025-06-27 00:00:00+00:00,0.7467
2025-06-28 00:00:00+00:00,0.7611
2025-06-29 00:00:00+00:00,0.7915
2025-06-30 00:00:00+00:00,0.769
2025-07-01 00:00:00+00:00,0.7415
2025-07-02 00:00:00+00:00,0.7852
2025-07-03 00:00:00+00:00,0.797
2025-07-04 00:00:00+00:00,0.7743
2025-07-05 00:00:00+00:00,0.7821
2025-07-06 00:00:00+00:00,0.7965
2025-07-07 00:00:00+00:00,0.7804
2025-07-08 00:00:00+00:00,0.802
2025-07-09 00:00:00+00:00,0.8326
2025-07-10 00:00:00+00:00,0.8938
2025-07-11 00:00:00+00:00,0.8846
2025-07-12 00:00:00+00:00,0.8736
2025-07-13 00:00:00+00:00,0.9042
2025-07-14 00:00:00+00:00,0.9226
2025-07-15 00:00:00+00:00,0.9386
2025-07-16 00:00:00+00:00,0.9587
2025-07-17 00:00:00+00:00,1.0344
2025-07-18 00:00:00+00:00,1.0067
2025-07-19 00:00:00+00:00,1.0313
2025-07-20 00:00:00+00:00,1.0475
2025-07-21 00:00:00+00:00,1.0754
2025-07-22 00:00:00+00:00,1.1431
2025-07-23 00:00:00+00:00,1.0304
2025-07-24 00:00:00+00:00,1.018
2025-07-25 00:00:00+00:00,1.0379
2025-07-26 00:00:00+00:00,1.0421
2025-07-27 00:00:00+00:00,1.0683
2025-07-28 00:00:00+00:00,0.992
2025-07-29 00:00:00+00:00,0.9596
2025-07-30 00:00:00+00:00,0.9454
2025-07-31 00:00:00+00:00,0.9192
2025-08-01 00:00:00+00:00,0.8898
2025-08-02 00:00:00+00:00,0.8749
2025-08-03 00:00:00+00:00,0.9211
2025-08-04 00:00:00+00:00,0.9501
2025-08-05 00:00:00+00:00,0.92
2025-08-06 00:00:00+00:00,0.9411
2025-08-07 00:00:00+00:00,1.0099
2025-08-08 00:00:00+00:00,1.0208
2025-08-09 00:00:00+00:00,1.0374
2025-08-10 00:00:00+00:00,1.0254
2025-08-11 00:00:00+00:00,0.9838
2025-08-12 00:00:00+00:00,1.0607
2025-08-13 00:00:00+00:00,1.0766
2025-08-14 00:00:00+00:00,1.0014
2025-08-15 00:00:00+00:00,0.9901
2025-08-16 00:00:00+00:00,1.0011
2025-08-17 00:00:00+00:00,1.0076
2025-08-18 00:00:00+00:00,0.9602
2025-08-19 00:00:00+00:00,0.9104
2025-08-20 00:00:00+00:00,0.9462
2025-08-21 00:00:00+00:00,0.9168
2025-08-22 00:00:00+00:00,1.0112
2025-08-23 00:00:00+00:00,1.0019
2025-08-24 00:00:00+00:00,0.9725
2025-08-25 00:00:00+00:00,0.8923
2025-08-26 00:00:00+00:00,0.9412
2025-08-27 00:00:00+00:00,0.9274
2025-08-28 00:00:00+00:00,0.9458
2025-08-29 00:00:00+00:00,0.9058
2025-08-30 00:00:00+00:00,0.9083
2025-08-31 00:00:00+00:00,0.8971
2025-09-01 00:00:00+00:00,0.8801
2025-09-02 00:00:00+00:00,0.9483
