date,QNT/USDT
2025-05-21 00:00:00+00:00,98.08
2025-05-22 00:00:00+00:00,98.11
2025-05-23 00:00:00+00:00,94.01
2025-05-24 00:00:00+00:00,95.6
2025-05-25 00:00:00+00:00,94.89
2025-05-26 00:00:00+00:00,104.77
2025-05-27 00:00:00+00:00,111.53
2025-05-28 00:00:00+00:00,117.22
2025-05-29 00:00:00+00:00,113.7
2025-05-30 00:00:00+00:00,105.7
2025-05-31 00:00:00+00:00,107.85
2025-06-01 00:00:00+00:00,106.55
2025-06-02 00:00:00+00:00,107.83
2025-06-03 00:00:00+00:00,116.43
2025-06-04 00:00:00+00:00,116.4
2025-06-05 00:00:00+00:00,111.05
2025-06-06 00:00:00+00:00,113.94
2025-06-07 00:00:00+00:00,115.3
2025-06-08 00:00:00+00:00,119.43
2025-06-09 00:00:00+00:00,122.67
2025-06-10 00:00:00+00:00,122.58
2025-06-11 00:00:00+00:00,114.97
2025-06-12 00:00:00+00:00,112.93
2025-06-13 00:00:00+00:00,106.89
2025-06-14 00:00:00+00:00,104.7
2025-06-15 00:00:00+00:00,106.85
2025-06-16 00:00:00+00:00,105.52
2025-06-17 00:00:00+00:00,100.69
2025-06-18 00:00:00+00:00,101.19
2025-06-19 00:00:00+00:00,98.92
2025-06-20 00:00:00+00:00,96.41
2025-06-21 00:00:00+00:00,90.9
2025-06-22 00:00:00+00:00,90.3
2025-06-23 00:00:00+00:00,98.15
2025-06-24 00:00:00+00:00,99.68
2025-06-25 00:00:00+00:00,97.6
2025-06-26 00:00:00+00:00,97.4
2025-06-27 00:00:00+00:00,102.86
2025-06-28 00:00:00+00:00,110.01
2025-06-29 00:00:00+00:00,110.2
2025-06-30 00:00:00+00:00,107.35
2025-07-01 00:00:00+00:00,103.73
2025-07-02 00:00:00+00:00,109.18
2025-07-03 00:00:00+00:00,108.87
2025-07-04 00:00:00+00:00,106.22
2025-07-05 00:00:00+00:00,107.08
2025-07-06 00:00:00+00:00,107.99
2025-07-07 00:00:00+00:00,106.76
2025-07-08 00:00:00+00:00,108.67
2025-07-09 00:00:00+00:00,110.22
2025-07-10 00:00:00+00:00,114.07
2025-07-11 00:00:00+00:00,111.77
2025-07-12 00:00:00+00:00,111.55
2025-07-13 00:00:00+00:00,115.2
2025-07-14 00:00:00+00:00,111.62
2025-07-15 00:00:00+00:00,114.17
2025-07-16 00:00:00+00:00,114.69
2025-07-17 00:00:00+00:00,113.42
2025-07-18 00:00:00+00:00,112.3
2025-07-19 00:00:00+00:00,113.21
2025-07-20 00:00:00+00:00,117.63
2025-07-21 00:00:00+00:00,126.09
2025-07-22 00:00:00+00:00,134.97
2025-07-23 00:00:00+00:00,121.02
2025-07-24 00:00:00+00:00,119.6
2025-07-25 00:00:00+00:00,120.75
2025-07-26 00:00:00+00:00,122.1
2025-07-27 00:00:00+00:00,131.57
2025-07-28 00:00:00+00:00,121.84
2025-07-29 00:00:00+00:00,120.27
2025-07-30 00:00:00+00:00,119.99
2025-07-31 00:00:00+00:00,115.53
2025-08-01 00:00:00+00:00,110.44
2025-08-02 00:00:00+00:00,106.71
2025-08-03 00:00:00+00:00,110.75
2025-08-04 00:00:00+00:00,112.42
2025-08-05 00:00:00+00:00,107.5
2025-08-06 00:00:00+00:00,108.89
2025-08-07 00:00:00+00:00,114.24
2025-08-08 00:00:00+00:00,114.59
2025-08-09 00:00:00+00:00,114.82
2025-08-10 00:00:00+00:00,114.0
2025-08-11 00:00:00+00:00,110.02
2025-08-12 00:00:00+00:00,114.44
2025-08-13 00:00:00+00:00,115.24
2025-08-14 00:00:00+00:00,110.18
2025-08-15 00:00:00+00:00,109.08
2025-08-16 00:00:00+00:00,108.72
2025-08-17 00:00:00+00:00,109.15
2025-08-18 00:00:00+00:00,107.41
2025-08-19 00:00:00+00:00,102.68
2025-08-20 00:00:00+00:00,107.03
2025-08-21 00:00:00+00:00,106.22
2025-08-22 00:00:00+00:00,111.07
2025-08-23 00:00:00+00:00,109.49
2025-08-24 00:00:00+00:00,105.34
2025-08-25 00:00:00+00:00,102.02
2025-08-26 00:00:00+00:00,105.91
2025-08-27 00:00:00+00:00,103.9
2025-08-28 00:00:00+00:00,104.76
2025-08-29 00:00:00+00:00,102.17
2025-08-30 00:00:00+00:00,104.42
2025-08-31 00:00:00+00:00,103.63
2025-09-01 00:00:00+00:00,100.25
2025-09-02 00:00:00+00:00,100.84
2025-09-03 00:00:00+00:00,101.64
2025-09-04 00:00:00+00:00,100.95
2025-09-05 00:00:00+00:00,102.23
2025-09-06 00:00:00+00:00,101.81
2025-09-07 00:00:00+00:00,102.11
2025-09-08 00:00:00+00:00,98.99
2025-09-09 00:00:00+00:00,97.42
2025-09-10 00:00:00+00:00,100.61
2025-09-11 00:00:00+00:00,101.0
2025-09-12 00:00:00+00:00,102.79
2025-09-13 00:00:00+00:00,104.95
2025-09-14 00:00:00+00:00,102.56
2025-09-15 00:00:00+00:00,100.44
2025-09-16 00:00:00+00:00,99.98
2025-09-17 00:00:00+00:00,102.25
2025-09-18 00:00:00+00:00,100.44
2025-09-19 00:00:00+00:00,98.43
2025-09-20 00:00:00+00:00,97.97
2025-09-21 00:00:00+00:00,97.19
2025-09-22 00:00:00+00:00,90.77
2025-09-23 00:00:00+00:00,92.54
2025-09-24 00:00:00+00:00,96.73
