date,STRK/USDT
2025-05-16 00:00:00+00:00,0.155
2025-05-17 00:00:00+00:00,0.149
2025-05-18 00:00:00+00:00,0.1631
2025-05-19 00:00:00+00:00,0.1513
2025-05-20 00:00:00+00:00,0.1526
2025-05-21 00:00:00+00:00,0.1565
2025-05-22 00:00:00+00:00,0.177
2025-05-23 00:00:00+00:00,0.155
2025-05-24 00:00:00+00:00,0.1562
2025-05-25 00:00:00+00:00,0.1591
2025-05-26 00:00:00+00:00,0.157
2025-05-27 00:00:00+00:00,0.1591
2025-05-28 00:00:00+00:00,0.1615
2025-05-29 00:00:00+00:00,0.1521
2025-05-30 00:00:00+00:00,0.1288
2025-05-31 00:00:00+00:00,0.1332
2025-06-01 00:00:00+00:00,0.1375
2025-06-02 00:00:00+00:00,0.1425
2025-06-03 00:00:00+00:00,0.1404
2025-06-04 00:00:00+00:00,0.1352
2025-06-05 00:00:00+00:00,0.1244
2025-06-06 00:00:00+00:00,0.1266
2025-06-07 00:00:00+00:00,0.1312
2025-06-08 00:00:00+00:00,0.1312
2025-06-09 00:00:00+00:00,0.1397
2025-06-10 00:00:00+00:00,0.1493
2025-06-11 00:00:00+00:00,0.138
2025-06-12 00:00:00+00:00,0.1262
2025-06-13 00:00:00+00:00,0.1221
2025-06-14 00:00:00+00:00,0.1191
2025-06-15 00:00:00+00:00,0.1184
2025-06-16 00:00:00+00:00,0.1201
2025-06-17 00:00:00+00:00,0.1136
2025-06-18 00:00:00+00:00,0.1149
2025-06-19 00:00:00+00:00,0.1115
2025-06-20 00:00:00+00:00,0.1078
2025-06-21 00:00:00+00:00,0.1055
2025-06-22 00:00:00+00:00,0.1024
2025-06-23 00:00:00+00:00,0.1144
2025-06-24 00:00:00+00:00,0.1163
2025-06-25 00:00:00+00:00,0.1099
2025-06-26 00:00:00+00:00,0.1091
2025-06-27 00:00:00+00:00,0.1101
2025-06-28 00:00:00+00:00,0.114
2025-06-29 00:00:00+00:00,0.1228
2025-06-30 00:00:00+00:00,0.1166
2025-07-01 00:00:00+00:00,0.1098
2025-07-02 00:00:00+00:00,0.1198
2025-07-03 00:00:00+00:00,0.1185
2025-07-04 00:00:00+00:00,0.1115
2025-07-05 00:00:00+00:00,0.1113
2025-07-06 00:00:00+00:00,0.1134
2025-07-07 00:00:00+00:00,0.1115
2025-07-08 00:00:00+00:00,0.1139
2025-07-09 00:00:00+00:00,0.1216
2025-07-10 00:00:00+00:00,0.1373
2025-07-11 00:00:00+00:00,0.1437
2025-07-12 00:00:00+00:00,0.1357
2025-07-13 00:00:00+00:00,0.1386
2025-07-14 00:00:00+00:00,0.137
2025-07-15 00:00:00+00:00,0.1466
2025-07-16 00:00:00+00:00,0.1434
2025-07-17 00:00:00+00:00,0.1406
2025-07-18 00:00:00+00:00,0.1383
2025-07-19 00:00:00+00:00,0.1412
2025-07-20 00:00:00+00:00,0.1476
2025-07-21 00:00:00+00:00,0.1523
2025-07-22 00:00:00+00:00,0.1484
2025-07-23 00:00:00+00:00,0.1317
2025-07-24 00:00:00+00:00,0.1266
2025-07-25 00:00:00+00:00,0.1325
2025-07-26 00:00:00+00:00,0.1318
2025-07-27 00:00:00+00:00,0.1377
2025-07-28 00:00:00+00:00,0.1287
2025-07-29 00:00:00+00:00,0.1274
2025-07-30 00:00:00+00:00,0.1237
2025-07-31 00:00:00+00:00,0.1159
2025-08-01 00:00:00+00:00,0.1132
2025-08-02 00:00:00+00:00,0.1105
2025-08-03 00:00:00+00:00,0.1162
2025-08-04 00:00:00+00:00,0.121
2025-08-05 00:00:00+00:00,0.1159
2025-08-06 00:00:00+00:00,0.1173
2025-08-07 00:00:00+00:00,0.1264
2025-08-08 00:00:00+00:00,0.1296
2025-08-09 00:00:00+00:00,0.1378
2025-08-10 00:00:00+00:00,0.1365
2025-08-11 00:00:00+00:00,0.128
2025-08-12 00:00:00+00:00,0.1396
2025-08-13 00:00:00+00:00,0.1504
2025-08-14 00:00:00+00:00,0.1316
2025-08-15 00:00:00+00:00,0.1319
2025-08-16 00:00:00+00:00,0.1374
2025-08-17 00:00:00+00:00,0.1397
2025-08-18 00:00:00+00:00,0.1335
2025-08-19 00:00:00+00:00,0.1294
2025-08-20 00:00:00+00:00,0.1387
2025-08-21 00:00:00+00:00,0.1286
2025-08-22 00:00:00+00:00,0.1412
2025-08-23 00:00:00+00:00,0.1433
2025-08-24 00:00:00+00:00,0.1396
2025-08-25 00:00:00+00:00,0.1255
2025-08-26 00:00:00+00:00,0.1305
2025-08-27 00:00:00+00:00,0.1297
