date,EIGEN/USDT
2025-03-15 00:00:00+00:00,1.169
2025-03-16 00:00:00+00:00,1.094
2025-03-17 00:00:00+00:00,1.168
2025-03-18 00:00:00+00:00,1.157
2025-03-19 00:00:00+00:00,1.21
2025-03-20 00:00:00+00:00,1.156
2025-03-21 00:00:00+00:00,1.14
2025-03-22 00:00:00+00:00,1.205
2025-03-23 00:00:00+00:00,1.186
2025-03-24 00:00:00+00:00,1.178
2025-03-25 00:00:00+00:00,1.183
2025-03-26 00:00:00+00:00,1.152
2025-03-27 00:00:00+00:00,1.164
2025-03-28 00:00:00+00:00,1.027
2025-03-29 00:00:00+00:00,0.945
2025-03-30 00:00:00+00:00,0.94
2025-03-31 00:00:00+00:00,0.93
2025-04-01 00:00:00+00:00,0.916
2025-04-02 00:00:00+00:00,0.82
2025-04-03 00:00:00+00:00,0.823
2025-04-04 00:00:00+00:00,0.825
2025-04-05 00:00:00+00:00,0.817
2025-04-06 00:00:00+00:00,0.745
2025-04-07 00:00:00+00:00,0.757
2025-04-08 00:00:00+00:00,0.691
2025-04-09 00:00:00+00:00,0.817
2025-04-10 00:00:00+00:00,0.784
2025-04-11 00:00:00+00:00,0.816
2025-04-12 00:00:00+00:00,0.862
2025-04-13 00:00:00+00:00,0.809
2025-04-14 00:00:00+00:00,0.797
2025-04-15 00:00:00+00:00,0.771
2025-04-16 00:00:00+00:00,0.786
2025-04-17 00:00:00+00:00,0.791
2025-04-18 00:00:00+00:00,0.821
2025-04-19 00:00:00+00:00,0.841
2025-04-20 00:00:00+00:00,0.837
2025-04-21 00:00:00+00:00,0.828
2025-04-22 00:00:00+00:00,0.916
2025-04-23 00:00:00+00:00,0.947
2025-04-24 00:00:00+00:00,0.961
2025-04-25 00:00:00+00:00,0.975
2025-04-26 00:00:00+00:00,1.019
2025-04-27 00:00:00+00:00,0.91
2025-04-28 00:00:00+00:00,0.955
2025-04-29 00:00:00+00:00,0.926
2025-04-30 00:00:00+00:00,0.931
2025-05-01 00:00:00+00:00,1.007
2025-05-02 00:00:00+00:00,0.969
2025-05-03 00:00:00+00:00,0.872
2025-05-04 00:00:00+00:00,0.838
2025-05-05 00:00:00+00:00,0.804
2025-05-06 00:00:00+00:00,0.796
2025-05-07 00:00:00+00:00,0.775
2025-05-08 00:00:00+00:00,1.128
2025-05-09 00:00:00+00:00,1.236
2025-05-10 00:00:00+00:00,1.474
2025-05-11 00:00:00+00:00,1.391
2025-05-12 00:00:00+00:00,1.334
2025-05-13 00:00:00+00:00,1.587
2025-05-14 00:00:00+00:00,1.452
2025-05-15 00:00:00+00:00,1.374
2025-05-16 00:00:00+00:00,1.286
2025-05-17 00:00:00+00:00,1.21
2025-05-18 00:00:00+00:00,1.484
2025-05-19 00:00:00+00:00,1.364
2025-05-20 00:00:00+00:00,1.412
2025-05-21 00:00:00+00:00,1.526
2025-05-22 00:00:00+00:00,1.599
2025-05-23 00:00:00+00:00,1.395
2025-05-24 00:00:00+00:00,1.403
2025-05-25 00:00:00+00:00,1.426
2025-05-26 00:00:00+00:00,1.444
2025-05-27 00:00:00+00:00,1.53
2025-05-28 00:00:00+00:00,1.6
2025-05-29 00:00:00+00:00,1.586
2025-05-30 00:00:00+00:00,1.288
2025-05-31 00:00:00+00:00,1.349
2025-06-01 00:00:00+00:00,1.384
2025-06-02 00:00:00+00:00,1.499
2025-06-03 00:00:00+00:00,1.528
2025-06-04 00:00:00+00:00,1.491
2025-06-05 00:00:00+00:00,1.305
2025-06-06 00:00:00+00:00,1.386
2025-06-07 00:00:00+00:00,1.381
2025-06-08 00:00:00+00:00,1.396
2025-06-09 00:00:00+00:00,1.57
2025-06-10 00:00:00+00:00,1.687
2025-06-11 00:00:00+00:00,1.558
2025-06-12 00:00:00+00:00,1.363
2025-06-13 00:00:00+00:00,1.312
2025-06-14 00:00:00+00:00,1.229
2025-06-15 00:00:00+00:00,1.264
2025-06-16 00:00:00+00:00,1.184
2025-06-17 00:00:00+00:00,1.186
2025-06-18 00:00:00+00:00,1.23
2025-06-19 00:00:00+00:00,1.196
2025-06-20 00:00:00+00:00,1.127
2025-06-21 00:00:00+00:00,1.035
2025-06-22 00:00:00+00:00,1.007
2025-06-23 00:00:00+00:00,1.151
2025-06-24 00:00:00+00:00,1.164
2025-06-25 00:00:00+00:00,1.114
2025-06-26 00:00:00+00:00,1.069
2025-06-27 00:00:00+00:00,1.062
2025-06-28 00:00:00+00:00,1.101
2025-06-29 00:00:00+00:00,1.216
2025-06-30 00:00:00+00:00,1.145
2025-07-01 00:00:00+00:00,1.06
2025-07-02 00:00:00+00:00,1.19
2025-07-03 00:00:00+00:00,1.171
2025-07-04 00:00:00+00:00,1.107
2025-07-05 00:00:00+00:00,1.096
2025-07-06 00:00:00+00:00,1.154
2025-07-07 00:00:00+00:00,1.131
2025-07-08 00:00:00+00:00,1.153
2025-07-09 00:00:00+00:00,1.245
2025-07-10 00:00:00+00:00,1.38
2025-07-11 00:00:00+00:00,1.349
2025-07-12 00:00:00+00:00,1.306
2025-07-13 00:00:00+00:00,1.326
2025-07-14 00:00:00+00:00,1.316
2025-07-15 00:00:00+00:00,1.436
2025-07-16 00:00:00+00:00,1.457
2025-07-17 00:00:00+00:00,1.524
2025-07-18 00:00:00+00:00,1.489
2025-07-19 00:00:00+00:00,1.545
2025-07-20 00:00:00+00:00,1.549
2025-07-21 00:00:00+00:00,1.543
2025-07-22 00:00:00+00:00,1.494
2025-07-23 00:00:00+00:00,1.329
2025-07-24 00:00:00+00:00,1.299
2025-07-25 00:00:00+00:00,1.359
2025-07-26 00:00:00+00:00,1.357
2025-07-27 00:00:00+00:00,1.411
2025-07-28 00:00:00+00:00,1.296
2025-07-29 00:00:00+00:00,1.312
2025-07-30 00:00:00+00:00,1.26
2025-07-31 00:00:00+00:00,1.16
2025-08-01 00:00:00+00:00,1.103
2025-08-02 00:00:00+00:00,1.072
2025-08-03 00:00:00+00:00,1.121
2025-08-04 00:00:00+00:00,1.177
2025-08-05 00:00:00+00:00,1.107
2025-08-06 00:00:00+00:00,1.145
2025-08-07 00:00:00+00:00,1.251
2025-08-08 00:00:00+00:00,1.315
2025-08-09 00:00:00+00:00,1.432
2025-08-10 00:00:00+00:00,1.417
2025-08-11 00:00:00+00:00,1.322
2025-08-12 00:00:00+00:00,1.401
2025-08-13 00:00:00+00:00,1.666
2025-08-14 00:00:00+00:00,1.407
2025-08-15 00:00:00+00:00,1.349
2025-08-16 00:00:00+00:00,1.354
2025-08-17 00:00:00+00:00,1.387
2025-08-18 00:00:00+00:00,1.332
2025-08-19 00:00:00+00:00,1.256
2025-08-20 00:00:00+00:00,1.345
2025-08-21 00:00:00+00:00,1.315
2025-08-22 00:00:00+00:00,1.508
2025-08-23 00:00:00+00:00,1.446
2025-08-24 00:00:00+00:00,1.392
2025-08-25 00:00:00+00:00,1.219
2025-08-26 00:00:00+00:00,1.26
2025-08-27 00:00:00+00:00,1.223
2025-08-28 00:00:00+00:00,1.273
2025-08-29 00:00:00+00:00,1.2
2025-08-30 00:00:00+00:00,1.217
2025-08-31 00:00:00+00:00,1.193
2025-09-01 00:00:00+00:00,1.139
2025-09-02 00:00:00+00:00,1.208
2025-09-03 00:00:00+00:00,1.251
2025-09-04 00:00:00+00:00,1.193
2025-09-05 00:00:00+00:00,1.363
2025-09-06 00:00:00+00:00,1.3
2025-09-07 00:00:00+00:00,1.403
2025-09-08 00:00:00+00:00,1.416
2025-09-09 00:00:00+00:00,1.399
2025-09-10 00:00:00+00:00,1.4
2025-09-11 00:00:00+00:00,1.508
2025-09-12 00:00:00+00:00,1.534
2025-09-13 00:00:00+00:00,1.718
2025-09-14 00:00:00+00:00,1.604
2025-09-15 00:00:00+00:00,1.56
2025-09-16 00:00:00+00:00,1.532
2025-09-17 00:00:00+00:00,1.814
2025-09-18 00:00:00+00:00,1.881
2025-09-19 00:00:00+00:00,1.819
2025-09-20 00:00:00+00:00,1.842
2025-09-21 00:00:00+00:00,1.758
2025-09-22 00:00:00+00:00,1.813
2025-09-23 00:00:00+00:00,1.662
2025-09-24 00:00:00+00:00,1.794
2025-09-25 00:00:00+00:00,1.707
2025-09-26 00:00:00+00:00,1.76
2025-09-27 00:00:00+00:00,1.888
2025-09-28 00:00:00+00:00,1.889
2025-09-29 00:00:00+00:00,1.647
2025-09-30 00:00:00+00:00,1.449
2025-10-01 00:00:00+00:00,1.517
2025-10-02 00:00:00+00:00,1.781
2025-10-03 00:00:00+00:00,1.91
2025-10-04 00:00:00+00:00,1.971
2025-10-05 00:00:00+00:00,1.865
2025-10-06 00:00:00+00:00,1.942
2025-10-07 00:00:00+00:00,1.968
2025-10-08 00:00:00+00:00,1.846
2025-10-09 00:00:00+00:00,1.793
2025-10-10 00:00:00+00:00,1.192
2025-10-11 00:00:00+00:00,1.128
2025-10-12 00:00:00+00:00,1.362
2025-10-13 00:00:00+00:00,1.4
2025-10-14 00:00:00+00:00,1.322
2025-10-15 00:00:00+00:00,1.241
2025-10-16 00:00:00+00:00,1.185
2025-10-17 00:00:00+00:00,1.163
2025-10-18 00:00:00+00:00,1.136
2025-10-19 00:00:00+00:00,1.094
2025-10-20 00:00:00+00:00,1.151
2025-10-21 00:00:00+00:00,1.08
2025-10-22 00:00:00+00:00,1.046
2025-10-23 00:00:00+00:00,1.077
2025-10-24 00:00:00+00:00,1.079
2025-10-25 00:00:00+00:00,1.1
2025-10-26 00:00:00+00:00,1.197
2025-10-27 00:00:00+00:00,1.067
2025-10-28 00:00:00+00:00,1.042
2025-10-29 00:00:00+00:00,1.099
2025-10-30 00:00:00+00:00,0.949
2025-10-31 00:00:00+00:00,0.921
2025-11-01 00:00:00+00:00,0.892
2025-11-02 00:00:00+00:00,0.878
2025-11-03 00:00:00+00:00,0.76
2025-11-04 00:00:00+00:00,0.754
2025-11-05 00:00:00+00:00,0.769
2025-11-06 00:00:00+00:00,0.727
2025-11-07 00:00:00+00:00,0.821
2025-11-08 00:00:00+00:00,0.803
2025-11-09 00:00:00+00:00,0.867
2025-11-10 00:00:00+00:00,0.829
2025-11-11 00:00:00+00:00,0.762
2025-11-12 00:00:00+00:00,0.734
2025-11-13 00:00:00+00:00,0.727
2025-11-14 00:00:00+00:00,0.676
2025-11-15 00:00:00+00:00,0.693
2025-11-16 00:00:00+00:00,0.678
2025-11-17 00:00:00+00:00,0.632
2025-11-18 00:00:00+00:00,0.677
2025-11-19 00:00:00+00:00,0.658
2025-11-20 00:00:00+00:00,0.625
2025-11-21 00:00:00+00:00,0.582
2025-11-22 00:00:00+00:00,0.552
2025-11-23 00:00:00+00:00,0.546
2025-11-24 00:00:00+00:00,0.594
2025-11-25 00:00:00+00:00,0.603
2025-11-26 00:00:00+00:00,0.617
2025-11-27 00:00:00+00:00,0.626
2025-11-28 00:00:00+00:00,0.609
2025-11-29 00:00:00+00:00,0.594
2025-11-30 00:00:00+00:00,0.568
2025-12-01 00:00:00+00:00,0.509
2025-12-02 00:00:00+00:00,0.562
2025-12-03 00:00:00+00:00,0.594
2025-12-04 00:00:00+00:00,0.558
2025-12-05 00:00:00+00:00,0.516
2025-12-06 00:00:00+00:00,0.51
2025-12-07 00:00:00+00:00,0.475
2025-12-08 00:00:00+00:00,0.478
2025-12-09 00:00:00+00:00,0.513
2025-12-10 00:00:00+00:00,0.476
2025-12-11 00:00:00+00:00,0.469
2025-12-12 00:00:00+00:00,0.447
2025-12-13 00:00:00+00:00,0.445
2025-12-14 00:00:00+00:00,0.421
2025-12-15 00:00:00+00:00,0.409
2025-12-16 00:00:00+00:00,0.406
2025-12-17 00:00:00+00:00,0.384
2025-12-18 00:00:00+00:00,0.371
2025-12-19 00:00:00+00:00,0.399
2025-12-20 00:00:00+00:00,0.4
2025-12-21 00:00:00+00:00,0.394
2025-12-22 00:00:00+00:00,0.39
2025-12-23 00:00:00+00:00,0.384
2025-12-24 00:00:00+00:00,0.387
2025-12-25 00:00:00+00:00,0.376
2025-12-26 00:00:00+00:00,0.39
2025-12-27 00:00:00+00:00,0.398
2025-12-28 00:00:00+00:00,0.391
2025-12-29 00:00:00+00:00,0.376
2025-12-30 00:00:00+00:00,0.359
2025-12-31 00:00:00+00:00,0.349
2026-01-01 00:00:00+00:00,0.382
2026-01-02 00:00:00+00:00,0.399
2026-01-03 00:00:00+00:00,0.418
2026-01-04 00:00:00+00:00,0.421
2026-01-05 00:00:00+00:00,0.453
2026-01-06 00:00:00+00:00,0.446
2026-01-07 00:00:00+00:00,0.409
2026-01-08 00:00:00+00:00,0.42
2026-01-09 00:00:00+00:00,0.409
2026-01-10 00:00:00+00:00,0.405
2026-01-11 00:00:00+00:00,0.407
2026-01-12 00:00:00+00:00,0.399
2026-01-13 00:00:00+00:00,0.445
2026-01-14 00:00:00+00:00,0.432
2026-01-15 00:00:00+00:00,0.408
2026-01-16 00:00:00+00:00,0.405
2026-01-17 00:00:00+00:00,0.404
2026-01-18 00:00:00+00:00,0.369
2026-01-19 00:00:00+00:00,0.343
2026-01-20 00:00:00+00:00,0.341
