,symbol,base,quote,quoteVolume,last,timestamp
0,ETH/USDT,ETH,USDT,1066478355.498893,3187.42,2026-01-20T00:49:02.590242+00:00
1,BTC/USDT,BTC,USDT,971184588.2303073,92654.2,2026-01-20T00:49:02.590205+00:00
2,SOL/USDT,SOL,USDT,245273930.66016,133.76,2026-01-20T00:49:02.590914+00:00
3,XRP/USDT,XRP,USDT,222300684.98839,1.9862,2026-01-20T00:49:02.590282+00:00
4,USD1/USDT,USD1,USDT,155076481.7502,0.9995,2026-01-20T00:49:02.592875+00:00
5,BNB/USDT,BNB,USDT,143395935.52839,929.84,2026-01-20T00:49:02.590249+00:00
6,DOGE/USDT,DOGE,USDT,97392237.76709,0.12881,2026-01-20T00:49:02.590637+00:00
7,BREV/USDT,BREV,USDT,93596163.04729,0.2683,2026-01-20T00:49:02.593116+00:00
8,ZEC/USDT,ZEC,USDT,85918670.5089,369.24,2026-01-20T00:49:02.590545+00:00
9,DASH/USDT,DASH,USDT,85209339.90708,75.42,2026-01-20T00:49:02.590559+00:00
10,DUSK/USDT,DUSK,USDT,84608665.1301,0.2128,2026-01-20T00:49:02.590641+00:00
11,SUI/USDT,SUI,USDT,74629606.74661,1.5586,2026-01-20T00:49:02.592266+00:00
12,TRX/USDT,TRX,USDT,70809712.78452,0.3108,2026-01-20T00:49:02.590323+00:00
13,ADA/USDT,ADA,USDT,57992075.85929,0.369,2026-01-20T00:49:02.590277+00:00
14,ARPA/USDT,ARPA,USDT,46732707.820571,0.01879,2026-01-20T00:49:02.590776+00:00
15,ASTER/USDT,ASTER,USDT,46163480.6515,0.62,2026-01-20T00:49:02.593045+00:00
16,LTC/USDT,LTC,USDT,43348020.04412,70.97,2026-01-20T00:49:02.590266+00:00
17,ICP/USDT,ICP,USDT,42760114.77067,3.865,2026-01-20T00:49:02.591568+00:00
18,PEPE/USDT,PEPE,USDT,41025651.46873853,5.24e-06,2026-01-20T00:49:02.592274+00:00
19,PAXG/USDT,PAXG,USDT,39595394.776081,4679.52,2026-01-20T00:49:02.591130+00:00
20,ROSE/USDT,ROSE,USDT,34825242.379976,0.0184,2026-01-20T00:49:02.591333+00:00
21,币安人生/USDT,币安人生,USDT,34662353.54298,0.2084,2026-01-20T00:49:02.593122+00:00
22,NEAR/USDT,NEAR,USDT,29136438.2064,1.59,2026-01-20T00:49:02.591267+00:00
23,LINK/USDT,LINK,USDT,28024404.7298,12.87,2026-01-20T00:49:02.590366+00:00
24,FOGO/USDT,FOGO,USDT,26849546.27445,0.03011,2026-01-20T00:49:02.593136+00:00
25,ENA/USDT,ENA,USDT,26369474.536904,0.1931,2026-01-20T00:49:02.592489+00:00
26,AVAX/USDT,AVAX,USDT,24974371.8859,12.69,2026-01-20T00:49:02.591228+00:00
27,AXS/USDT,AXS,USDT,23141702.82332,1.785,2026-01-20T00:49:02.591308+00:00
28,ZEN/USDT,ZEN,USDT,22857499.57757,10.94,2026-01-20T00:49:02.590991+00:00
29,RESOLV/USDT,RESOLV,USDT,22396754.19396,0.1165,2026-01-20T00:49:02.592893+00:00
30,BCH/USDT,BCH,USDT,21815615.4169,585.5,2026-01-20T00:49:02.590798+00:00
31,UNI/USDT,UNI,USDT,20762977.70964,5.005,2026-01-20T00:49:02.591209+00:00
32,BERA/USDT,BERA,USDT,19780144.760651,0.935,2026-01-20T00:49:02.592725+00:00
33,PUMP/USDT,PUMP,USDT,19654805.855676,0.002608,2026-01-20T00:49:02.592986+00:00
34,TAO/USDT,TAO,USDT,19143186.09608,251.8,2026-01-20T00:49:02.592508+00:00
35,FIL/USDT,FIL,USDT,18689271.393,1.38,2026-01-20T00:49:02.591275+00:00
36,VIRTUAL/USDT,VIRTUAL,USDT,16405703.82519,0.8762,2026-01-20T00:49:02.592822+00:00
37,ARB/USDT,ARB,USDT,16261511.12289,0.1928,2026-01-20T00:49:02.592240+00:00
