date,SOL/USDT
2025-05-21 00:00:00+00:00,173.53
2025-05-22 00:00:00+00:00,179.68
2025-05-23 00:00:00+00:00,174.01
2025-05-24 00:00:00+00:00,175.87
2025-05-25 00:00:00+00:00,175.74
2025-05-26 00:00:00+00:00,174.91
2025-05-27 00:00:00+00:00,176.71
2025-05-28 00:00:00+00:00,172.21
2025-05-29 00:00:00+00:00,166.71
2025-05-30 00:00:00+00:00,156.2
2025-05-31 00:00:00+00:00,156.45
2025-06-01 00:00:00+00:00,157.68
2025-06-02 00:00:00+00:00,156.83
2025-06-03 00:00:00+00:00,155.19
2025-06-04 00:00:00+00:00,153.26
2025-06-05 00:00:00+00:00,144.29
2025-06-06 00:00:00+00:00,147.83
2025-06-07 00:00:00+00:00,150.06
2025-06-08 00:00:00+00:00,152.45
2025-06-09 00:00:00+00:00,161.16
2025-06-10 00:00:00+00:00,165.12
2025-06-11 00:00:00+00:00,160.97
2025-06-12 00:00:00+00:00,152.32
2025-06-13 00:00:00+00:00,148.6
2025-06-14 00:00:00+00:00,144.64
2025-06-15 00:00:00+00:00,152.97
2025-06-16 00:00:00+00:00,150.72
2025-06-17 00:00:00+00:00,147.57
2025-06-18 00:00:00+00:00,146.34
2025-06-19 00:00:00+00:00,147.04
2025-06-20 00:00:00+00:00,140.11
2025-06-21 00:00:00+00:00,135.43
2025-06-22 00:00:00+00:00,131.71
2025-06-23 00:00:00+00:00,144.51
2025-06-24 00:00:00+00:00,145.92
2025-06-25 00:00:00+00:00,143.57
2025-06-26 00:00:00+00:00,139.06
2025-06-27 00:00:00+00:00,142.09
2025-06-28 00:00:00+00:00,150.72
2025-06-29 00:00:00+00:00,153.32
2025-06-30 00:00:00+00:00,154.81
2025-07-01 00:00:00+00:00,146.88
2025-07-02 00:00:00+00:00,152.27
2025-07-03 00:00:00+00:00,152.36
2025-07-04 00:00:00+00:00,147.7
2025-07-05 00:00:00+00:00,147.55
2025-07-06 00:00:00+00:00,151.86
2025-07-07 00:00:00+00:00,148.88
2025-07-08 00:00:00+00:00,151.67
2025-07-09 00:00:00+00:00,157.05
2025-07-10 00:00:00+00:00,164.34
2025-07-11 00:00:00+00:00,162.93
2025-07-12 00:00:00+00:00,160.69
2025-07-13 00:00:00+00:00,161.15
2025-07-14 00:00:00+00:00,162.21
2025-07-15 00:00:00+00:00,163.98
2025-07-16 00:00:00+00:00,173.63
2025-07-17 00:00:00+00:00,175.87
2025-07-18 00:00:00+00:00,177.28
2025-07-19 00:00:00+00:00,176.96
2025-07-20 00:00:00+00:00,181.43
2025-07-21 00:00:00+00:00,195.72
2025-07-22 00:00:00+00:00,205.7
2025-07-23 00:00:00+00:00,189.4
2025-07-24 00:00:00+00:00,182.87
2025-07-25 00:00:00+00:00,186.76
2025-07-26 00:00:00+00:00,184.88
2025-07-27 00:00:00+00:00,188.64
2025-07-28 00:00:00+00:00,183.11
2025-07-29 00:00:00+00:00,181.48
2025-07-30 00:00:00+00:00,177.77
2025-07-31 00:00:00+00:00,172.22
2025-08-01 00:00:00+00:00,162.71
2025-08-02 00:00:00+00:00,158.48
2025-08-03 00:00:00+00:00,161.97
2025-08-04 00:00:00+00:00,169.55
2025-08-05 00:00:00+00:00,164.09
2025-08-06 00:00:00+00:00,168.09
2025-08-07 00:00:00+00:00,175.36
2025-08-08 00:00:00+00:00,176.78
2025-08-09 00:00:00+00:00,179.95
2025-08-10 00:00:00+00:00,182.66
2025-08-11 00:00:00+00:00,174.84
2025-08-12 00:00:00+00:00,191.78
2025-08-13 00:00:00+00:00,201.51
2025-08-14 00:00:00+00:00,192.47
2025-08-15 00:00:00+00:00,185.72
2025-08-16 00:00:00+00:00,189.6
2025-08-17 00:00:00+00:00,190.99
2025-08-18 00:00:00+00:00,182.94
2025-08-19 00:00:00+00:00,176.22
2025-08-20 00:00:00+00:00,187.94
2025-08-21 00:00:00+00:00,180.29
2025-08-22 00:00:00+00:00,200.69
2025-08-23 00:00:00+00:00,204.14
2025-08-24 00:00:00+00:00,205.98
2025-08-25 00:00:00+00:00,187.2
2025-08-26 00:00:00+00:00,195.86
2025-08-27 00:00:00+00:00,202.95
2025-08-28 00:00:00+00:00,214.43
2025-08-29 00:00:00+00:00,205.08
2025-08-30 00:00:00+00:00,202.7
2025-08-31 00:00:00+00:00,200.62
2025-09-01 00:00:00+00:00,197.32
2025-09-02 00:00:00+00:00,209.65
2025-09-03 00:00:00+00:00,210.77
2025-09-04 00:00:00+00:00,202.32
2025-09-05 00:00:00+00:00,203.36
2025-09-06 00:00:00+00:00,200.16
2025-09-07 00:00:00+00:00,206.35
2025-09-08 00:00:00+00:00,214.11
2025-09-09 00:00:00+00:00,217.21
2025-09-10 00:00:00+00:00,224.07
2025-09-11 00:00:00+00:00,228.73
2025-09-12 00:00:00+00:00,242.18
2025-09-13 00:00:00+00:00,242.38
2025-09-14 00:00:00+00:00,239.76
2025-09-15 00:00:00+00:00,234.31
2025-09-16 00:00:00+00:00,236.96
2025-09-17 00:00:00+00:00,244.84
2025-09-18 00:00:00+00:00,247.5
2025-09-19 00:00:00+00:00,238.53
2025-09-20 00:00:00+00:00,239.48
2025-09-21 00:00:00+00:00,236.16
2025-09-22 00:00:00+00:00,220.38
2025-09-23 00:00:00+00:00,213.3
2025-09-24 00:00:00+00:00,211.6
2025-09-25 00:00:00+00:00,192.74
2025-09-26 00:00:00+00:00,205.17
2025-09-27 00:00:00+00:00,203.46
2025-09-28 00:00:00+00:00,210.83
2025-09-29 00:00:00+00:00,212.75
2025-09-30 00:00:00+00:00,208.68
2025-10-01 00:00:00+00:00,222.04
2025-10-02 00:00:00+00:00,234.74
2025-10-03 00:00:00+00:00,232.84
2025-10-04 00:00:00+00:00,227.86
2025-10-05 00:00:00+00:00,228.56
2025-10-06 00:00:00+00:00,232.35
2025-10-07 00:00:00+00:00,219.97
2025-10-08 00:00:00+00:00,229.02
2025-10-09 00:00:00+00:00,220.93
2025-10-10 00:00:00+00:00,188.43
2025-10-11 00:00:00+00:00,177.62
2025-10-12 00:00:00+00:00,197.0
2025-10-13 00:00:00+00:00,208.69
2025-10-14 00:00:00+00:00,202.44
2025-10-15 00:00:00+00:00,193.84
2025-10-16 00:00:00+00:00,184.85
2025-10-17 00:00:00+00:00,181.96
2025-10-18 00:00:00+00:00,187.56
2025-10-19 00:00:00+00:00,187.86
2025-10-20 00:00:00+00:00,189.71
2025-10-21 00:00:00+00:00,185.63
2025-10-22 00:00:00+00:00,180.12
2025-10-23 00:00:00+00:00,191.35
2025-10-24 00:00:00+00:00,193.59
2025-10-25 00:00:00+00:00,193.84
2025-10-26 00:00:00+00:00,200.03
2025-10-27 00:00:00+00:00,198.7
2025-10-28 00:00:00+00:00,194.15
2025-10-29 00:00:00+00:00,193.88
2025-10-30 00:00:00+00:00,184.69
2025-10-31 00:00:00+00:00,187.21
2025-11-01 00:00:00+00:00,186.35
2025-11-02 00:00:00+00:00,187.71
2025-11-03 00:00:00+00:00,166.06
2025-11-04 00:00:00+00:00,155.03
2025-11-05 00:00:00+00:00,162.37
2025-11-06 00:00:00+00:00,155.28
2025-11-07 00:00:00+00:00,161.79
2025-11-08 00:00:00+00:00,158.02
2025-11-09 00:00:00+00:00,164.53
2025-11-10 00:00:00+00:00,167.31
2025-11-11 00:00:00+00:00,154.63
2025-11-12 00:00:00+00:00,153.42
2025-11-13 00:00:00+00:00,144.73
2025-11-14 00:00:00+00:00,138.92
2025-11-15 00:00:00+00:00,139.61
2025-11-16 00:00:00+00:00,137.17
2025-11-17 00:00:00+00:00,130.99
2025-11-18 00:00:00+00:00,140.69
2025-11-19 00:00:00+00:00,137.06
2025-11-20 00:00:00+00:00,133.67
2025-11-21 00:00:00+00:00,128.68
2025-11-22 00:00:00+00:00,127.59
2025-11-23 00:00:00+00:00,130.58
2025-11-24 00:00:00+00:00,138.44
2025-11-25 00:00:00+00:00,138.96
2025-11-26 00:00:00+00:00,143.02
2025-11-27 00:00:00+00:00,140.85
2025-11-28 00:00:00+00:00,137.33
2025-11-29 00:00:00+00:00,135.91
2025-11-30 00:00:00+00:00,133.48
2025-12-01 00:00:00+00:00,126.66
2025-12-02 00:00:00+00:00,138.68
2025-12-03 00:00:00+00:00,144.67
2025-12-04 00:00:00+00:00,139.01
2025-12-05 00:00:00+00:00,133.29
2025-12-06 00:00:00+00:00,132.19
2025-12-07 00:00:00+00:00,132.24
2025-12-08 00:00:00+00:00,133.25
2025-12-09 00:00:00+00:00,137.88
2025-12-10 00:00:00+00:00,136.26
2025-12-11 00:00:00+00:00,136.41
2025-12-12 00:00:00+00:00,132.27
2025-12-13 00:00:00+00:00,133.14
2025-12-14 00:00:00+00:00,129.4
2025-12-15 00:00:00+00:00,127.81
2025-12-16 00:00:00+00:00,129.15
2025-12-17 00:00:00+00:00,123.27
2025-12-18 00:00:00+00:00,119.6
2025-12-19 00:00:00+00:00,126.27
2025-12-20 00:00:00+00:00,125.81
2025-12-21 00:00:00+00:00,126.03
2025-12-22 00:00:00+00:00,125.93
2025-12-23 00:00:00+00:00,124.01
2025-12-24 00:00:00+00:00,122.53
2025-12-25 00:00:00+00:00,120.06
2025-12-26 00:00:00+00:00,122.26
2025-12-27 00:00:00+00:00,124.73
2025-12-28 00:00:00+00:00,125.27
2025-12-29 00:00:00+00:00,123.28
2025-12-30 00:00:00+00:00,125.01
2025-12-31 00:00:00+00:00,124.65
2026-01-01 00:00:00+00:00,126.9
2026-01-02 00:00:00+00:00,132.29
2026-01-03 00:00:00+00:00,133.37
2026-01-04 00:00:00+00:00,134.12
2026-01-05 00:00:00+00:00,137.9
2026-01-06 00:00:00+00:00,141.08
2026-01-07 00:00:00+00:00,136.39
2026-01-08 00:00:00+00:00,138.37
2026-01-09 00:00:00+00:00,135.97
2026-01-10 00:00:00+00:00,135.84
2026-01-11 00:00:00+00:00,139.7
2026-01-12 00:00:00+00:00,139.22
2026-01-13 00:00:00+00:00,145.51
2026-01-14 00:00:00+00:00,146.69
2026-01-15 00:00:00+00:00,142.4
2026-01-16 00:00:00+00:00,144.89
2026-01-17 00:00:00+00:00,143.72
2026-01-18 00:00:00+00:00,137.87
2026-01-19 00:00:00+00:00,133.44
2026-01-20 00:00:00+00:00,133.79
