date,FIL/USDT
2025-07-27 00:00:00+00:00,2.758
2025-07-28 00:00:00+00:00,2.607
2025-07-29 00:00:00+00:00,2.57
2025-07-30 00:00:00+00:00,2.492
2025-07-31 00:00:00+00:00,2.392
2025-08-01 00:00:00+00:00,2.296
2025-08-02 00:00:00+00:00,2.272
2025-08-03 00:00:00+00:00,2.344
2025-08-04 00:00:00+00:00,2.425
2025-08-05 00:00:00+00:00,2.333
2025-08-06 00:00:00+00:00,2.378
2025-08-07 00:00:00+00:00,2.489
2025-08-08 00:00:00+00:00,2.545
2025-08-09 00:00:00+00:00,2.631
2025-08-10 00:00:00+00:00,2.622
2025-08-11 00:00:00+00:00,2.47
2025-08-12 00:00:00+00:00,2.631
2025-08-13 00:00:00+00:00,2.733
2025-08-14 00:00:00+00:00,2.505
2025-08-15 00:00:00+00:00,2.466
2025-08-16 00:00:00+00:00,2.532
2025-08-17 00:00:00+00:00,2.559
2025-08-18 00:00:00+00:00,2.468
2025-08-19 00:00:00+00:00,2.359
2025-08-20 00:00:00+00:00,2.435
2025-08-21 00:00:00+00:00,2.392
2025-08-22 00:00:00+00:00,2.577
2025-08-23 00:00:00+00:00,2.525
2025-08-24 00:00:00+00:00,2.425
2025-08-25 00:00:00+00:00,2.185
2025-08-26 00:00:00+00:00,2.324
2025-08-27 00:00:00+00:00,2.308
2025-08-28 00:00:00+00:00,2.383
2025-08-29 00:00:00+00:00,2.27
2025-08-30 00:00:00+00:00,2.291
2025-08-31 00:00:00+00:00,2.27
2025-09-01 00:00:00+00:00,2.287
2025-09-02 00:00:00+00:00,2.27
2025-09-03 00:00:00+00:00,2.329
2025-09-04 00:00:00+00:00,2.264
2025-09-05 00:00:00+00:00,2.345
2025-09-06 00:00:00+00:00,2.327
2025-09-07 00:00:00+00:00,2.394
2025-09-08 00:00:00+00:00,2.439
2025-09-09 00:00:00+00:00,2.451
2025-09-10 00:00:00+00:00,2.492
2025-09-11 00:00:00+00:00,2.536
2025-09-12 00:00:00+00:00,2.561
2025-09-13 00:00:00+00:00,2.62
2025-09-14 00:00:00+00:00,2.515
2025-09-15 00:00:00+00:00,2.412
2025-09-16 00:00:00+00:00,2.556
2025-09-17 00:00:00+00:00,2.569
2025-09-18 00:00:00+00:00,2.577
2025-09-19 00:00:00+00:00,2.447
2025-09-20 00:00:00+00:00,2.444
2025-09-21 00:00:00+00:00,2.396
2025-09-22 00:00:00+00:00,2.26
2025-09-23 00:00:00+00:00,2.238
2025-09-24 00:00:00+00:00,2.227
2025-09-25 00:00:00+00:00,2.12
2025-09-26 00:00:00+00:00,2.196
2025-09-27 00:00:00+00:00,2.19
2025-09-28 00:00:00+00:00,2.215
2025-09-29 00:00:00+00:00,2.21
2025-09-30 00:00:00+00:00,2.188
2025-10-01 00:00:00+00:00,2.296
2025-10-02 00:00:00+00:00,2.385
2025-10-03 00:00:00+00:00,2.391
2025-10-04 00:00:00+00:00,2.315
2025-10-05 00:00:00+00:00,2.331
2025-10-06 00:00:00+00:00,2.407
2025-10-07 00:00:00+00:00,2.28
2025-10-08 00:00:00+00:00,2.365
2025-10-09 00:00:00+00:00,2.298
2025-10-10 00:00:00+00:00,1.685
2025-10-11 00:00:00+00:00,1.563
2025-10-12 00:00:00+00:00,1.659
2025-10-13 00:00:00+00:00,1.73
2025-10-14 00:00:00+00:00,1.675
2025-10-15 00:00:00+00:00,1.604
2025-10-16 00:00:00+00:00,1.493
2025-10-17 00:00:00+00:00,1.465
2025-10-18 00:00:00+00:00,1.495
2025-10-19 00:00:00+00:00,1.532
2025-10-20 00:00:00+00:00,1.58
2025-10-21 00:00:00+00:00,1.561
2025-10-22 00:00:00+00:00,1.519
2025-10-23 00:00:00+00:00,1.556
2025-10-24 00:00:00+00:00,1.569
2025-10-25 00:00:00+00:00,1.56
2025-10-26 00:00:00+00:00,1.653
2025-10-27 00:00:00+00:00,1.64
2025-10-28 00:00:00+00:00,1.558
2025-10-29 00:00:00+00:00,1.584
2025-10-30 00:00:00+00:00,1.463
2025-10-31 00:00:00+00:00,1.515
