date,XTZ/USDT
2025-07-24 00:00:00+00:00,0.8752
2025-07-25 00:00:00+00:00,0.8956
2025-07-26 00:00:00+00:00,0.8991
2025-07-27 00:00:00+00:00,0.9027
2025-07-28 00:00:00+00:00,0.8615
2025-07-29 00:00:00+00:00,0.8513
2025-07-30 00:00:00+00:00,0.8309
2025-07-31 00:00:00+00:00,0.7773
2025-08-01 00:00:00+00:00,0.7548
2025-08-02 00:00:00+00:00,0.7388
2025-08-03 00:00:00+00:00,0.7606
2025-08-04 00:00:00+00:00,0.7882
2025-08-05 00:00:00+00:00,0.7676
2025-08-06 00:00:00+00:00,0.7801
2025-08-07 00:00:00+00:00,0.8081
2025-08-08 00:00:00+00:00,0.823
2025-08-09 00:00:00+00:00,0.9061
2025-08-10 00:00:00+00:00,0.881
2025-08-11 00:00:00+00:00,0.8169
2025-08-12 00:00:00+00:00,0.866
2025-08-13 00:00:00+00:00,0.8873
2025-08-14 00:00:00+00:00,0.8344
2025-08-15 00:00:00+00:00,0.8331
2025-08-16 00:00:00+00:00,0.8484
2025-08-17 00:00:00+00:00,0.8571
2025-08-18 00:00:00+00:00,0.8194
2025-08-19 00:00:00+00:00,0.7817
2025-08-20 00:00:00+00:00,0.8197
2025-08-21 00:00:00+00:00,0.7998
2025-08-22 00:00:00+00:00,0.8679
2025-08-23 00:00:00+00:00,0.8577
2025-08-24 00:00:00+00:00,0.8302
2025-08-25 00:00:00+00:00,0.7811
2025-08-26 00:00:00+00:00,0.7936
2025-08-27 00:00:00+00:00,0.7872
2025-08-28 00:00:00+00:00,0.7842
2025-08-29 00:00:00+00:00,0.7335
2025-08-30 00:00:00+00:00,0.7369
2025-08-31 00:00:00+00:00,0.7199
2025-09-01 00:00:00+00:00,0.7064
2025-09-02 00:00:00+00:00,0.7264
2025-09-03 00:00:00+00:00,0.7267
2025-09-04 00:00:00+00:00,0.706
2025-09-05 00:00:00+00:00,0.7154
2025-09-06 00:00:00+00:00,0.7073
2025-09-07 00:00:00+00:00,0.7098
2025-09-08 00:00:00+00:00,0.7277
2025-09-09 00:00:00+00:00,0.7208
2025-09-10 00:00:00+00:00,0.739
2025-09-11 00:00:00+00:00,0.756
2025-09-12 00:00:00+00:00,0.7763
2025-09-13 00:00:00+00:00,0.7971
2025-09-14 00:00:00+00:00,0.7688
2025-09-15 00:00:00+00:00,0.7552
2025-09-16 00:00:00+00:00,0.7688
2025-09-17 00:00:00+00:00,0.7885
2025-09-18 00:00:00+00:00,0.7918
2025-09-19 00:00:00+00:00,0.7553
2025-09-20 00:00:00+00:00,0.7605
2025-09-21 00:00:00+00:00,0.7493
2025-09-22 00:00:00+00:00,0.6986
2025-09-23 00:00:00+00:00,0.6994
2025-09-24 00:00:00+00:00,0.6978
2025-09-25 00:00:00+00:00,0.6578
2025-09-26 00:00:00+00:00,0.68
2025-09-27 00:00:00+00:00,0.6704
2025-09-28 00:00:00+00:00,0.6741
2025-09-29 00:00:00+00:00,0.6693
2025-09-30 00:00:00+00:00,0.6683
2025-10-01 00:00:00+00:00,0.7025
2025-10-02 00:00:00+00:00,0.7117
2025-10-03 00:00:00+00:00,0.7185
2025-10-04 00:00:00+00:00,0.6932
2025-10-05 00:00:00+00:00,0.7144
2025-10-06 00:00:00+00:00,0.7173
2025-10-07 00:00:00+00:00,0.6791
2025-10-08 00:00:00+00:00,0.6858
2025-10-09 00:00:00+00:00,0.6775
2025-10-10 00:00:00+00:00,0.5618
2025-10-11 00:00:00+00:00,0.5796
2025-10-12 00:00:00+00:00,0.6301
2025-10-13 00:00:00+00:00,0.657
2025-10-14 00:00:00+00:00,0.6285
