date,ICP/USDT
2025-07-27 00:00:00+00:00,5.8
2025-07-28 00:00:00+00:00,5.536
2025-07-29 00:00:00+00:00,5.462
2025-07-30 00:00:00+00:00,5.471
2025-07-31 00:00:00+00:00,5.23
2025-08-01 00:00:00+00:00,5.015
2025-08-02 00:00:00+00:00,4.948
2025-08-03 00:00:00+00:00,5.115
2025-08-04 00:00:00+00:00,5.303
2025-08-05 00:00:00+00:00,5.071
2025-08-06 00:00:00+00:00,5.116
2025-08-07 00:00:00+00:00,5.354
2025-08-08 00:00:00+00:00,5.432
2025-08-09 00:00:00+00:00,5.705
2025-08-10 00:00:00+00:00,5.631
2025-08-11 00:00:00+00:00,5.36
2025-08-12 00:00:00+00:00,5.671
2025-08-13 00:00:00+00:00,6.016
2025-08-14 00:00:00+00:00,5.45
2025-08-15 00:00:00+00:00,5.392
2025-08-16 00:00:00+00:00,5.456
2025-08-17 00:00:00+00:00,5.479
2025-08-18 00:00:00+00:00,5.309
2025-08-19 00:00:00+00:00,5.027
2025-08-20 00:00:00+00:00,5.263
2025-08-21 00:00:00+00:00,5.095
2025-08-22 00:00:00+00:00,5.539
2025-08-23 00:00:00+00:00,5.449
2025-08-24 00:00:00+00:00,5.269
2025-08-25 00:00:00+00:00,4.883
2025-08-26 00:00:00+00:00,5.058
2025-08-27 00:00:00+00:00,5.018
2025-08-28 00:00:00+00:00,5.135
2025-08-29 00:00:00+00:00,4.904
2025-08-30 00:00:00+00:00,4.853
2025-08-31 00:00:00+00:00,4.75
2025-09-01 00:00:00+00:00,4.695
2025-09-02 00:00:00+00:00,4.87
2025-09-03 00:00:00+00:00,4.908
2025-09-04 00:00:00+00:00,4.697
2025-09-05 00:00:00+00:00,4.773
2025-09-06 00:00:00+00:00,4.753
2025-09-07 00:00:00+00:00,4.827
2025-09-08 00:00:00+00:00,4.898
2025-09-09 00:00:00+00:00,4.871
2025-09-10 00:00:00+00:00,4.894
2025-09-11 00:00:00+00:00,4.979
2025-09-12 00:00:00+00:00,4.983
2025-09-13 00:00:00+00:00,5.05
2025-09-14 00:00:00+00:00,4.852
2025-09-15 00:00:00+00:00,4.667
2025-09-16 00:00:00+00:00,4.768
2025-09-17 00:00:00+00:00,4.838
2025-09-18 00:00:00+00:00,4.933
2025-09-19 00:00:00+00:00,4.722
2025-09-20 00:00:00+00:00,4.736
2025-09-21 00:00:00+00:00,4.702
2025-09-22 00:00:00+00:00,4.316
2025-09-23 00:00:00+00:00,4.327
2025-09-24 00:00:00+00:00,4.308
2025-09-25 00:00:00+00:00,4.086
2025-09-26 00:00:00+00:00,4.212
2025-09-27 00:00:00+00:00,4.2
2025-09-28 00:00:00+00:00,4.292
2025-09-29 00:00:00+00:00,4.246
2025-09-30 00:00:00+00:00,4.226
2025-10-01 00:00:00+00:00,4.492
2025-10-02 00:00:00+00:00,4.581
2025-10-03 00:00:00+00:00,4.659
2025-10-04 00:00:00+00:00,4.498
2025-10-05 00:00:00+00:00,4.525
2025-10-06 00:00:00+00:00,4.617
2025-10-07 00:00:00+00:00,4.423
2025-10-08 00:00:00+00:00,4.505
2025-10-09 00:00:00+00:00,4.363
2025-10-10 00:00:00+00:00,3.039
2025-10-11 00:00:00+00:00,3.131
2025-10-12 00:00:00+00:00,3.5
2025-10-13 00:00:00+00:00,3.718
2025-10-14 00:00:00+00:00,3.536
2025-10-15 00:00:00+00:00,3.351
2025-10-16 00:00:00+00:00,3.141
2025-10-17 00:00:00+00:00,3.009
2025-10-18 00:00:00+00:00,3.048
2025-10-19 00:00:00+00:00,3.069
2025-10-20 00:00:00+00:00,3.189
2025-10-21 00:00:00+00:00,3.045
2025-10-22 00:00:00+00:00,2.977
2025-10-23 00:00:00+00:00,3.04
2025-10-24 00:00:00+00:00,3.145
2025-10-25 00:00:00+00:00,3.119
2025-10-26 00:00:00+00:00,3.293
2025-10-27 00:00:00+00:00,3.174
2025-10-28 00:00:00+00:00,3.076
2025-10-29 00:00:00+00:00,3.062
2025-10-30 00:00:00+00:00,2.892
2025-10-31 00:00:00+00:00,2.942
2025-11-01 00:00:00+00:00,3.442
2025-11-02 00:00:00+00:00,4.282
2025-11-03 00:00:00+00:00,3.934
2025-11-04 00:00:00+00:00,5.19
2025-11-05 00:00:00+00:00,5.961
2025-11-06 00:00:00+00:00,6.714
2025-11-07 00:00:00+00:00,8.225
2025-11-08 00:00:00+00:00,8.96
2025-11-09 00:00:00+00:00,7.558
2025-11-10 00:00:00+00:00,6.819
