date,ZEC/USDT
2025-03-15 00:00:00+00:00,32.3
2025-03-16 00:00:00+00:00,32.8
2025-03-17 00:00:00+00:00,34.25
2025-03-18 00:00:00+00:00,33.14
2025-03-19 00:00:00+00:00,34.27
2025-03-20 00:00:00+00:00,33.91
2025-03-21 00:00:00+00:00,30.85
2025-03-22 00:00:00+00:00,31.09
2025-03-23 00:00:00+00:00,31.04
2025-03-24 00:00:00+00:00,32.44
2025-03-25 00:00:00+00:00,36.51
2025-03-26 00:00:00+00:00,39.02
2025-03-27 00:00:00+00:00,37.19
2025-03-28 00:00:00+00:00,36.9
2025-03-29 00:00:00+00:00,36.27
2025-03-30 00:00:00+00:00,37.44
2025-03-31 00:00:00+00:00,39.37
2025-04-01 00:00:00+00:00,40.64
2025-04-02 00:00:00+00:00,38.87
2025-04-03 00:00:00+00:00,38.86
2025-04-04 00:00:00+00:00,39.43
2025-04-05 00:00:00+00:00,37.52
2025-04-06 00:00:00+00:00,35.79
2025-04-07 00:00:00+00:00,33.84
2025-04-08 00:00:00+00:00,35.03
2025-04-09 00:00:00+00:00,36.45
2025-04-10 00:00:00+00:00,36.29
2025-04-11 00:00:00+00:00,35.39
2025-04-12 00:00:00+00:00,34.83
2025-04-13 00:00:00+00:00,31.04
2025-04-14 00:00:00+00:00,31.14
2025-04-15 00:00:00+00:00,30.8
2025-04-16 00:00:00+00:00,31.08
2025-04-17 00:00:00+00:00,30.75
2025-04-18 00:00:00+00:00,30.88
2025-04-19 00:00:00+00:00,31.67
2025-04-20 00:00:00+00:00,31.0
2025-04-21 00:00:00+00:00,31.21
2025-04-22 00:00:00+00:00,33.03
2025-04-23 00:00:00+00:00,34.25
2025-04-24 00:00:00+00:00,34.28
2025-04-25 00:00:00+00:00,34.18
2025-04-26 00:00:00+00:00,33.43
2025-04-27 00:00:00+00:00,32.55
2025-04-28 00:00:00+00:00,35.63
2025-04-29 00:00:00+00:00,34.56
2025-04-30 00:00:00+00:00,36.09
2025-05-01 00:00:00+00:00,37.41
2025-05-02 00:00:00+00:00,36.28
2025-05-03 00:00:00+00:00,35.82
2025-05-04 00:00:00+00:00,35.63
2025-05-05 00:00:00+00:00,36.56
2025-05-06 00:00:00+00:00,38.09
2025-05-07 00:00:00+00:00,40.49
2025-05-08 00:00:00+00:00,42.0
2025-05-09 00:00:00+00:00,41.88
2025-05-10 00:00:00+00:00,43.59
2025-05-11 00:00:00+00:00,45.23
2025-05-12 00:00:00+00:00,44.46
2025-05-13 00:00:00+00:00,43.52
2025-05-14 00:00:00+00:00,42.0
2025-05-15 00:00:00+00:00,41.8
2025-05-16 00:00:00+00:00,40.36
2025-05-17 00:00:00+00:00,40.48
2025-05-18 00:00:00+00:00,41.41
2025-05-19 00:00:00+00:00,40.68
2025-05-20 00:00:00+00:00,41.18
2025-05-21 00:00:00+00:00,42.96
2025-05-22 00:00:00+00:00,48.97
2025-05-23 00:00:00+00:00,46.91
2025-05-24 00:00:00+00:00,49.49
2025-05-25 00:00:00+00:00,54.58
2025-05-26 00:00:00+00:00,54.33
2025-05-27 00:00:00+00:00,51.89
2025-05-28 00:00:00+00:00,53.28
2025-05-29 00:00:00+00:00,53.2
2025-05-30 00:00:00+00:00,47.43
2025-05-31 00:00:00+00:00,50.18
2025-06-01 00:00:00+00:00,53.1
2025-06-02 00:00:00+00:00,54.0
2025-06-03 00:00:00+00:00,54.39
2025-06-04 00:00:00+00:00,50.32
2025-06-05 00:00:00+00:00,47.57
2025-06-06 00:00:00+00:00,48.17
2025-06-07 00:00:00+00:00,50.24
2025-06-08 00:00:00+00:00,48.73
2025-06-09 00:00:00+00:00,51.62
2025-06-10 00:00:00+00:00,51.9
2025-06-11 00:00:00+00:00,50.06
2025-06-12 00:00:00+00:00,48.0
2025-06-13 00:00:00+00:00,45.27
2025-06-14 00:00:00+00:00,44.19
2025-06-15 00:00:00+00:00,43.45
2025-06-16 00:00:00+00:00,43.1
2025-06-17 00:00:00+00:00,41.2
2025-06-18 00:00:00+00:00,42.08
2025-06-19 00:00:00+00:00,41.68
2025-06-20 00:00:00+00:00,40.34
2025-06-21 00:00:00+00:00,39.52
2025-06-22 00:00:00+00:00,38.19
2025-06-23 00:00:00+00:00,41.55
2025-06-24 00:00:00+00:00,42.8
2025-06-25 00:00:00+00:00,41.43
2025-06-26 00:00:00+00:00,39.25
2025-06-27 00:00:00+00:00,38.54
2025-06-28 00:00:00+00:00,39.02
2025-06-29 00:00:00+00:00,40.1
2025-06-30 00:00:00+00:00,38.27
2025-07-01 00:00:00+00:00,36.92
2025-07-02 00:00:00+00:00,38.92
2025-07-03 00:00:00+00:00,40.92
2025-07-04 00:00:00+00:00,40.11
2025-07-05 00:00:00+00:00,39.24
2025-07-06 00:00:00+00:00,39.33
2025-07-07 00:00:00+00:00,38.77
