date,UNI/USDT
2025-07-27 00:00:00+00:00,10.985
2025-07-28 00:00:00+00:00,10.46
2025-07-29 00:00:00+00:00,10.307
2025-07-30 00:00:00+00:00,10.008
2025-07-31 00:00:00+00:00,9.344
2025-08-01 00:00:00+00:00,9.037
2025-08-02 00:00:00+00:00,8.757
2025-08-03 00:00:00+00:00,9.148
2025-08-04 00:00:00+00:00,9.961
2025-08-05 00:00:00+00:00,9.581
2025-08-06 00:00:00+00:00,9.697
2025-08-07 00:00:00+00:00,10.425
2025-08-08 00:00:00+00:00,10.861
2025-08-09 00:00:00+00:00,10.979
2025-08-10 00:00:00+00:00,10.948
2025-08-11 00:00:00+00:00,11.042
2025-08-12 00:00:00+00:00,11.601
2025-08-13 00:00:00+00:00,12.13
2025-08-14 00:00:00+00:00,10.875
2025-08-15 00:00:00+00:00,10.722
2025-08-16 00:00:00+00:00,11.011
2025-08-17 00:00:00+00:00,11.017
2025-08-18 00:00:00+00:00,10.484
2025-08-19 00:00:00+00:00,9.95
2025-08-20 00:00:00+00:00,10.61
2025-08-21 00:00:00+00:00,10.227
2025-08-22 00:00:00+00:00,11.438
2025-08-23 00:00:00+00:00,11.347
2025-08-24 00:00:00+00:00,10.925
2025-08-25 00:00:00+00:00,9.703
2025-08-26 00:00:00+00:00,9.951
2025-08-27 00:00:00+00:00,9.854
2025-08-28 00:00:00+00:00,10.018
2025-08-29 00:00:00+00:00,9.633
2025-08-30 00:00:00+00:00,9.726
2025-08-31 00:00:00+00:00,9.619
2025-09-01 00:00:00+00:00,9.351
2025-09-02 00:00:00+00:00,9.581
2025-09-03 00:00:00+00:00,9.676
2025-09-04 00:00:00+00:00,9.288
2025-09-05 00:00:00+00:00,9.393
2025-09-06 00:00:00+00:00,9.333
2025-09-07 00:00:00+00:00,9.396
2025-09-08 00:00:00+00:00,9.555
2025-09-09 00:00:00+00:00,9.539
2025-09-10 00:00:00+00:00,9.736
2025-09-11 00:00:00+00:00,9.986
2025-09-12 00:00:00+00:00,10.179
2025-09-13 00:00:00+00:00,10.122
2025-09-14 00:00:00+00:00,9.414
2025-09-15 00:00:00+00:00,9.161
2025-09-16 00:00:00+00:00,9.321
2025-09-17 00:00:00+00:00,9.551
2025-09-18 00:00:00+00:00,9.604
2025-09-19 00:00:00+00:00,9.162
2025-09-20 00:00:00+00:00,9.185
2025-09-21 00:00:00+00:00,9.043
2025-09-22 00:00:00+00:00,8.231
2025-09-23 00:00:00+00:00,8.057
2025-09-24 00:00:00+00:00,7.899
2025-09-25 00:00:00+00:00,7.455
2025-09-26 00:00:00+00:00,7.619
2025-09-27 00:00:00+00:00,7.617
2025-09-28 00:00:00+00:00,7.751
2025-09-29 00:00:00+00:00,7.744
2025-09-30 00:00:00+00:00,7.641
2025-10-01 00:00:00+00:00,8.072
2025-10-02 00:00:00+00:00,8.353
2025-10-03 00:00:00+00:00,8.176
2025-10-04 00:00:00+00:00,8.025
2025-10-05 00:00:00+00:00,8.059
2025-10-06 00:00:00+00:00,8.342
2025-10-07 00:00:00+00:00,7.765
2025-10-08 00:00:00+00:00,8.072
2025-10-09 00:00:00+00:00,7.855
2025-10-10 00:00:00+00:00,5.792
2025-10-11 00:00:00+00:00,5.855
2025-10-12 00:00:00+00:00,6.619
2025-10-13 00:00:00+00:00,7.051
2025-10-14 00:00:00+00:00,6.822
2025-10-15 00:00:00+00:00,6.569
2025-10-16 00:00:00+00:00,6.279
2025-10-17 00:00:00+00:00,6.132
2025-10-18 00:00:00+00:00,6.024
2025-10-19 00:00:00+00:00,6.259
2025-10-20 00:00:00+00:00,6.336
2025-10-21 00:00:00+00:00,6.253
2025-10-22 00:00:00+00:00,6.037
2025-10-23 00:00:00+00:00,6.313
2025-10-24 00:00:00+00:00,6.243
2025-10-25 00:00:00+00:00,6.245
2025-10-26 00:00:00+00:00,6.665
2025-10-27 00:00:00+00:00,6.514
2025-10-28 00:00:00+00:00,6.339
2025-10-29 00:00:00+00:00,6.295
2025-10-30 00:00:00+00:00,5.846
2025-10-31 00:00:00+00:00,5.744
2025-11-01 00:00:00+00:00,5.863
2025-11-02 00:00:00+00:00,5.859
2025-11-03 00:00:00+00:00,5.198
2025-11-04 00:00:00+00:00,5.073
2025-11-05 00:00:00+00:00,5.346
2025-11-06 00:00:00+00:00,5.255
2025-11-07 00:00:00+00:00,5.875
2025-11-08 00:00:00+00:00,6.011
2025-11-09 00:00:00+00:00,6.574
2025-11-10 00:00:00+00:00,9.347
2025-11-11 00:00:00+00:00,8.249
2025-11-12 00:00:00+00:00,7.568
2025-11-13 00:00:00+00:00,7.753
2025-11-14 00:00:00+00:00,6.992
2025-11-15 00:00:00+00:00,7.357
2025-11-16 00:00:00+00:00,7.178
2025-11-17 00:00:00+00:00,7.421
2025-11-18 00:00:00+00:00,7.5
2025-11-19 00:00:00+00:00,7.225
2025-11-20 00:00:00+00:00,6.57
2025-11-21 00:00:00+00:00,6.426
2025-11-22 00:00:00+00:00,6.161
2025-11-23 00:00:00+00:00,6.136
2025-11-24 00:00:00+00:00,6.295
2025-11-25 00:00:00+00:00,6.233
2025-11-26 00:00:00+00:00,6.303
2025-11-27 00:00:00+00:00,6.141
2025-11-28 00:00:00+00:00,6.129
2025-11-29 00:00:00+00:00,6.057
2025-11-30 00:00:00+00:00,6.042
2025-12-01 00:00:00+00:00,5.599
2025-12-02 00:00:00+00:00,5.92
2025-12-03 00:00:00+00:00,6.107
2025-12-04 00:00:00+00:00,5.961
2025-12-05 00:00:00+00:00,5.474
2025-12-06 00:00:00+00:00,5.563
2025-12-07 00:00:00+00:00,5.461
2025-12-08 00:00:00+00:00,5.616
2025-12-09 00:00:00+00:00,5.747
2025-12-10 00:00:00+00:00,5.602
2025-12-11 00:00:00+00:00,5.548
2025-12-12 00:00:00+00:00,5.422
2025-12-13 00:00:00+00:00,5.5
2025-12-14 00:00:00+00:00,5.31
2025-12-15 00:00:00+00:00,5.079
2025-12-16 00:00:00+00:00,5.198
2025-12-17 00:00:00+00:00,4.966
2025-12-18 00:00:00+00:00,4.96
2025-12-19 00:00:00+00:00,5.319
2025-12-20 00:00:00+00:00,6.262
2025-12-21 00:00:00+00:00,6.117
2025-12-22 00:00:00+00:00,6.018
2025-12-23 00:00:00+00:00,5.81
2025-12-24 00:00:00+00:00,5.778
2025-12-25 00:00:00+00:00,5.815
2025-12-26 00:00:00+00:00,5.829
2025-12-27 00:00:00+00:00,5.967
