date,PHA/USDT
2025-03-10 00:00:00+00:00,0.1076
2025-03-11 00:00:00+00:00,0.1144
2025-03-12 00:00:00+00:00,0.1174
2025-03-13 00:00:00+00:00,0.1161
2025-03-14 00:00:00+00:00,0.1236
2025-03-15 00:00:00+00:00,0.122
2025-03-16 00:00:00+00:00,0.1139
2025-03-17 00:00:00+00:00,0.1226
2025-03-18 00:00:00+00:00,0.1215
2025-03-19 00:00:00+00:00,0.1245
2025-03-20 00:00:00+00:00,0.1185
2025-03-21 00:00:00+00:00,0.1138
2025-03-22 00:00:00+00:00,0.1251
2025-03-23 00:00:00+00:00,0.1257
2025-03-24 00:00:00+00:00,0.131
2025-03-25 00:00:00+00:00,0.1279
2025-03-26 00:00:00+00:00,0.1203
2025-03-27 00:00:00+00:00,0.1239
2025-03-28 00:00:00+00:00,0.115
2025-03-29 00:00:00+00:00,0.1074
2025-03-30 00:00:00+00:00,0.1049
2025-03-31 00:00:00+00:00,0.1013
2025-04-01 00:00:00+00:00,0.1024
2025-04-02 00:00:00+00:00,0.0917
2025-04-03 00:00:00+00:00,0.0938
2025-04-04 00:00:00+00:00,0.0936
2025-04-05 00:00:00+00:00,0.093
2025-04-06 00:00:00+00:00,0.0841
2025-04-07 00:00:00+00:00,0.0858
2025-04-08 00:00:00+00:00,0.0813
2025-04-09 00:00:00+00:00,0.0913
2025-04-10 00:00:00+00:00,0.0892
2025-04-11 00:00:00+00:00,0.0922
2025-04-12 00:00:00+00:00,0.0957
2025-04-13 00:00:00+00:00,0.0904
2025-04-14 00:00:00+00:00,0.0962
2025-04-15 00:00:00+00:00,0.0957
2025-04-16 00:00:00+00:00,0.0978
2025-04-17 00:00:00+00:00,0.0962
2025-04-18 00:00:00+00:00,0.0975
2025-04-19 00:00:00+00:00,0.1012
2025-04-20 00:00:00+00:00,0.0995
2025-04-21 00:00:00+00:00,0.0999
2025-04-22 00:00:00+00:00,0.1073
2025-04-23 00:00:00+00:00,0.111
2025-04-24 00:00:00+00:00,0.1096
2025-04-25 00:00:00+00:00,0.1179
2025-04-26 00:00:00+00:00,0.1174
2025-04-27 00:00:00+00:00,0.108
