date,LDO/USDT
2025-05-21 00:00:00+00:00,0.9
2025-05-22 00:00:00+00:00,0.966
2025-05-23 00:00:00+00:00,0.859
2025-05-24 00:00:00+00:00,0.873
2025-05-25 00:00:00+00:00,0.875
2025-05-26 00:00:00+00:00,0.885
2025-05-27 00:00:00+00:00,0.91
2025-05-28 00:00:00+00:00,0.936
2025-05-29 00:00:00+00:00,0.903
2025-05-30 00:00:00+00:00,0.815
2025-05-31 00:00:00+00:00,0.831
2025-06-01 00:00:00+00:00,0.856
2025-06-02 00:00:00+00:00,0.871
2025-06-03 00:00:00+00:00,0.846
2025-06-04 00:00:00+00:00,0.885
2025-06-05 00:00:00+00:00,0.76
2025-06-06 00:00:00+00:00,0.771
2025-06-07 00:00:00+00:00,0.831
2025-06-08 00:00:00+00:00,0.812
2025-06-09 00:00:00+00:00,0.879
2025-06-10 00:00:00+00:00,0.984
2025-06-11 00:00:00+00:00,0.96
2025-06-12 00:00:00+00:00,0.861
2025-06-13 00:00:00+00:00,0.83
2025-06-14 00:00:00+00:00,0.808
2025-06-15 00:00:00+00:00,0.815
2025-06-16 00:00:00+00:00,0.821
2025-06-17 00:00:00+00:00,0.776
2025-06-18 00:00:00+00:00,0.781
2025-06-19 00:00:00+00:00,0.777
2025-06-20 00:00:00+00:00,0.729
2025-06-21 00:00:00+00:00,0.68
2025-06-22 00:00:00+00:00,0.655
2025-06-23 00:00:00+00:00,0.709
2025-06-24 00:00:00+00:00,0.723
2025-06-25 00:00:00+00:00,0.698
2025-06-26 00:00:00+00:00,0.69
2025-06-27 00:00:00+00:00,0.697
2025-06-28 00:00:00+00:00,0.721
2025-06-29 00:00:00+00:00,0.768
2025-06-30 00:00:00+00:00,0.742
2025-07-01 00:00:00+00:00,0.698
2025-07-02 00:00:00+00:00,0.764
2025-07-03 00:00:00+00:00,0.772
2025-07-04 00:00:00+00:00,0.724
2025-07-05 00:00:00+00:00,0.725
2025-07-06 00:00:00+00:00,0.744
2025-07-07 00:00:00+00:00,0.729
2025-07-08 00:00:00+00:00,0.725
2025-07-09 00:00:00+00:00,0.797
2025-07-10 00:00:00+00:00,0.845
2025-07-11 00:00:00+00:00,0.835
2025-07-12 00:00:00+00:00,0.808
2025-07-13 00:00:00+00:00,0.838
2025-07-14 00:00:00+00:00,0.861
2025-07-15 00:00:00+00:00,0.907
2025-07-16 00:00:00+00:00,0.928
2025-07-17 00:00:00+00:00,1.04
2025-07-18 00:00:00+00:00,1.054
2025-07-19 00:00:00+00:00,1.11
2025-07-20 00:00:00+00:00,1.19
2025-07-21 00:00:00+00:00,1.203
2025-07-22 00:00:00+00:00,1.219
2025-07-23 00:00:00+00:00,1.093
2025-07-24 00:00:00+00:00,1.073
2025-07-25 00:00:00+00:00,1.096
2025-07-26 00:00:00+00:00,1.078
2025-07-27 00:00:00+00:00,1.141
2025-07-28 00:00:00+00:00,1.073
2025-07-29 00:00:00+00:00,1.042
2025-07-30 00:00:00+00:00,1.015
2025-07-31 00:00:00+00:00,0.951
2025-08-01 00:00:00+00:00,0.899
2025-08-02 00:00:00+00:00,0.87
2025-08-03 00:00:00+00:00,0.919
2025-08-04 00:00:00+00:00,0.955
2025-08-05 00:00:00+00:00,0.91
2025-08-06 00:00:00+00:00,0.94
2025-08-07 00:00:00+00:00,1.058
2025-08-08 00:00:00+00:00,1.119
2025-08-09 00:00:00+00:00,1.325
2025-08-10 00:00:00+00:00,1.441
2025-08-11 00:00:00+00:00,1.495
2025-08-12 00:00:00+00:00,1.542
2025-08-13 00:00:00+00:00,1.502
2025-08-14 00:00:00+00:00,1.386
2025-08-15 00:00:00+00:00,1.383
2025-08-16 00:00:00+00:00,1.41
2025-08-17 00:00:00+00:00,1.366
2025-08-18 00:00:00+00:00,1.286
2025-08-19 00:00:00+00:00,1.275
2025-08-20 00:00:00+00:00,1.309
2025-08-21 00:00:00+00:00,1.2773
2025-08-22 00:00:00+00:00,1.5399
2025-08-23 00:00:00+00:00,1.532
2025-08-24 00:00:00+00:00,1.4359
2025-08-25 00:00:00+00:00,1.2651
2025-08-26 00:00:00+00:00,1.3065
2025-08-27 00:00:00+00:00,1.2549
2025-08-28 00:00:00+00:00,1.267
2025-08-29 00:00:00+00:00,1.2137
2025-08-30 00:00:00+00:00,1.208
2025-08-31 00:00:00+00:00,1.1908
2025-09-01 00:00:00+00:00,1.1598
2025-09-02 00:00:00+00:00,1.1992
2025-09-03 00:00:00+00:00,1.2383
2025-09-04 00:00:00+00:00,1.1565
2025-09-05 00:00:00+00:00,1.1814
2025-09-06 00:00:00+00:00,1.1563
2025-09-07 00:00:00+00:00,1.1993
2025-09-08 00:00:00+00:00,1.1986
2025-09-09 00:00:00+00:00,1.1836
2025-09-10 00:00:00+00:00,1.2387
2025-09-11 00:00:00+00:00,1.2938
2025-09-12 00:00:00+00:00,1.3041
2025-09-13 00:00:00+00:00,1.2959
2025-09-14 00:00:00+00:00,1.2307
2025-09-15 00:00:00+00:00,1.1771
2025-09-16 00:00:00+00:00,1.2019
2025-09-17 00:00:00+00:00,1.3076
2025-09-18 00:00:00+00:00,1.3374
2025-09-19 00:00:00+00:00,1.2541
2025-09-20 00:00:00+00:00,1.2682
2025-09-21 00:00:00+00:00,1.2476
2025-09-22 00:00:00+00:00,1.1112
2025-09-23 00:00:00+00:00,1.1094
2025-09-24 00:00:00+00:00,1.1099
2025-09-25 00:00:00+00:00,1.0585
2025-09-26 00:00:00+00:00,1.0968
2025-09-27 00:00:00+00:00,1.0917
2025-09-28 00:00:00+00:00,1.1177
2025-09-29 00:00:00+00:00,1.1772
2025-09-30 00:00:00+00:00,1.0874
2025-10-01 00:00:00+00:00,1.1926
2025-10-02 00:00:00+00:00,1.3005
2025-10-03 00:00:00+00:00,1.2323
2025-10-04 00:00:00+00:00,1.2022
2025-10-05 00:00:00+00:00,1.1637
2025-10-06 00:00:00+00:00,1.2533
2025-10-07 00:00:00+00:00,1.1853
