date,PAXG/USDT
2025-03-09 00:00:00+00:00,2933.0
2025-03-10 00:00:00+00:00,2895.0
2025-03-11 00:00:00+00:00,2924.0
2025-03-12 00:00:00+00:00,2946.0
2025-03-13 00:00:00+00:00,3003.0
2025-03-14 00:00:00+00:00,2996.0
2025-03-15 00:00:00+00:00,3002.0
2025-03-16 00:00:00+00:00,3001.0
2025-03-17 00:00:00+00:00,3011.0
2025-03-18 00:00:00+00:00,3067.0
2025-03-19 00:00:00+00:00,3064.0
2025-03-20 00:00:00+00:00,3057.0
2025-03-21 00:00:00+00:00,3039.0
2025-03-22 00:00:00+00:00,3050.0
2025-03-23 00:00:00+00:00,3054.0
2025-03-24 00:00:00+00:00,3019.0
2025-03-25 00:00:00+00:00,3028.0
2025-03-26 00:00:00+00:00,3023.0
2025-03-27 00:00:00+00:00,3059.0
2025-03-28 00:00:00+00:00,3093.0
2025-03-29 00:00:00+00:00,3119.0
2025-03-30 00:00:00+00:00,3109.0
2025-03-31 00:00:00+00:00,3149.0
2025-04-01 00:00:00+00:00,3132.0
2025-04-02 00:00:00+00:00,3192.0
2025-04-03 00:00:00+00:00,3127.0
2025-04-04 00:00:00+00:00,3055.0
2025-04-05 00:00:00+00:00,3068.0
2025-04-06 00:00:00+00:00,3004.0
2025-04-07 00:00:00+00:00,3005.0
2025-04-08 00:00:00+00:00,3001.0
2025-04-09 00:00:00+00:00,3099.0
2025-04-10 00:00:00+00:00,3216.0
2025-04-11 00:00:00+00:00,3265.0
2025-04-12 00:00:00+00:00,3242.0
2025-04-13 00:00:00+00:00,3247.0
2025-04-14 00:00:00+00:00,3238.0
2025-04-15 00:00:00+00:00,3266.0
2025-04-16 00:00:00+00:00,3378.0
2025-04-17 00:00:00+00:00,3347.0
2025-04-18 00:00:00+00:00,3353.0
2025-04-19 00:00:00+00:00,3348.0
2025-04-20 00:00:00+00:00,3370.0
2025-04-21 00:00:00+00:00,3462.0
2025-04-22 00:00:00+00:00,3349.0
2025-04-23 00:00:00+00:00,3335.0
2025-04-24 00:00:00+00:00,3365.0
2025-04-25 00:00:00+00:00,3313.0
2025-04-26 00:00:00+00:00,3312.0
2025-04-27 00:00:00+00:00,3308.0
2025-04-28 00:00:00+00:00,3339.0
2025-04-29 00:00:00+00:00,3317.0
2025-04-30 00:00:00+00:00,3282.0
2025-05-01 00:00:00+00:00,3250.0
2025-05-02 00:00:00+00:00,3253.0
2025-05-03 00:00:00+00:00,3258.0
2025-05-04 00:00:00+00:00,3263.0
2025-05-05 00:00:00+00:00,3348.0
2025-05-06 00:00:00+00:00,3409.0
2025-05-07 00:00:00+00:00,3383.0
2025-05-08 00:00:00+00:00,3322.0
2025-05-09 00:00:00+00:00,3335.0
2025-05-10 00:00:00+00:00,3327.0
2025-05-11 00:00:00+00:00,3294.0
2025-05-12 00:00:00+00:00,3245.0
2025-05-13 00:00:00+00:00,3261.0
2025-05-14 00:00:00+00:00,3196.0
2025-05-15 00:00:00+00:00,3246.0
2025-05-16 00:00:00+00:00,3221.0
2025-05-17 00:00:00+00:00,3225.66
2025-05-18 00:00:00+00:00,3245.99
2025-05-19 00:00:00+00:00,3235.96
2025-05-20 00:00:00+00:00,3303.02
2025-05-21 00:00:00+00:00,3322.47
2025-05-22 00:00:00+00:00,3308.78
2025-05-23 00:00:00+00:00,3360.8
2025-05-24 00:00:00+00:00,3361.57
2025-05-25 00:00:00+00:00,3347.64
2025-05-26 00:00:00+00:00,3357.58
2025-05-27 00:00:00+00:00,3321.28
2025-05-28 00:00:00+00:00,3276.02
2025-05-29 00:00:00+00:00,3326.45
2025-05-30 00:00:00+00:00,3302.25
2025-05-31 00:00:00+00:00,3296.52
2025-06-01 00:00:00+00:00,3319.57
2025-06-02 00:00:00+00:00,3396.98
2025-06-03 00:00:00+00:00,3369.43
2025-06-04 00:00:00+00:00,3391.2
2025-06-05 00:00:00+00:00,3381.55
2025-06-06 00:00:00+00:00,3333.88
2025-06-07 00:00:00+00:00,3332.4
2025-06-08 00:00:00+00:00,3340.75
2025-06-09 00:00:00+00:00,3346.45
2025-06-10 00:00:00+00:00,3340.18
2025-06-11 00:00:00+00:00,3379.4
2025-06-12 00:00:00+00:00,3408.42
2025-06-13 00:00:00+00:00,3461.98
2025-06-14 00:00:00+00:00,3487.6
2025-06-15 00:00:00+00:00,3476.97
2025-06-16 00:00:00+00:00,3432.41
2025-06-17 00:00:00+00:00,3413.75
2025-06-18 00:00:00+00:00,3395.4
2025-06-19 00:00:00+00:00,3389.8
2025-06-20 00:00:00+00:00,3394.69
2025-06-21 00:00:00+00:00,3395.84
2025-06-22 00:00:00+00:00,3402.0
2025-06-23 00:00:00+00:00,3368.74
2025-06-24 00:00:00+00:00,3344.64
2025-06-25 00:00:00+00:00,3352.99
2025-06-26 00:00:00+00:00,3332.97
2025-06-27 00:00:00+00:00,3296.15
2025-06-28 00:00:00+00:00,3289.58
2025-06-29 00:00:00+00:00,3277.01
2025-06-30 00:00:00+00:00,3319.99
2025-07-01 00:00:00+00:00,3346.83
2025-07-02 00:00:00+00:00,3351.67
2025-07-03 00:00:00+00:00,3335.52
2025-07-04 00:00:00+00:00,3342.65
2025-07-05 00:00:00+00:00,3343.44
2025-07-06 00:00:00+00:00,3334.76
2025-07-07 00:00:00+00:00,3335.91
2025-07-08 00:00:00+00:00,3309.2
2025-07-09 00:00:00+00:00,3318.48
2025-07-10 00:00:00+00:00,3322.24
2025-07-11 00:00:00+00:00,3348.49
2025-07-12 00:00:00+00:00,3351.45
2025-07-13 00:00:00+00:00,3354.18
2025-07-14 00:00:00+00:00,3349.21
2025-07-15 00:00:00+00:00,3338.51
2025-07-16 00:00:00+00:00,3351.41
2025-07-17 00:00:00+00:00,3340.67
2025-07-18 00:00:00+00:00,3347.84
2025-07-19 00:00:00+00:00,3357.3
2025-07-20 00:00:00+00:00,3351.63
2025-07-21 00:00:00+00:00,3395.4
2025-07-22 00:00:00+00:00,3424.79
2025-07-23 00:00:00+00:00,3393.79
2025-07-24 00:00:00+00:00,3375.74
2025-07-25 00:00:00+00:00,3348.69
2025-07-26 00:00:00+00:00,3354.45
2025-07-27 00:00:00+00:00,3345.45
2025-07-28 00:00:00+00:00,3320.59
2025-07-29 00:00:00+00:00,3335.13
2025-07-30 00:00:00+00:00,3299.01
2025-07-31 00:00:00+00:00,3294.12
2025-08-01 00:00:00+00:00,3364.79
2025-08-02 00:00:00+00:00,3362.05
2025-08-03 00:00:00+00:00,3365.68
2025-08-04 00:00:00+00:00,3377.6
2025-08-05 00:00:00+00:00,3384.32
2025-08-06 00:00:00+00:00,3370.99
2025-08-07 00:00:00+00:00,3393.46
2025-08-08 00:00:00+00:00,3385.75
2025-08-09 00:00:00+00:00,3383.62
2025-08-10 00:00:00+00:00,3382.52
2025-08-11 00:00:00+00:00,3345.71
2025-08-12 00:00:00+00:00,3340.96
2025-08-13 00:00:00+00:00,3353.91
2025-08-14 00:00:00+00:00,3329.67
2025-08-15 00:00:00+00:00,3330.31
2025-08-16 00:00:00+00:00,3329.49
2025-08-17 00:00:00+00:00,3323.69
2025-08-18 00:00:00+00:00,3330.97
2025-08-19 00:00:00+00:00,3312.7
2025-08-20 00:00:00+00:00,3339.92
2025-08-21 00:00:00+00:00,3331.5
2025-08-22 00:00:00+00:00,3364.74
2025-08-23 00:00:00+00:00,3360.64
2025-08-24 00:00:00+00:00,3360.81
2025-08-25 00:00:00+00:00,3343.11
2025-08-26 00:00:00+00:00,3378.0
2025-08-27 00:00:00+00:00,3387.82
2025-08-28 00:00:00+00:00,3415.8
2025-08-29 00:00:00+00:00,3461.84
2025-08-30 00:00:00+00:00,3462.72
2025-08-31 00:00:00+00:00,3460.4
2025-09-01 00:00:00+00:00,3503.19
2025-09-02 00:00:00+00:00,3548.15
2025-09-03 00:00:00+00:00,3574.99
2025-09-04 00:00:00+00:00,3559.09
2025-09-05 00:00:00+00:00,3593.64
2025-09-06 00:00:00+00:00,3626.0
2025-09-07 00:00:00+00:00,3602.37
2025-09-08 00:00:00+00:00,3640.8
2025-09-09 00:00:00+00:00,3643.12
2025-09-10 00:00:00+00:00,3642.26
2025-09-11 00:00:00+00:00,3632.1
2025-09-12 00:00:00+00:00,3641.99
2025-09-13 00:00:00+00:00,3638.72
2025-09-14 00:00:00+00:00,3644.54
2025-09-15 00:00:00+00:00,3683.89
2025-09-16 00:00:00+00:00,3705.04
2025-09-17 00:00:00+00:00,3671.86
2025-09-18 00:00:00+00:00,3645.24
2025-09-19 00:00:00+00:00,3690.16
2025-09-20 00:00:00+00:00,3686.05
2025-09-21 00:00:00+00:00,3691.63
2025-09-22 00:00:00+00:00,3757.71
2025-09-23 00:00:00+00:00,3774.33
2025-09-24 00:00:00+00:00,3754.88
2025-09-25 00:00:00+00:00,3753.29
2025-09-26 00:00:00+00:00,3772.99
2025-09-27 00:00:00+00:00,3774.88
2025-09-28 00:00:00+00:00,3775.98
2025-09-29 00:00:00+00:00,3847.63
2025-09-30 00:00:00+00:00,3875.76
2025-10-01 00:00:00+00:00,3870.01
2025-10-02 00:00:00+00:00,3865.37
2025-10-03 00:00:00+00:00,3883.56
2025-10-04 00:00:00+00:00,3900.87
2025-10-05 00:00:00+00:00,3914.2
2025-10-06 00:00:00+00:00,3983.21
2025-10-07 00:00:00+00:00,4000.88
2025-10-08 00:00:00+00:00,4032.21
2025-10-09 00:00:00+00:00,4000.27
2025-10-10 00:00:00+00:00,3983.01
2025-10-11 00:00:00+00:00,3992.15
2025-10-12 00:00:00+00:00,4036.56
2025-10-13 00:00:00+00:00,4141.69
2025-10-14 00:00:00+00:00,4176.71
2025-10-15 00:00:00+00:00,4238.42
2025-10-16 00:00:00+00:00,4436.75
2025-10-17 00:00:00+00:00,4238.93
2025-10-18 00:00:00+00:00,4242.81
2025-10-19 00:00:00+00:00,4242.46
2025-10-20 00:00:00+00:00,4364.09
2025-10-21 00:00:00+00:00,4098.31
2025-10-22 00:00:00+00:00,4091.78
2025-10-23 00:00:00+00:00,4117.46
2025-10-24 00:00:00+00:00,4110.53
2025-10-25 00:00:00+00:00,4110.33
2025-10-26 00:00:00+00:00,4059.96
2025-10-27 00:00:00+00:00,3992.2
2025-10-28 00:00:00+00:00,3968.36
2025-10-29 00:00:00+00:00,3956.23
2025-10-30 00:00:00+00:00,4034.25
2025-10-31 00:00:00+00:00,4000.16
2025-11-01 00:00:00+00:00,4008.41
2025-11-02 00:00:00+00:00,3979.05
2025-11-03 00:00:00+00:00,3992.01
2025-11-04 00:00:00+00:00,3929.18
2025-11-05 00:00:00+00:00,3971.74
2025-11-06 00:00:00+00:00,3986.26
2025-11-07 00:00:00+00:00,3992.01
2025-11-08 00:00:00+00:00,3989.36
2025-11-09 00:00:00+00:00,4004.69
2025-11-10 00:00:00+00:00,4114.67
2025-11-11 00:00:00+00:00,4127.99
2025-11-12 00:00:00+00:00,4178.16
2025-11-13 00:00:00+00:00,4175.95
2025-11-14 00:00:00+00:00,4074.73
2025-11-15 00:00:00+00:00,4093.95
2025-11-16 00:00:00+00:00,4090.82
2025-11-17 00:00:00+00:00,4028.61
2025-11-18 00:00:00+00:00,4069.0
2025-11-19 00:00:00+00:00,4096.93
2025-11-20 00:00:00+00:00,4074.87
2025-11-21 00:00:00+00:00,4065.92
2025-11-22 00:00:00+00:00,4058.06
2025-11-23 00:00:00+00:00,4065.69
2025-11-24 00:00:00+00:00,4143.6
2025-11-25 00:00:00+00:00,4128.55
2025-11-26 00:00:00+00:00,4165.21
2025-11-27 00:00:00+00:00,4160.64
2025-11-28 00:00:00+00:00,4232.82
2025-11-29 00:00:00+00:00,4248.13
2025-11-30 00:00:00+00:00,4238.44
2025-12-01 00:00:00+00:00,4243.87
2025-12-02 00:00:00+00:00,4212.8
2025-12-03 00:00:00+00:00,4214.88
2025-12-04 00:00:00+00:00,4213.55
2025-12-05 00:00:00+00:00,4209.92
2025-12-06 00:00:00+00:00,4213.55
2025-12-07 00:00:00+00:00,4213.34
2025-12-08 00:00:00+00:00,4204.1
2025-12-09 00:00:00+00:00,4215.63
2025-12-10 00:00:00+00:00,4239.31
2025-12-11 00:00:00+00:00,4285.37
2025-12-12 00:00:00+00:00,4308.81
2025-12-13 00:00:00+00:00,4316.79
2025-12-14 00:00:00+00:00,4316.55
2025-12-15 00:00:00+00:00,4315.5
2025-12-16 00:00:00+00:00,4322.11
2025-12-17 00:00:00+00:00,4358.26
2025-12-18 00:00:00+00:00,4348.19
2025-12-19 00:00:00+00:00,4351.32
2025-12-20 00:00:00+00:00,4352.06
2025-12-21 00:00:00+00:00,4367.25
2025-12-22 00:00:00+00:00,4484.98
2025-12-23 00:00:00+00:00,4531.01
2025-12-24 00:00:00+00:00,4496.84
2025-12-25 00:00:00+00:00,4516.05
2025-12-26 00:00:00+00:00,4557.34
2025-12-27 00:00:00+00:00,4571.49
2025-12-28 00:00:00+00:00,4549.54
2025-12-29 00:00:00+00:00,4364.34
2025-12-30 00:00:00+00:00,4360.54
2025-12-31 00:00:00+00:00,4336.99
2026-01-01 00:00:00+00:00,4362.83
2026-01-02 00:00:00+00:00,4340.85
2026-01-03 00:00:00+00:00,4355.79
2026-01-04 00:00:00+00:00,4384.45
2026-01-05 00:00:00+00:00,4445.45
2026-01-06 00:00:00+00:00,4509.8
2026-01-07 00:00:00+00:00,4477.97
2026-01-08 00:00:00+00:00,4482.19
2026-01-09 00:00:00+00:00,4508.45
2026-01-10 00:00:00+00:00,4523.42
2026-01-11 00:00:00+00:00,4544.29
2026-01-12 00:00:00+00:00,4615.31
2026-01-13 00:00:00+00:00,4604.97
2026-01-14 00:00:00+00:00,4628.41
2026-01-15 00:00:00+00:00,4623.99
2026-01-16 00:00:00+00:00,4603.15
2026-01-17 00:00:00+00:00,4611.39
2026-01-18 00:00:00+00:00,4685.6
2026-01-19 00:00:00+00:00,4683.97
2026-01-20 00:00:00+00:00,4678.0
