date,BERA/USDT
2025-06-18 00:00:00+00:00,1.928
2025-06-19 00:00:00+00:00,1.879
2025-06-20 00:00:00+00:00,1.784
2025-06-21 00:00:00+00:00,1.675
2025-06-22 00:00:00+00:00,1.585
2025-06-23 00:00:00+00:00,1.764
2025-06-24 00:00:00+00:00,1.72
2025-06-25 00:00:00+00:00,1.675
2025-06-26 00:00:00+00:00,1.665
2025-06-27 00:00:00+00:00,1.648
2025-06-28 00:00:00+00:00,1.728
2025-06-29 00:00:00+00:00,1.82
2025-06-30 00:00:00+00:00,1.759
2025-07-01 00:00:00+00:00,1.614
2025-07-02 00:00:00+00:00,1.755
2025-07-03 00:00:00+00:00,1.733
2025-07-04 00:00:00+00:00,1.649
2025-07-05 00:00:00+00:00,1.642
2025-07-06 00:00:00+00:00,1.677
2025-07-07 00:00:00+00:00,1.662
2025-07-08 00:00:00+00:00,1.693
2025-07-09 00:00:00+00:00,1.796
2025-07-10 00:00:00+00:00,1.913
2025-07-11 00:00:00+00:00,2.072
2025-07-12 00:00:00+00:00,1.995
2025-07-13 00:00:00+00:00,1.989
2025-07-14 00:00:00+00:00,2.14
2025-07-15 00:00:00+00:00,2.223
2025-07-16 00:00:00+00:00,2.354
2025-07-17 00:00:00+00:00,2.313
2025-07-18 00:00:00+00:00,2.266
2025-07-19 00:00:00+00:00,2.248
2025-07-20 00:00:00+00:00,2.304
2025-07-21 00:00:00+00:00,2.43
2025-07-22 00:00:00+00:00,2.447
2025-07-23 00:00:00+00:00,2.351
2025-07-24 00:00:00+00:00,2.205
2025-07-25 00:00:00+00:00,2.222
2025-07-26 00:00:00+00:00,2.207
2025-07-27 00:00:00+00:00,2.279
2025-07-28 00:00:00+00:00,2.105
2025-07-29 00:00:00+00:00,2.014
2025-07-30 00:00:00+00:00,1.978
2025-07-31 00:00:00+00:00,1.859
2025-08-01 00:00:00+00:00,1.78
2025-08-02 00:00:00+00:00,1.726
2025-08-03 00:00:00+00:00,1.81
2025-08-04 00:00:00+00:00,1.895
2025-08-05 00:00:00+00:00,1.805
2025-08-06 00:00:00+00:00,1.821
2025-08-07 00:00:00+00:00,1.954
2025-08-08 00:00:00+00:00,2.025
2025-08-09 00:00:00+00:00,2.102
2025-08-10 00:00:00+00:00,2.087
2025-08-11 00:00:00+00:00,1.952
2025-08-12 00:00:00+00:00,2.038
2025-08-13 00:00:00+00:00,2.114
2025-08-14 00:00:00+00:00,2.206
2025-08-15 00:00:00+00:00,2.162
2025-08-16 00:00:00+00:00,2.374
2025-08-17 00:00:00+00:00,2.381
2025-08-18 00:00:00+00:00,2.227
2025-08-19 00:00:00+00:00,2.14
2025-08-20 00:00:00+00:00,2.379
