date,DOT/USDT
2025-05-21 00:00:00+00:00,4.74
2025-05-22 00:00:00+00:00,4.948
2025-05-23 00:00:00+00:00,4.561
2025-05-24 00:00:00+00:00,4.545
2025-05-25 00:00:00+00:00,4.523
2025-05-26 00:00:00+00:00,4.468
2025-05-27 00:00:00+00:00,4.535
2025-05-28 00:00:00+00:00,4.587
2025-05-29 00:00:00+00:00,4.332
2025-05-30 00:00:00+00:00,4.049
2025-05-31 00:00:00+00:00,4.076
2025-06-01 00:00:00+00:00,4.066
2025-06-02 00:00:00+00:00,4.148
2025-06-03 00:00:00+00:00,4.137
2025-06-04 00:00:00+00:00,4.006
2025-06-05 00:00:00+00:00,3.814
2025-06-06 00:00:00+00:00,3.884
2025-06-07 00:00:00+00:00,4.031
2025-06-08 00:00:00+00:00,4.025
2025-06-09 00:00:00+00:00,4.151
2025-06-10 00:00:00+00:00,4.294
2025-06-11 00:00:00+00:00,4.189
2025-06-12 00:00:00+00:00,3.919
2025-06-13 00:00:00+00:00,3.838
2025-06-14 00:00:00+00:00,3.781
2025-06-15 00:00:00+00:00,3.821
2025-06-16 00:00:00+00:00,3.847
2025-06-17 00:00:00+00:00,3.719
2025-06-18 00:00:00+00:00,3.622
2025-06-19 00:00:00+00:00,3.548
2025-06-20 00:00:00+00:00,3.437
2025-06-21 00:00:00+00:00,3.324
2025-06-22 00:00:00+00:00,3.153
2025-06-23 00:00:00+00:00,3.416
2025-06-24 00:00:00+00:00,3.439
2025-06-25 00:00:00+00:00,3.352
2025-06-26 00:00:00+00:00,3.299
2025-06-27 00:00:00+00:00,3.359
2025-06-28 00:00:00+00:00,3.407
2025-06-29 00:00:00+00:00,3.541
2025-06-30 00:00:00+00:00,3.397
2025-07-01 00:00:00+00:00,3.281
2025-07-02 00:00:00+00:00,3.545
2025-07-03 00:00:00+00:00,3.539
2025-07-04 00:00:00+00:00,3.358
2025-07-05 00:00:00+00:00,3.356
2025-07-06 00:00:00+00:00,3.395
2025-07-07 00:00:00+00:00,3.369
2025-07-08 00:00:00+00:00,3.448
2025-07-09 00:00:00+00:00,3.62
2025-07-10 00:00:00+00:00,3.881
2025-07-11 00:00:00+00:00,3.907
2025-07-12 00:00:00+00:00,3.891
2025-07-13 00:00:00+00:00,3.984
2025-07-14 00:00:00+00:00,3.95
2025-07-15 00:00:00+00:00,4.083
2025-07-16 00:00:00+00:00,4.156
2025-07-17 00:00:00+00:00,4.26
2025-07-18 00:00:00+00:00,4.227
2025-07-19 00:00:00+00:00,4.409
2025-07-20 00:00:00+00:00,4.48
2025-07-21 00:00:00+00:00,4.499
2025-07-22 00:00:00+00:00,4.549
2025-07-23 00:00:00+00:00,4.113
2025-07-24 00:00:00+00:00,4.0
2025-07-25 00:00:00+00:00,4.088
2025-07-26 00:00:00+00:00,4.124
2025-07-27 00:00:00+00:00,4.24
2025-07-28 00:00:00+00:00,3.965
2025-07-29 00:00:00+00:00,3.905
2025-07-30 00:00:00+00:00,3.805
2025-07-31 00:00:00+00:00,3.682
2025-08-01 00:00:00+00:00,3.547
2025-08-02 00:00:00+00:00,3.509
2025-08-03 00:00:00+00:00,3.602
2025-08-04 00:00:00+00:00,3.72
2025-08-05 00:00:00+00:00,3.621
2025-08-06 00:00:00+00:00,3.673
2025-08-07 00:00:00+00:00,3.867
2025-08-08 00:00:00+00:00,3.979
2025-08-09 00:00:00+00:00,4.138
2025-08-10 00:00:00+00:00,4.046
2025-08-11 00:00:00+00:00,3.854
2025-08-12 00:00:00+00:00,4.157
2025-08-13 00:00:00+00:00,4.276
2025-08-14 00:00:00+00:00,3.986
2025-08-15 00:00:00+00:00,3.896
2025-08-16 00:00:00+00:00,3.966
2025-08-17 00:00:00+00:00,4.051
2025-08-18 00:00:00+00:00,3.914
2025-08-19 00:00:00+00:00,3.719
2025-08-20 00:00:00+00:00,3.884
2025-08-21 00:00:00+00:00,3.797
2025-08-22 00:00:00+00:00,4.18
2025-08-23 00:00:00+00:00,4.228
2025-08-24 00:00:00+00:00,4.11
2025-08-25 00:00:00+00:00,3.734
2025-08-26 00:00:00+00:00,3.887
2025-08-27 00:00:00+00:00,3.837
2025-08-28 00:00:00+00:00,3.981
2025-08-29 00:00:00+00:00,3.774
2025-08-30 00:00:00+00:00,3.811
2025-08-31 00:00:00+00:00,3.742
2025-09-01 00:00:00+00:00,3.693
2025-09-02 00:00:00+00:00,3.82
2025-09-03 00:00:00+00:00,3.865
2025-09-04 00:00:00+00:00,3.764
2025-09-05 00:00:00+00:00,3.828
2025-09-06 00:00:00+00:00,3.823
2025-09-07 00:00:00+00:00,3.995
2025-09-08 00:00:00+00:00,4.045
2025-09-09 00:00:00+00:00,4.14
2025-09-10 00:00:00+00:00,4.216
2025-09-11 00:00:00+00:00,4.242
2025-09-12 00:00:00+00:00,4.319
2025-09-13 00:00:00+00:00,4.492
2025-09-14 00:00:00+00:00,4.316
2025-09-15 00:00:00+00:00,4.151
2025-09-16 00:00:00+00:00,4.253
2025-09-17 00:00:00+00:00,4.403
2025-09-18 00:00:00+00:00,4.533
2025-09-19 00:00:00+00:00,4.359
2025-09-20 00:00:00+00:00,4.356
2025-09-21 00:00:00+00:00,4.262
2025-09-22 00:00:00+00:00,4.037
2025-09-23 00:00:00+00:00,3.966
2025-09-24 00:00:00+00:00,3.992
2025-09-25 00:00:00+00:00,3.804
2025-09-26 00:00:00+00:00,3.924
2025-09-27 00:00:00+00:00,3.889
2025-09-28 00:00:00+00:00,3.997
2025-09-29 00:00:00+00:00,3.98
2025-09-30 00:00:00+00:00,3.909
2025-10-01 00:00:00+00:00,4.126
2025-10-02 00:00:00+00:00,4.306
2025-10-03 00:00:00+00:00,4.32
2025-10-04 00:00:00+00:00,4.187
2025-10-05 00:00:00+00:00,4.134
2025-10-06 00:00:00+00:00,4.398
2025-10-07 00:00:00+00:00,4.139
2025-10-08 00:00:00+00:00,4.194
2025-10-09 00:00:00+00:00,4.075
2025-10-10 00:00:00+00:00,2.946
2025-10-11 00:00:00+00:00,2.997
2025-10-12 00:00:00+00:00,3.241
2025-10-13 00:00:00+00:00,3.374
2025-10-14 00:00:00+00:00,3.248
2025-10-15 00:00:00+00:00,3.137
2025-10-16 00:00:00+00:00,3.016
2025-10-17 00:00:00+00:00,2.892
2025-10-18 00:00:00+00:00,2.932
2025-10-19 00:00:00+00:00,3.009
2025-10-20 00:00:00+00:00,3.086
2025-10-21 00:00:00+00:00,3.006
2025-10-22 00:00:00+00:00,2.918
2025-10-23 00:00:00+00:00,3.002
2025-10-24 00:00:00+00:00,3.078
2025-10-25 00:00:00+00:00,3.09
2025-10-26 00:00:00+00:00,3.195
2025-10-27 00:00:00+00:00,3.139
2025-10-28 00:00:00+00:00,3.051
2025-10-29 00:00:00+00:00,3.079
2025-10-30 00:00:00+00:00,2.871
2025-10-31 00:00:00+00:00,2.882
2025-11-01 00:00:00+00:00,2.971
2025-11-02 00:00:00+00:00,2.985
2025-11-03 00:00:00+00:00,2.585
2025-11-04 00:00:00+00:00,2.508
2025-11-05 00:00:00+00:00,2.672
2025-11-06 00:00:00+00:00,2.669
2025-11-07 00:00:00+00:00,3.254
2025-11-08 00:00:00+00:00,3.252
2025-11-09 00:00:00+00:00,3.232
2025-11-10 00:00:00+00:00,3.266
2025-11-11 00:00:00+00:00,3.054
2025-11-12 00:00:00+00:00,2.927
2025-11-13 00:00:00+00:00,2.853
2025-11-14 00:00:00+00:00,2.815
2025-11-15 00:00:00+00:00,2.832
2025-11-16 00:00:00+00:00,2.784
2025-11-17 00:00:00+00:00,2.666
2025-11-18 00:00:00+00:00,2.755
2025-11-19 00:00:00+00:00,2.692
2025-11-20 00:00:00+00:00,2.543
2025-11-21 00:00:00+00:00,2.348
2025-11-22 00:00:00+00:00,2.311
2025-11-23 00:00:00+00:00,2.258
2025-11-24 00:00:00+00:00,2.34
2025-11-25 00:00:00+00:00,2.296
2025-11-26 00:00:00+00:00,2.344
2025-11-27 00:00:00+00:00,2.337
2025-11-28 00:00:00+00:00,2.284
2025-11-29 00:00:00+00:00,2.259
2025-11-30 00:00:00+00:00,2.21
2025-12-01 00:00:00+00:00,2.042
2025-12-02 00:00:00+00:00,2.249
2025-12-03 00:00:00+00:00,2.366
2025-12-04 00:00:00+00:00,2.272
2025-12-05 00:00:00+00:00,2.125
2025-12-06 00:00:00+00:00,2.128
2025-12-07 00:00:00+00:00,2.094
2025-12-08 00:00:00+00:00,2.129
2025-12-09 00:00:00+00:00,2.293
2025-12-10 00:00:00+00:00,2.19
2025-12-11 00:00:00+00:00,2.066
2025-12-12 00:00:00+00:00,2.012
2025-12-13 00:00:00+00:00,2.038
2025-12-14 00:00:00+00:00,1.952
2025-12-15 00:00:00+00:00,1.902
2025-12-16 00:00:00+00:00,1.898
2025-12-17 00:00:00+00:00,1.816
2025-12-18 00:00:00+00:00,1.759
2025-12-19 00:00:00+00:00,1.849
2025-12-20 00:00:00+00:00,1.832
2025-12-21 00:00:00+00:00,1.802
2025-12-22 00:00:00+00:00,1.784
2025-12-23 00:00:00+00:00,1.765
2025-12-24 00:00:00+00:00,1.738
2025-12-25 00:00:00+00:00,1.685
2025-12-26 00:00:00+00:00,1.723
2025-12-27 00:00:00+00:00,1.91
2025-12-28 00:00:00+00:00,1.851
2025-12-29 00:00:00+00:00,1.824
2025-12-30 00:00:00+00:00,1.811
2025-12-31 00:00:00+00:00,1.789
2026-01-01 00:00:00+00:00,1.999
2026-01-02 00:00:00+00:00,2.166
2026-01-03 00:00:00+00:00,2.125
2026-01-04 00:00:00+00:00,2.142
2026-01-05 00:00:00+00:00,2.208
2026-01-06 00:00:00+00:00,2.235
2026-01-07 00:00:00+00:00,2.145
2026-01-08 00:00:00+00:00,2.111
2026-01-09 00:00:00+00:00,2.083
2026-01-10 00:00:00+00:00,2.093
2026-01-11 00:00:00+00:00,2.07
2026-01-12 00:00:00+00:00,2.055
2026-01-13 00:00:00+00:00,2.282
2026-01-14 00:00:00+00:00,2.226
2026-01-15 00:00:00+00:00,2.117
2026-01-16 00:00:00+00:00,2.119
2026-01-17 00:00:00+00:00,2.179
2026-01-18 00:00:00+00:00,2.065
2026-01-19 00:00:00+00:00,2.028
2026-01-20 00:00:00+00:00,2.02
