Strategy,Amount,Total Invested,Final Value,Profit,Max Drawdown,Annualized Return,Annualized Volatility,Strategy XIRR,Bitcoin Final Value,Bitcoin Profit,Bitcoin Max Drawdown,Bitcoin Annualized Return,Bitcoin Annualized Volatility,Bitcoin XIRR,NASDAQ Final Value,NASDAQ Profit,NASDAQ Max Drawdown,NASDAQ Annualized Return,NASDAQ Annualized Volatility,NASDAQ XIRR,Nifty50 Final Value,Nifty50 Profit,Nifty50 Max Drawdown,Nifty50 Annualized Return,Nifty50 Annualized Volatility,Nifty50 XIRR,Fixed Deposit Final Value,Fixed Deposit Profit,Fixed Deposit Max Drawdown,Fixed Deposit Annualized Return,Fixed Deposit Annualized Volatility,Fixed Deposit XIRR,Outperform_NASDAQ,Outperform_NIFTY,Outperform_FD
equal,1000,9000,8239.90989670104,-760.0901032989605,-0.2823092840369159,25.833818250020354,1.6783400219600877,-0.2525755203415477,8224.257657443333,-775.7423425566667,-0.234918236798073,25.7543520494573,1.500350048400628,-0.2573539352637107,9641.092755351197,641.0927553511974,-0.07370213998961106,33.282204456904054,1.4450392205775338,0.2445824018087477,9106.730144642897,106.73014464289736,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897514,9179.586548755487,179.58654875548746,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,False,False,False
equal,2000,18000,18359.173097510975,359.1730975109749,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,16448.515314886667,-1551.4846851133334,-0.234918236798073,25.7543520494573,1.500350048400628,-0.2573539352637107,19282.185510702395,1282.1855107023948,-0.07370213998961106,33.282204456904054,1.4450392205775338,0.2445824018087477,18213.460289285795,213.46028928579472,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897514,18359.173097510975,359.1730975109749,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,False,True,False
equal,3000,27000,27538.75964626646,538.7596462664587,0.0,30.748455661468547,1.5200864890520092,0.06558830744639305,24672.772972329996,-2327.2270276700037,-0.234918236798073,25.75435204945729,1.500350048400628,-0.2573539352637115,28923.2782660536,1923.2782660535995,-0.07370213998961095,33.28220445690406,1.4450392205775335,0.24458240180874993,27320.190433928692,320.1904339286921,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897489,27538.75964626646,538.7596462664587,0.0,30.748455661468547,1.5200864890520092,0.06558830744639305,False,True,False
equal,4000,36000,36718.34619502195,718.3461950219498,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,32897.03062977333,-3102.969370226667,-0.234918236798073,25.7543520494573,1.500350048400628,-0.2573539352637107,38564.37102140479,2564.3710214047896,-0.07370213998961106,33.282204456904054,1.4450392205775338,0.2445824018087477,36426.92057857159,426.92057857158943,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897514,36718.34619502195,718.3461950219498,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,False,True,False
equal,5000,45000,45897.932743777434,897.9327437774336,0.0,30.748455661468547,1.52008648905201,0.06558830744639377,41121.28828721666,-3878.7117127833408,-0.2349182367980731,25.75435204945729,1.5003500484006285,-0.2573539352637118,48205.463776756005,3205.4637767560052,-0.07370213998961106,33.282204456904076,1.445039220577534,0.2445824018087497,45533.650723214494,533.6507232144941,-0.033705547936814906,30.364722954723607,1.493268718243217,0.038706023138975976,45897.932743777434,897.9327437774336,0.0,30.748455661468547,1.52008648905201,0.06558830744639377,False,True,False
volatility,1000,9000,8951.226045015264,-48.77395498473561,-0.07611152241798513,29.53331957427569,1.5202601497609969,-0.017421297024908352,8224.257657443333,-775.7423425566667,-0.234918236798073,25.7543520494573,1.500350048400628,-0.2573539352637107,9641.092755351197,641.0927553511974,-0.07370213998961106,33.282204456904054,1.4450392205775338,0.2445824018087477,9106.730144642897,106.73014464289736,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897514,9179.586548755487,179.58654875548746,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,False,False,False
volatility,2000,18000,18359.173097510975,359.1730975109749,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,16448.515314886667,-1551.4846851133334,-0.234918236798073,25.7543520494573,1.500350048400628,-0.2573539352637107,19282.185510702395,1282.1855107023948,-0.07370213998961106,33.282204456904054,1.4450392205775338,0.2445824018087477,18213.460289285795,213.46028928579472,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897514,18359.173097510975,359.1730975109749,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,False,True,False
volatility,3000,27000,27538.75964626646,538.7596462664587,0.0,30.748455661468547,1.5200864890520092,0.06558830744639305,24672.772972329996,-2327.2270276700037,-0.234918236798073,25.75435204945729,1.500350048400628,-0.2573539352637115,28923.2782660536,1923.2782660535995,-0.07370213998961095,33.28220445690406,1.4450392205775335,0.24458240180874993,27320.190433928692,320.1904339286921,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897489,27538.75964626646,538.7596462664587,0.0,30.748455661468547,1.5200864890520092,0.06558830744639305,False,True,False
volatility,4000,36000,36718.34619502195,718.3461950219498,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,32897.03062977333,-3102.969370226667,-0.234918236798073,25.7543520494573,1.500350048400628,-0.2573539352637107,38564.37102140479,2564.3710214047896,-0.07370213998961106,33.282204456904054,1.4450392205775338,0.2445824018087477,36426.92057857159,426.92057857158943,-0.03370554793681502,30.364722954723597,1.493268718243217,0.03870602313897514,36718.34619502195,718.3461950219498,0.0,30.748455661468547,1.5200864890520094,0.06558830744639331,False,True,False
volatility,5000,45000,45897.932743777434,897.9327437774336,0.0,30.748455661468547,1.52008648905201,0.06558830744639377,41121.28828721666,-3878.7117127833408,-0.2349182367980731,25.75435204945729,1.5003500484006285,-0.2573539352637118,48205.463776756005,3205.4637767560052,-0.07370213998961106,33.282204456904076,1.445039220577534,0.2445824018087497,45533.650723214494,533.6507232144941,-0.033705547936814906,30.364722954723607,1.493268718243217,0.038706023138975976,45897.932743777434,897.9327437774336,0.0,30.748455661468547,1.52008648905201,0.06558830744639377,False,True,False
